French Word,Talmud Ref,French Rashi Matches,Hebrew Rashi Matches (if different),Loazei Rashi Info
"לולבי גפנים/וידילי""ש",Berakhot 55a,Rashi on Berakhot 55a:4:1,,"67 ברכות נה. <b>לולבי גפנים</b><br>וידילי""ש wedilies [vedilles] <b>קנוקנות</b><br><small>ר' להלן מס' 627.$
</small>","(55a:4:1) לולבי גפנים – וידלי""ש  בלע""ז:"
"ככי/מישיליר""ש",Berakhot 56a,Rashi on Berakhot 56a:15:3,,"68 ברכות נו. <b>ככי</b><br>מישיליר""ש meseleres [maisseleres] <b>(שיניים) טוחנות </b><br><small>מסיבות שאינן מובנות לי, רשם כאן בלונדהיים צורה בלי r”"": maisseles בסימן שאלה. מאחר שברוב כתבי-היד (גם במ' 2319 ומס' 2322) יש רי""ש, איני רואה למה לא צירף את 673 אל 672 maisseleres. לגבי הכתיב בגרסת בלונדהיים, ראה במבוא.
</small>","(56a:15:3) ככי – שינים הפנימיות שקורין משילאר""י:"
"קפוד/מרטינ""א",Berakhot 57b,Rashi on Berakhot 57b:7:1,,"69 ברכות נז: <b>קפוד</b><br>מרטינ""א martrine <b>סמור, דָלָק</b><br><small>ר' להלן מס' 218. ברש""י על ישעיהו (י""ג, כ""א ול""ד, י""ד) מרטרינ""ש לועז את ""ציים"".
</small>","(57b:7:1) חוץ מן הפיל והקוף והקפוד – שמשונין במראיהן. קפוד חיה שדומה לקוף ויש לה זנב ארוך ושמה מרטינ""א:"
"מר/פושיו""ר",Berakhot 57b,Rashi on Berakhot 57b:8:1,,"70 ברכות נז: <b>מר</b><br>פושיו""ר fosoir [fossoir] <b>מכוש</b><br><small>ר' מילונו של לוי (מס' 474).
</small>","(57b:8:1) חוץ ממר – פשו""ר בלע""ז:"
"פסל/דולידויר""א",Berakhot 57b,Rashi on Berakhot 57b:8:2,,"71 ברכות נז: <b>פסל</b><br>דולידויר""א doledoire <b>מעצד (מעין גרזן)</b><br><small>$
</small>","(57b:8:2) פסל – דוליי""ר:"
"קריא/יבנ""ץ",Berakhot 57b,Rashi on Berakhot 57b:8:7,,"72 ברכות נז: <b>קריא</b><br>יבנ""ץ javanz <b>לילית</b><br><small>ר' מילונו של לוי (מס' 516).$
</small>","(57b:8:7) קריא – יבנ""ץ:"
"קפופא/צואיט""א",Berakhot 57b,Rashi on Berakhot 57b:8:8,,"73 ברכות נז: <b>קפופא</b><br>צואיט""א cuete <b>כוס (עוף לילי)</b><br><small>ר' להלן מס' 218.$
</small>","(57b:8:8) קפופא – צואיט""א בלע""ז ויש לה לסתות כלחיי אדם לפיכך הן מגונים:"
"קורפרא/טלפ""א",Berakhot 57b,Rashi on Berakhot 57b:8:9,,"74 ברכות נז: <b>קורפרא</b><br>טלפ""א talpe <b>חפרפרת</b><br><small>ר' מילונו של לוי (מס' 760).$
</small>","(57b:8:9) קורפראי – טלפ""א:"
"גודגדניות/צירישי""ש",Berakhot 57b,Rashi on Berakhot 57b:10:1,,"75 ברכות נז: <b>גודגדניות</b><br>צירישי""ש cerises <b>דובדבנים</b><br><small>$
</small>","(57b:10:1) גודגדניות – צירתי""ש:"
"עטוש/אישטירנודי""ר",Berakhot 57b,Rashi on Berakhot 57b:14:1,,"76 ברכות נז: <b>עטוש</b><br>אישטירנודי""ר esternuder <b>להתעטש</b><br><small>$
</small>","(57b:14:1) עטוש – אשטרנוד""ר:"
"תרדין/בלי""ץ",Berakhot 57b,Rashi on Berakhot 57b:15:1,,"77 ברכות נז: <b>תרדין</b><br>בלי""ץ (bliz) blez <b>סלק</b><br><small>ר' בלונדהיים ב' (ע' 128-127).$
</small>","(57b:15:1) תרדין – בלי""ץ:"
"סיסין/פוליו""ל",Berakhot 57b,"Rashi on Berakhot 57b:12:1,
Rashi on Berakhot 57b:15:2",,"78 ברכות נז: <b>סיסין</b><br>פוליו""ל poliol <b>סוג של נענה</b><br><small>$
</small>","(57b:12:1) מי סיסין – בשול פוליאו""ל (פוליו""ל: סוג של נענה) :,
(57b:15:2) מי סיסין – בשול פוליאו""ל:"
"הרת/וידילור""א",Berakhot 57b,,Rashi on Berakhot 57b:15:3,"79 ברכות נז: <b>הרת</b><br>וידילור""א wedelure [   ] <b>רחם (של חיה)</b><br><small>ר' לעיל מס' 58.$
</small>","(57b:15:3) והרת – וידלייר""א שהשליל בתוכה:"
"יותרת הכבד/איברי""ש",Berakhot 57a,,,"80 ברכות נז <b>יותרת הכבד</b><br>איברי""ש ebres <b>סרעפת</b><br><small>ר' להלן מס' 2084$
</small>"
"בהקנים/לינטילו""ש",Berakhot 58b,Rashi on Berakhot 58b:8:1,,"81 ברכות נח: <b>בהקנים</b><br>לינטילו""ש lentilos [lentillos] <b>עדשנים, שעורם מנומש בכעין עדשים</b><br><small>$
</small>","(58b:8:1) בהקנים – לינטייליו""ש כעדשים:"
"גיחור/רו""ש",Berakhot 58b,Rashi on Berakhot 58b:8:3,,"82 ברכות נח: <b>גיחור</b><br>רו""ש ros <b>אדמוני</b><br><small>$
</small>","(58b:8:3) גיחור – אדום הרבה רו""ש בלע""ז:"
"הדריקנוס/וירואו""ש",Berakhot 58b,,Rashi on Berakhot 58b:8:6,"83 ברכות נח: <b>הדריקנוס</b><br>וירואו""ש  weruos[verruos] <b>מיובל, שעורו מכוסה יבלות</b><br><small>$
</small>","(58b:8:6) הדרניקוס – רודא""ש לשון אחר פיו עקום:"
"(כ)נמטא/קרשפ""ו",Berakhot 58b,,,"84 ברכות נח: <b>(כ)נמטא</b><br>קרשפ""ו crespo <b>מקורזל</b><br><small>לעז זה נמצא רק בדפוס התלמוד, שיצא בספרד בסביבות רמ""ה, והיא מילה ספרדית, שבאה במקום המלה הצרפתית, או שהוכנסה בזמן מאוחר; גם הנוסח של המלה המתורגמת – כהמטא?, כומט? – מעורר ספקות.$
</small>"
"פתויי ראש/פילטרי""ר",Berakhot 58b,Rashi on Berakhot 58b:8:9,,"85 ברכות נח: <b>פתויי ראש</b><br>פילטרי""ר feltrer <b>לרפד, לדבק (כפי שמדובקים נימי הלֵבֵד)</b><br><small>$
</small>","(58b:8:9) פתויי ראש – ששערו כנמטא כל שערו דבוק זה בזה פלטדי""ר בלע""ז:"
"קפוף/וולטו""ר",Berakhot 58b,Rashi on Berakhot 58b:10:1,,"86 ברכות נח: <b>קפוף</b><br>וולטו""ר woltur [voltur] <b>עזנייה</b><br><small>$
</small>","(58b:10:1) קפוף – עוף שקורין וולטו""ר ויש לו לסתות ולחיים כאדם:"
"גזיזי/גלצונ""ש",Berakhot 59a,,Rashi on Berakhot 59a:7:3,"87 ברכות נט. <b>גזיזי</b><br>גלצונ""ש glacons <b>חתיכות קרו.</b><br><small>$
</small>","(59a:7:3) ומתבר גזיזי דברזא – ואותו הקול היינו רעמים. גזיזי גלציי""ש חתיכות של ברד:"
"זעפא/טורביי""ל",Berakhot 59a,Rashi on Berakhot 59a:8:1,,"88 ברכות נט. <b>זעפא</b><br>טורביי""ל torbeil <b>נחשול (סופת-נחשול)</b><br><small>ר' מילונו של לוי (מס' 774).$
</small>","(59a:8:1) זעפא – סופטורביי""ל:"
"ברקא/אישלויד""א",Berakhot 59a,Rashi on Berakhot 59a:9:1,,"89 ברכות נט. <b>ברקא</b><br>אישלויד""א esloide <b>ברק</b><br><small>ר' מילונו של לוי (מס' 56).$
</small>","(59a:9:1) ברקא – אישלוזיר""א לשון מבריק נהר:"
"גיחור/רו""ש",Berakhot 59b,Rashi on Berakhot 59b:5:1,,"90 ברכות נט: <b>גיחור</b><br>רו""ש ros <b>אדמוני</b><br><small>$
</small>","(59b:5:1) ה""ג והאי דגיחורי משום דמשמשי ביממא לפיכך בניהן אדומין כאדמומית היום רו""ש בלע""ז:"
"שרטון/לימו""ן",Berakhot 60a,,Rashi on Berakhot 60a:8:1,"91 ברכות ס. <b>שרטון</b><br>לימו""ן limon <b>טיט, בוץ</b><br><small>$
</small>","(60a:8:1) דמסקא ארעא שרטון – לימ""ץ מחמת המים והוה ליה לזבל:"
"שריף/הומי""ר",Berakhot 62a,Rashi on Berakhot 62a:3:4,,"92 ברכות סב. <b>שריף</b><br>הומי""ר humer <b>לגמוא (לבלוע מתוך שאיפה)</b><br><small>ר' בלונדהיים פ' (ע' 87-86).$
</small>","(62a:3:4) שריף – הומי""ר בלע""ז:"
"אסטמא/אציי""ר",Berakhot 62b,Rashi on Berakhot 62b:1:2,,"93 ברכות סב: <b>אסטמא</b><br>אציי""ר acier <b>פלדה</b><br><small>ר' בלונדהיים ב' (עמ' 49-47). מסתבר, שצריך להבין: כפי שהפיכת הברזל לפלדה מועילה לו… אם מעדיפים לא להשלים את המשפט בדברים, שאינם כתובים בפירוש, אולי אפשר להציע את הקריאה אאציי""ר aacier (פועל במשמעות ""להפוך לפלדה"").$
</small>","(62b:1:2) כאסטמא לפרזלא – אציי""ר בלע""ז שמועיל לברזל כך מועיל לגוף יציאה להפנות:"
"נחר/טושי""ר",Berakhot 62b,Rashi on Berakhot 62b:4:1,,"94 ברכות סב: <b>נחר</b><br>טושי""ר  toser[tosser] <b>להשתעל</b><br><small>$
</small>","(62b:4:1) נחר ליה אבבא – לידע אם יש שם אדם נחר טושי""ר בלע""ז:"
"(כרכשיה) [כרכשא]/טבחיא""ה",Berakhot 62b,Rashi on Berakhot 62b:6:2,,"95 ברכות סב: <b>(כרכשיה) [כרכשא]</b><br>טבחיא""ה tabahie <b>פי-הטבעת</b><br><small>אין זו מלה צרפתית. כי בצרפתית אין חי""ת, אלא מלה ממוצא ערבי, הקשורה אולי עם השורש ""טבח, מטבח"", שמשמעותה הראשונה הייתה ""מעי ממולא""; ייתכן, שלפנינו מלה, שהייתה בשימוש רק בקרב היהודים, ששאלו אותה מאחיהם בפרובנס ובספרד. ר' מילונו של לוי (מס' 754).$
</small>",(62b:6:2) שמטיה לכרכשיה – חלחולת שהרעי יוצא בו שקורין טבחיא:
"קפנדריא/טריי""א",Berakhot 62b,Rashi on Berakhot 62b:18:4,,"96 ברכות סב: <b>קפנדריא</b><br>טריי""א trieje [triege] <b>קיצור-דרך</b><br><small>$
</small>","(62b:18:4) קפנדריא – טרי""א בלע""ז:"
"מחטא דתלמיותא/ברושדי""ר של גנביי""ש",Berakhot 63a,,Rashi on Berakhot 63a:14:1,"97 ברכות סג. <b>מחטא דתלמיותא</b><br>ברושדי""ר של גנביי""ש  ganbeis (de) brosder [ganbais (de) brosder] <b>רקמה של מקטורן מרופד</b><br><small>את ה – ganbeis היו לובשים מתחת לשריון כדי להגן על הגוף מכובד המתכת; לכן קשה למצוא באומנות של ימי-הביניים תמונות המתארות לבוש זה, שמהן היו יכולים ללמוד, מה טיב רקמה מיוחדת זו, אולי אפשר לשער, שלשם אוורור הבגד המרופד, היו רוקמים בו לולאות רחבות מעין תחרים – כפי שבתקופה מאוחרת יותר היו המקטורנים חלולים חלולים בחורים גאומטריים המכונים creves (מפוּצצים) – ומלאכת הרקמה, ככל שהיא מרחיבה – קלה יותר. או שהיו מעטרים בגד תחתון זה בשורות פשוטות וישרות.$
</small>","(63a:14:1) מחטא דתלמיותא – ברושי""ד שלגבויי""ש שהתפירו' עשויות שורות שורות כתלמי מענה:"
"מורסא/קויטור""א",Shabbat 3a,Rashi on Shabbat 3a:2:3,,"98 שבת ג. <b>מורסא</b><br>קויטור""א cuiture <b>כוויה (פצע מזוהם)</b><br><small>$
</small>","(3a:2:3) מורסא - קויסטור""א:"
"בקעה/קנפני""א",Shabbat 6a,Rashi on Shabbat 6a:12:1,,"99 שבת ו. <b>בקעה</b><br>קנפני""א chanpanie  [chanpagne] <b>מישור, שדה פתוח, איזור של שדות</b><br><small>ר' מילונו של לוי (מס' 209).$
</small>","(6a:12:1) בקעה - שדות הרבה קנפני""א בלע""ז:"
"היזמי/רונצ""א",Shabbat 7a,,"Rashi on Shabbat 7a:7:4,
Rashi on Shabbat 7a:7:1","100 שבת ז. <b>היזמי</b><br>רונצ""א ronce <b>קוץ</b><br><small>ר' מילונו של לוי (מס' 187)$
</small>","(7a:7:4) אפילו היזמי והיגי - דדרסי עליה בסנדליהון אבל צואה אע""ג דלא גבוה לא דרסי עלה ורב אשי אמר אפילו צואה:,
(7a:7:1) היזמי - דורצא""י:"
"היגי/איגלינטיי""ר",Shabbat 7a,Rashi on Shabbat 7a:7:2,,"101 שבת ז. <b>היגי</b><br>איגלינטיי""ר eglentier [auglentuer] <b>עץ ורד-הבר</b><br><small>ר' בלונדהיים ב' (ע' 63-62) ומילונו של לוי (מס' 179) והשווה להלן מס' 1825.$
</small>","(7a:7:2) היגי - איגלטי""ר:"
"רקק/גרביל""א",Shabbat 8b,Rashi on Shabbat 8b:6:2,,"102 שבת ח: <b>רקק</b><br>גרביל""א gravele <b>חול, חצץ (שנתערבו בהם מים)</b><br><small>ר' מילונו של לוי (מס' 499)$
</small>","(8b:6:2) רקק - גרוויל""א ומים צפין עליו:"
"יתעלפה/פשמי""ר",Shabbat 9b,Rashi on Shabbat 9b:5:3,,"103 שבת ט: <b>יתעלפה</b><br>פשמי""ר pasmer <b>להתעלף</b><br><small>ר' מילונו של לוי (מס' 784)$
</small>","(9b:5:3) יתעלפה - פשמי""ר בלע""ז:"
"יקשור בין כתפיו/ריברציי""ר",Shabbat 9b,Rashi on Shabbat 9b:6:4,,"104 שבת ט: <b>יקשור בין כתפיו</b><br>ריברציי""ר rabracier <b>להפשיל את השרוולים</b><br><small>$
</small>","(9b:6:4) משיקשור בין כתפיו - את בתי זרועותיו שקורין ברצייר""א:"
"פוזמקי/קלצונ""ש",Shabbat 10a,,Rashi on Shabbat 10a:2:1,"105 שבת י. <b>פוזמקי</b><br>קלצונ""ש chalcons <b>העלי-בד</b><br><small>ר' מילונו של לוי (מס' 204)$
</small>","(10a:2:1) רמי פוזמקי - נותן אנפילאות חשובים ברגליו ובלע""ז קאלצו""ס:"
"פכר/טריציי""ר",Shabbat 10a,,Rashi on Shabbat 10a:2:3,"106 שבת י. <b>פכר</b><br>טריציי""ר trecier <b>לשלב (מלה במלה:לקלוע)</b><br><small>$
</small>","(10a:2:3) ופכר ידיה - חובק ידיו באצבעותיו מרצי""ר בלע""ז כאדם המצטער מאימת רבו:"
"לודים/קיניליב""ש",Shabbat 10a,Rashi on Shabbat 10a:7:1,,"107 שבת י. <b>לודים</b><br>קיניליב""ש chenelevs [cheneleus] <b>כנענים</b><br><small>בלונדהיים קובע את התעתיק cheneleus; בכל אופן הכוונה ל-u חצי-עיצורית, ועד המאה הט""ז לא הבחינו בכתיבה בשפות אירופה בין u  לבין v.$
</small>","(10a:7:1) לודים - אומה שקורין קנלינ""ש ואוכלי אדם הן והם רעבתנין:"
"קיסם/ויר""א",Shabbat 11b,Rashi on Shabbat 11b:7:1,,"108 שבת יא: <b>קיסם</b><br>ויר""א wire [vire] <b>סרגל</b><br><small>$
</small>","(11b:7:1) בקיסם שבאזנו - קיסם ארוך ושוה כעין סרגלא שמשרטטין בה ספרים שקורין ויר""א בלע""ז ובו משוין את הנסרים כדרך נגרים שלנו משוים בנטיית קו ולי נראה שכל השנויין כאן אינו אלא שנותנין אותו בני האומנות עליהן בצאתם לשוק כדי שיכירו מאיזו אומנות הוא וישכרוהו למלאכה:"
"סורק/פולונ""ש",Shabbat 11b,Rashi on Shabbat 11b:7:2,,"109 שבת יא: <b>סורק</b><br>פולונ""ש folons <b>כובסים (הדורכים או הלוחצים או החובטים בבד כדי לאשפרו)</b><br><small>$
</small>","(11b:7:2) סורק - בגדים שקורין פיליר""ש:"
"קוצים/קרדונ""ש",Shabbat 11b,Rashi on Shabbat 11b:7:3,,"110 שבת יא: <b>קוצים</b><br>קרדונ""ש chardons <b>פירות של קרדה</b><br><small>הקרדה היא אחד הקוצים השכיחים ביותר בצרפת, ולפעמים משתמשים בשמה כדי להצביע על קוצים סתם.$
</small>","(11b:7:3) במשיכה - הוא קושר הקוצים שקורין קרדונ""ש וגם את הבגד תופר ומחבר בו ב' ראשין כשמותחו על יתדות האומנות לחובטו במקלות לזקוף את שערו:"
