Bava Batra 2a:1	<sup>i</sup><b>W</b>ENN G<small>EMEINSCHAFTEU IM</small> [<small>GEMEINSAMEN</small>] H<small>OFE</small>$fn1 <small>EINE</small> A<small>BTEILUNG MACHEN</small>$fn2 <small>WOLLEN</small>, <small>SO BAUEN SIE DIE</small> W<small>AND IN DER</small> M<small>ITTE</small>$fn3, <small>UND ZWAR WIE ES IM</small> O<small>RTE ZU BAUEN ÜBLICH IST</small>, <small>AUS</small> B<small>RUCHSTEINEN</small>, Q<small>UADERN</small>, H<small>ALBZIEGELN ODER</small> Z<small>IEGELN</small>; <small>ALLES NACH DEM</small> L<small>ANDESBRAUCHE</small>$fn4. 
Bava Batra 4b:1	Er übertünche eine Elle von außen. – Soll er es doch von innen tun!? – Der andere könnte es von außen tun, und sagen: sie gehört mir und ihm. – Demnach kann ja der andere auch jetzt es abkratzen und sagen: sie gehört mir und ihm!? – Das Abgekratzte ist zu merken. 
Bava Batra 4b:2	Bei einer Wand aus Zweigen biege er, wie R. Naḥman sagte, die Enden nach außen. – Soll er sie doch nach innen biegen!? – Der andere könnte ebenfalls solche von außen machen und sagen: sie gehört mir und ihm. – Demnach kann er sie ja auch jetzt entfernen und sagen: sie gehört mir und ihm!? – Er überstreiche sie mit Lehm. – Der andere kann es ja abkratzen!? – Das Abgekratzte ist kenntlich. 
Bava Batra 4b:3	Abajje sagt, bei einer aus Zweigen gibt es kein anderes Mittel als einen Schein.
Bava Batra 4b:4	E<small>RRICHTETEN SIE SIE MIT DER</small> Ü<small>BEREINSTIMMUNG BEIDER</small>. Raba aus Parziqa sprach zu R. Aši: Sollte es$fn104weder der eine noch der andere machen!? Dieser erwiderte: In dem Falle, wenn einer zuvorgekommen ist und seines gemacht hat; wenn der andere keines machen würde, könnte dieser sagen, sie gehöre ihm. – 
Bava Batra 4b:5	Der Autor lehrt also nur ein Mittel gegen Betrüger!? Dieser erwiderte: Lehrt er etwa im Anfangsatze nicht ein Mittel gegen Betrüger!? 
Bava Batra 4b:6	Jener entgegnete: Erklärlich ist der Anfangsatz, denn in diesem lehrt er das Gesetz, und wegen des Gesetzes lehrt er auch das Mittel, aber lehrt er etwa auch im Schlußsatze ein Gesetz, dessentwegen er das Mittel lehrt!? Rabina erklärte: Dieser spricht von einer Zweigenwand, und zwar schließt dies die Ansicht Abajjes aus; dieser sagt, bei einer Zweigenwand gebe es kein anderes Mittel als einen Schein, so lehrt er uns, daß ein Kennzeichen ausreiche.
Bava Batra 4b:7	<sup>iii</sup><b>W</b><small>ENN JEMAND SEINEM</small> N<small>ÄCHSTEN VON DREI</small> S<small>EITEN ANGRENZT</small>$fn105<small>UND EINEN</small> Z<small>AUN AN DER EINEN</small>, <small>AN DER ZWEITEN UND AN DER DRITTEN</small> S<small>EITE ERRICHTET</small>$fn106, <small>SO VERPFLICHTET MAN DIESEN</small>$fn107<small>NICHT</small>. R. J<small>OSE SAGT</small>, <small>WENN ER SICH AUFMACHT UND AUCH AN DER VIERTEN</small> S<small>EITE EINEN</small> Z<small>AUN ERRICHTET</small>, <small>SO WIRD IHM ALLES</small>$fn108<small>AUFERLEGT</small>.
Bava Batra 4b:8	GEMARA. 
Bava Batra 4b:9	Es wurde gelehrt: R. Hona sagt, je nach der Umzäunung$fn109; Ḥija b. Rabh sagt, nur nach dem billigen Rohrwerte$fn110. – 
Bava Batra 4b:10	Wir haben gelernt. Wenn jemand seinem Nächsten von drei Seiten angrenzt und einen Zaun an der einen, an der zweiten und an der dritten Seite errichtet, so verpflichtet man diesen nicht. Demnach verpflichtet man ihn, wenn jener auch an der vierten [Seite einen Zaun] errichtet$fn111; dagegen heißt es im Schlußsatze: R. Jose sagt, wenn er sich aufmacht und auch an der vierten Seite einen Zaun errichtet, so wird ihm alles$fn112auferlegt. 
Bava Batra 4b:11	Allerdings besteht nach R. Hona, welcher sagt, je nach der Umzäunung, zwischen dem ersten Autor und R. Jose folgender Unterschied: der erste Autor ist der Ansicht, nur nach dem billigen Rohrwerte, nicht aber je nach der Umzäunung$fn113, während R. Jose der Ansicht ist, je nach der Umzäunung; 
Bava Batra 4b:12	welchen Unterschied aber gibt es nach Ḥija b. Rabh, welcher sagt, nur nach billigem Rohrwerte, zwischen dem ersten Autor und R. Jose; was zahlt er ihm,  wenn er$fn114ihm nicht einmal nach billigem Rohrwerte zahlt!? – 
Bava Batra 4b:13	Wenn du aber willst, sage ich: ein Unterschied besteht zwischen ihnen hinsichtlich des Bewachungslohnes; der erste Autor ist der Ansicht, er habe ihm nur den Bewachungslohn$fn117zu ersetzen, nicht aber [den Zaun] nach dem billigen Rohrwerte, und R. Jose ist der Ansicht, [den Zaun] nach dem billigen Rohrwerte.
Bava Batra 4b:14	Ein Unterschied besteht zwischen ihnen hinsichtlich der ersten, zweiten und dritten [Seite]; der erste Autor ist der Ansicht, er trage$fn115nur zur vierten Wand bei, nicht aber zur ersten, zweiten und dritten, und R. Jose ist der Ansicht, er müsse auch zur ersten, zweiten und dritten beitragen. 
Bava Batra 4b:15	Wenn du willst, sage ich: ein Unterschied besteht zwischen ihnen hinsichtlich des Umgebenden und Umgebenen; der erste Autor ist der Ansicht, nur wenn es$fn116der Umgebene tut, werde ihm alles auferlegt, wenn aber der Umgebende, so trage er nur zur vierten bei, 
Bava Batra 4b:16	und R. Jose ist der Ansicht, es werde ihm alles auferlegt, einerlei ob der Umgebene oder der Umgebende [die vierte Wand] errichtet. 
Bava Batra 4b:17	Wenn du willst, sage ich: ein Unterschied besteht zwischen ihnen hinsichtlich des Umgebenden und Umgebenen; der erste Autor ist der Ansicht, er habe beizutragen, auch wenn der Umgebende die vierte Wand errichtet, und R. Jose ist der Ansicht, nur wenn der Umgebene die vierte Wand errichtet, habe er beizutragen, denn er bekundet, daß dies ihm erwünscht ist, wenn aber der Umgebende sie errichtet, braucht er nichts beizutragen. 
Bava Batra 5a:1	Rabina umgab Ronja von allen vier Seiten; da sprach er$fn118zu ihm: Ersetze mir$fn119gemäß der Umzäunung. Dieser ersetzte ihm aber nichts. – Ersetze mir den billigen Rohrwert. Dieser aber ersetzte ihm nichts. – Ersetze mir nach dem Bewachungslohne. Dieser aber ersetzte ihm nichts. 
Bava Batra 5a:2	Eines Tages pflückte er Datteln; da sprach jener zu seinem Pächter: Geh, hole einen Dattelkamm. Als dieser ihn holen wollte, schrie er ‘ihn an. Darauf sprach jener zu ihm: Du hast nun bekundet, daß dies$fn120dir lieb ist; sollten es auch nur die Ziegen$fn121sein. Dieser erwiderte: Ziegen braucht man nur anzuschreien. Jener entgegnete: Müßtest du etwa nicht jemand hahen, der sie anschreit!? Du brauchtest also eine Bewachung. 
Bava Batra 5a:3	Als sie darauf vor Raba kamen, sprach er zu ihm: Geh, befriedige ihn damit, womit er sich für befriedigt erklärt, sonst verurteile ich dich nach der Ansicht R. Joses, gemäß der Auslegung R. Honas$fn122.
Bava Batra 5a:4	Einst kaufte Ronja Ackerland an der Grenze Rabinas, und Rabina wollte ihn fern halten auf Grund des Retraktrechtes; da sprach R. Saphra, Sohn des R. Jeba, zu Rabina: Die Leute pflegen zu sagen: vier für das Fell und vier für den Gerber$fn123.
Bava Batra 5a:5	<sup>iv</sup><b>W</b><small>ENN DIE</small> Z<small>WISCHENWAND EINES</small> H<small>OFES</small>$fn124<small>EINSTÜRZT</small>, <small>SO VERPFLICHTET MAN JEDEN</small>, <small>SIE BIS VIER</small> E<small>LLEN</small>$fn125<small>AUFZUBAUEN</small>; [<small>VON JEDEM</small>] <small>WIRD ANGENOMMEN</small>, <small>DASS ER BEIGETRAGEN HAT</small>, <small>BIS DER ANDERE</small>$fn126<small>DEN</small> B<small>EWEIS ERBRINGT</small>, <small>DASS ER NICHT BEIGETRAGEN HAT</small>. 
Bava Batra 5a:6	Ü<small>BER VIER</small> E<small>LLEN KANN MAN KEINEN</small>$fn127<small>VERPFLICHTEN</small>; <small>WENN ABER DER ANDERE</small>$fn128<small>DANEBEN EBENFALLS</small>$fn129<small>EINE</small> W<small>AND GEBAUT HAT</small>, <small>AUCH WENN ER DARÜBER NOCH KEINE</small> B<small>ALKEN GELEGT HAT</small>, <small>SO WIRD IHM ALLES AUFERLEGT</small>; <small>ES WIRD ANGENOMMEN</small>, <small>DASS ER NICHT BEIGETRAGEN</small>$fn130<small>HAT</small>, <small>BIS ER DEN</small> B<small>EWEIS ERBRINGT</small>, <small>DASS ER BEIGETRAGEN HAT</small>.
Bava Batra 5a:7	GEMARA. Reš Laqiš sagte: Wenn jemand einem eine Frist festgesetzt$fn131hat und dieser darauf sagt, er habe ihm innerhalb der Frist bezahlt, so ist er nicht glaubhaft; daß er doch zur Frist bezahlen möchte! Abajje und Raba aber sagen beide, man pflege auch innerhalb der Frist zu bezahlen, denn es kann vorkommen, daß man gerade Geld hat und sagt: ich will gehen und ihm bezahlen, 
Bava Batra 5b:1	damit er mich nicht belästige. – 
Bava Batra 5b:2	Wir haben gelernt: [Von jedem] wird angenommen, daß er beigetragen hat, bis der andere den Beweis erbringt, daß er nicht beigetragen hat. 
Bava Batra 5b:3	In welchem Falle: wollte man sagen, wenn er sagt, er habe zur Frist bezahlt$fn132, so ist ja selbstverständlich anzunehmen, daß er beigetragen habe, doch wohl, wenn er sagt, er habe innerhalb der Frist$fn133bezahlt; demnach pflegt man auch innerhalb der Frist zu bezahlen!? – Anders ist es hierbei, wo bei jeder Mauerschicht die Frist$fn134eintritt. – 
Bava Batra 5b:4	Komm und höre: Es wird angenommen, daß er nicht beigetragen hat, bis er den Beweis erbringt, daß er beigetragen hat. 
Bava Batra 5b:5	In welchem Falle: wollte man sagen, wenn er sagt, er habe zur Frist bezahlt, weshalb sollte dies nicht [wahr] sein; doch wohl, wenn er sagt, er habe innerhalb der Frist bezahlt; demnach pflegt man nicht innerhalb der Frist zu bezahlen!? – Anders ist es hierbei, denn er denkt: wer sagt, daß die Rabbanan mich dazu verpflichten werden. 
Bava Batra 5b:6	R. Papa und R. Hona, Sohn des R. Jehošua͑, entschieden nach Abajje und Raba; Mar, Sohn des R. Aši, entschied nach Reš Laqiš. Die Halakha ist wie Reš Laqiš, selbst wenn es sich um Waisen$fn135 handelt. Obgleich der Meister gesagt hat, wer Zahlung vom Vermögen der Waisen haben will, könne sie nur gegen Eid erhalten, so gilt es dagegen als feststehend, daß niemand seine Schuld innerhalb der Frist bezahle.
Bava Batra 5b:7	Sie fragten: Wie ist es, wenn er ihn nach Ablauf der Frist malmt, und dieser ihm erwidert, er habe ihm innerhalb der Frist bezahlt: sagen wir trotz der Präsumtion$fn136, er habe keinen Grund$fn137zu lügen, 
Bava Batra 6a:1	oder sagen wir wegen der Präsumtion nicht, er habe keinen Grund zu lügen? – Komm und höre: So wird angenommen, daß er bei getragen hat, bis der andere den Beweis erbringt, daß er nicht beigetragen hat. 
Bava Batra 6a:2	In welchem Falle: wollte man sagen, wenn er ihn nach der Frist mahnt und er ihm erwidert, er habe ihm zur Frist bezahlt, so ist dies ja selbstverständlich; doch wohl, wenn er ihm erwidert, er habe ihm innerhalb der Frist bezahlt, somit sagen wir auch gegen die Präsumtion, er habe keinen Grund zu lügen. – Anders ist es hierbei, denn bei jeder Mauerschicht tritt die Frist ein. – 
Bava Batra 6a:3	Komm und höre: Über vier Ellen kann man keinen verpflichten; wenn aber der andere eine Wand &amp;c. bis er den Beweis erbringt, daß er beigetragen hat. 
Bava Batra 6a:4	In welchem Falle: wollte man sagen, wenn jener ihn nach Ablauf der Frist mahnt und er ihm erwidert, er habe ihm zur Frist bezahlt, weshalb ist er nicht glaubhaft; doch wohl, wenn er ihm erwidert, er habe ihm innerhalb der Frist bezahlt; somit sagen wir wegen der Präsumtion nicht, er habe keinen Grund zu lügen. – Anders ist es hierbei, denn er denkt: wer sagt, daß die Rabbanan mich dazu verpflichten werden. 
Bava Batra 6a:5	R. Aḥa, der Sohn Rabas, sprach zu R. Aši: Komm und höre: [Wenn jemand zu einem sagte:] ich habe bei dir eine Mine, und dieser ihm erwiderte: jawohl, und am folgenden Tage jener zu ihm sagt: gib sie mir, und er ihm erwidert: ich habe sie dir bereits gegeben, so ist er frei; wenn aber: du hast nichts bei mir, so ist er schuldig. 
Bava Batra 6a:6	Unter ‘ich habe sie dir bereits gegeben’ ist wohl zu verstehen, wenn er zu ihm sagt: ich habe sie dir zur Frist bezahlt; und unter ‘du hast nichts bei mir’, wenn er zu ihm sagt: ich habe sie dir innerhalb der Frist bezahlt, und er lehrt, daß er schuldig sei; hieraus also, daß wir wegen der Präsumtion nicht sagen, er habe keinen Grund zu lügen. – Nein, unter ‘du hast nichts bei mir’ ist zu verstehen, wenn er ihm erwidert: dies$fn138ist überhaupt nicht wahr. Der Meister sagte nämlich: sagt jemand, er habe nicht geborgt, so ist es ebenso, als würde er sagen, er habe nicht bezahlt$fn139.
Bava Batra 6a:7	W<small>ENN ABER DER ANDERE DANEBEN EBENFALLS EINE</small> W<small>AND GEBAUT HAT</small>, <small>SO WIRD IHM ALLES AUFERLEGT</small> &amp;<small>C</small>. R. Hona sagte: Hat er nur eine halbe$fn140gebaut, so ist es ebenso als würde er eine ganze gebaut haben; R. Naḥman aber sagte, nur entsprechend dem, was er gebaut$fn141hat, nicht aber, was er nicht gebaut hat. 
Bava Batra 6a:8	Jedoch pflichtet R. Hona bei einem Winkel$fn142und einem Anschlusse$fn143bei, und ebenso pflichtet R. Naḥman bei in dem Falle, wenn er einen Balken gelegt$fn144oder Balkenlöcher$fn145gemacht hat.
Bava Batra 6a:9	R. Hona sagte: Die Wandlöcher$fn146gelten nicht als Zeichen des Besitzrechtes, selbst wenn Holzeinlagen$fn147sich in diesen befinden, denn dieser kann sagen: damit$fn148, wenn du mich befriedigst, meine Mauer nicht beschädigt$fn149werde.
Bava Batra 6a:10	R. Naḥman sagte: Hat jemand$fn150Lattenrecht$fn151, so hat er kein Balkenrecht$fn152, hat er Balkenrecht, so hat er auch Lattenrecht. R. Joseph aber sagte: Hat er Lattenrecht, so hat er auch Balkenrecht, hat er Balkenrecht, so hat er kein Lattenrecht$fn153. 
Bava Batra 6a:11	Manche lesen: R. Naḥman sagte: Hat jemand Lattenrecht, so hat er auch Balkenrecht, hat er Balkenrecht, so hat er auch Lattenrecht.
Bava Batra 6a:12	Ferner sagte R. Naḥman: Hat jemand Regenwasserrecht$fn154, so hat er Rinnenrecht$fn155, hat er Rinnenrecht, so hat er kein Regenwasserrecht. R. Joseph aber sagte: Hat er Rinnenrecht, so hat er auch Regenwasserrecht. 
Bava Batra 6a:13	Manche lesen: R. Naḥman sagte: Hat jemand Rinnenrecht, so hat er auch Regenwasserrecht, hat er Regenwasserrecht, so hat er auch Rinnenrecht, nicht aber für ein Weidengeflecht$fn156. R. Joseph aber sagte, auch für ein Weidengeflecht. R. Joseph traf eine Entscheidung auch hinsichtlich eines Weidengeflechtes.
Bava Batra 6a:14	R. Naḥman sagte im Namen des Rabba b. Abuha: Wenn jemand seinem Nächsten eine Wohnung in einem großen Gebäude vermietet, 
Bava Batra 6b:1	so darf dieser die Vorsprünge und die Wände bis vier Ellen$fn157benutzen, und wo es üblich ist, auch die Dicke der Wände$fn158, nicht aber den Vorgarten$fn159 eines Palastes. In seinem eigenen Namen aber sagte R. Naḥman, auch den Vorgarten eines Palastes, nicht aber den Platz hinter den Häusern. Raba aber sagte, auch den Platz hinter den Häusern.
Bava Batra 6b:2	Rabina sagte: Für Balken zu einer Laube$fn160hat man in dreißig Tagen$fn161 kein Recht$fn162erworhen, nach dreißig Tagen das Recht darauf erworben$fn163; ist es eine Festhütte, so hat man in sieben Tagen$fn164kein Recht darauf erworben, nach sieben Tagen das Recht darauf erworben; hat er sie$fn165mit Lehm befestigt, so tritt das Recht sofort ein.
Bava Batra 6b:3	Abajje sagte: Befinden sich zwei Häuser an beiden Seiten$fn166des öffentlichen Gebietes, so mache der eine ein Geländer$fn167für die Hälfte seines Daches und der andere ein Geländer für die Hälfte seines Daches, einer nicht gegenüber dem anderen, und etwas darüber$fn168. – 
Bava Batra 6b:4	Wieso gerade des öffentlichen Gebietes, dies gilt ja auch vom Privatgebiete!? – Von öffentlichem Gebiete ist dies zu lehren nötig; man könnte glauben, der eine könne zum anderen sagen: immerhin mußt du dich doch vor dem Straßenpublikum$fn169schützen, 
Bava Batra 6b:5	so lehrt er uns, daß er ihm erwidern könne: das [Straßen]publikum kann mich am Tage beobachten, nachts aber nicht, du aber kannst mich sowohl am Tage als auch nachts beobachten. Oder auch: das [Straßen]publikum kann mich beobachten, wenn ich stehe, nicht aber, wenn ich sitze, du aber kannst mich beobachten, einerlei ob ich stehe oder sitze. Das [Straßen]publikum kann mich beobachten, wenn es genau hinschaut, nicht aber, wenn es nicht genau hinschaut, du aber kannst mich auch unbeabsichtigt beobachten$fn170.
Bava Batra 6b:6	Der Meister sagte: So mache der eine ein Geländer für die Hälfte seines Daches und der andere ein Geländer für die Hälfte seines Daches, und etwas darüber. Selbstverständlich$fn171!? – 
Bava Batra 6b:7	In dem Falle, wenn einer von ihnen zuvorgekommen ist und die [Hälfte des Geländers] gemacht hat; man könnte glauben, der andere könne zu ihm sagen: da hast du die Auslagen und mache den ganzen, so lehrt er uns, daß dieser ihm erwidern könne: du willst es deshalb nicht machen, weil dadurch deine Mauer leidet, dadurch leidet auch meine Mauer.
Bava Batra 6b:8	R. Naḥman sagte im Namen Šemuéls: Befindet sich ein Dach in der Nähe des Hofes eines anderen, so muß [der Eigentümer] ein vier Ellen hohes Geländer$fn172machen; nicht aber zwischen zwei Dächern$fn173. In seinem eigenen Namen aber sagte R. Naḥman, es seien keine vier Ellen erforderlich, wohl aber ist ein Geländer von zehn [Handbreiten] erforderlich. – 
Bava Batra 6b:9	Wozu, wenn [als Schutz] gegen Schädigung durch das Hineinsehen, so sind ja vier Ellen erforderlich, wenn den anderen als Dieb$fn174abzufassen, so ist ja ein Gitter ausreichend, und wenn [als Schutz] gegen Ziegen und Lämmer, so ist ja [ein Gitter] ausreichend, durch das diese nicht mit dem Kopfe hindurch können!? – Tatsächlich, um den anderen als Dieb abfassen zu können, denn bei einem Gitter kann er eine Ausrede$fn175haben, bei einem zehn [Handbreiten hohen] Zaun aber hat er keine Ausrede. 
Bava Batra 6b:10	Man wandte ein: Liegt aber sein Hof höher$fn176als das Dach des anderen, so verpflichtet man ihn dazu$fn177nicht$fn178. Wahrscheinlich verpflichtet man ihn überhaupt nicht!? – Nein, man verpflichtet ihn nicht zu einer Wand von vier Ellen, wohl aber zu einer von zehn [Handbreiten].
Bava Batra 6b:11	Es wurde gelehrt: Wenn sich zwei Höfe übereinander$fn179befinden, so muß, wie R. Hona sagt, der untere [die Wand] ihm gegenüber nach oben$fn180und der obere ihm gegenüber nach oben$fn181bauen. R. Ḥisda aber sagt, der obere müsse auch zum Bau des unteren$fn182beitragen. 
Bava Batra 6b:12	Übereinstimmend mit R. Ḥisda wird gelehrt: Wenn zwei Höfe sich übereinander befinden, so kann der obere nicht sagen, er baue nur ihm gegenüber nach oben, vielmehr muß er auch zur unteren [Wand] beitragen. Liegt aber sein Hof höher als das Dach des anderen, so ist er dazu nicht verpflichtet.
Bava Batra 6b:13	Einst waren zwei Leute, die zusammen$fn183wohnten, einer wohnte im Obergeschosse und der andere wohnte im Erdgeschosse, und das Erdgeschoß senkte$fn184sich. Da sprach der andere [zum ersten]: Wollen wir [das Haus] niederreißen und neu bauen. Dieser erwiderte: Ich wohne bequem; wenn du nicht bequem wohnst, so grabe eine Vertiefung in den Boden, [oder] krieche auf deinem Bauche$fn185und geh hinein, krieche auf deinem Bauche und geh hinaus. 
