Rosh Hashanah 2a:1	<b>E</b>S <small>GIBT VIER</small> J<small>AHRESANFÄNGE: DER ERSTE</small> N<small>ISAN IST</small> J<small>AHRESANFANG DER</small> K<small>ÖNIGE</small>$fn1 <small>UND DER</small> F<small>ESTE</small>$fn2. 
Rosh Hashanah 5b:9	wie sollte man verfahren: bringt man es mit dem [dazu erforderlichen] Brote dar, so kann es ja das Eingetauschte$fn69sein, und bringt man es ohne Brot dar, so kann es ja das [originäre] Dankopfer sein. – 
Rosh Hashanah 5b:10	Wozu braucht die Schrift, wenn es nicht darzubringen ist, es auszuschließen!? 
Rosh Hashanah 5b:11	R. Šešeth erwiderte: Tatsächlich den Ersatz des Brandopfers und des Heilsopfers, nur handelt es sich hier um den Fall, wenn, nachdem zwei Feste verstrichen sind, das originäre einen Fehler bekommen und man es auf ein anderes eingetauscht hat, und dann wiederum ein Fest verstrichen ist. Man könnte glauben, da es das erste ersetzt, sei es ebenso, als wären drei Feste verstrichen, so lehrt er uns. – 
Rosh Hashanah 5b:12	Wie ist es aber nach R. Meír zu erklären, welcher sagt, man habe das Verbot des Versäumens übertreten, auch wenn nur ein Fest verstrichen ist!? Raba erwiderte: Hier handelt es sich um den Fall, wenn es während des Festes einen Fehler bekommen und man es umgetauscht hat, und das Fest verstrichen ist. Man könnte glauben, da es das erste ersetzt, sei es ebenso, als wäre das ganze Fest verstrichen, so lehrt er uns.
Rosh Hashanah 5b:13	«<i>Und es könnte an dir eine Sünde haften</i>, nicht aber eine Sünde an deinem Opfer.» Braucht dies denn hieraus entnommen zu werden, dies geht ja aus [einer Lehre] der Anderen hervor!? Es wird nämlich gelehrt: Andere sagen, man könnte glauben, die Erstgeburt gleiche, wenn ein Jahr verstrichen ist, untauglich gewordenen Opfern und sei untauglich, 
Rosh Hashanah 5b:14	so heißt es :$fn70<i>du sollst vor dem Herrn, deinem Gotte, den Zehnten deines Getreides, Mostes und Öls und die Erstgeborenen deiner Rinder und Schafe verzehren</i>; das Erstgeborene gleicht dem Zehnten: wie der Zehnt von einem Jahre zum anderen nicht untauglich wird, ebenso wird die Erstgeburt von einem Jahre zum anderen nicht untauglich. – 
Rosh Hashanah 5b:15	Dies ist nötig; man könnte glauben, dies gelte nur von der Erstgeburt, die nicht wohlgefällig$fn71zu machen braucht, Opfer aber, die wohlgefällig zu machen haben, machen nicht wohlgefällig, so lehrt er uns. –
Rosh Hashanah 5b:16	Aber dies ist ja 
Rosh Hashanah 6a:1	auch aus einer Lehre Ben Azajs zu entnehmen!? Es wird nämlich gelehrt: Ben Azaj sagte:
Rosh Hashanah 6a:2	$fn72<i>Es</i>, was lehrt dies!? Da es heißt: <i>versäume nicht, es einzulösen</i>, so könnte man glauban, auch das versäumt [eingelöste] Gelübde mache nicht wohlgefällig, so heißt es <i>es</i>, nur dieses macht nicht wohlgefällig, wohl aber macht das versäumt [dargebrachte] Gelübde wohlgefällig. – 
Rosh Hashanah 6a:3	Vielmehr, <i>an dir eine Sünde</i>, nicht aber an deiner Frau eine Sünde. 
Rosh Hashanah 6a:4	R. Joḥanan, nach anderen R. Elea͑zar, sagte: Die Frau stirbt einem nur deshalb, weil man von ihm Geld zu fordern und er keins hat, denn es heißt :$fn73<i>warum soll man dir das Lager unter dir wegnehmen, wenn du nicht bezahlen kannst</i>. Man könnte nun glauben, die Frau sterbe einem auch wegen der Sünde des Versäumens, so lehrt er uns.
Rosh Hashanah 6a:5	Die Rabbanan lehrten:$fn74<i>Den Ausspruch deiner Lippen</i>, es ist ein Gebot; <i>sollst du halten</i>, es ist ein Verbot; <i>du sollst tun</i>, es ist eine Verwarnung für das Gericht, dich zu zwingen; <i>wie du gelobt</i>, das ist das Gelobte; <i>dem Herrn, deinem Gott</i>, das sind Sündopfer, Schuldopfer, Brandopfer und Heilsopfer; <i>ein freiwilliges Opfer</i>, dem Wortlaut gemäß; <i>was du ausgesprochen hast</i>, das sind Spenden zum Tempel-Reparaturfonds’; <i>mit deinem Munde</i>, das ist Almosen. 
Rosh Hashanah 6a:6	Der Meister sagte: <i>Den Anspruch deiner Lippen</i>, es ist ein Gebot. Wozu dies, dies geht ja hervor aus [dem Verse]:$fn50<i>du sollst dahin kommen, ihr sollt dahin bringen</i>!? <i>Sollst du halten</i>, es ist ein Verbot. Wozu dies, dies geht ja hervor aus [dem Verse]: <i>versäume nicht, es einzulösen</i>!? 
Rosh Hashanah 6a:7	<i>Du sollst tun</i>, es ist eine Verwarnung für das Gericht, dich zu zwingen. Wozu dies, dies geht ja hervor aus [dem Verse]:$fn75<i>er soll es darbringen</i>!? Es wird nämlich gelehrt: <i>Er soll es darbringen</i>, dies lehrt, daß man ihn dazu zwinge; man könnte glauben, durch Gewalt, so heißt es :$fn75<i>nach seinem Wunsche</i>. Auf welche Weise? Man nötige ihn, bis er sagt, er wolle es. – 
Rosh Hashanah 6a:8	Das eine, wenn er [ein Opfer] zugesagt und nicht abgesondert hat, und das andere, wenn er es auch abgesondert, aber nicht dargebracht hat.
Rosh Hashanah 6a:9	Und beides ist nötig. Hätte er nur den Fall gelehrt, wenn er zugesagt und nicht abgesondert hat, so könnte man glauben, weil er sein Wort nicht eingelöst hat, wenn er es aber abgesondert und nicht dargebracht hat, sei es in der Schatzkammer des Allbarmherzigen, wo es sich auch befindet.
Rosh Hashanah 6a:10	Und hätte er nur den Fall, wenn er es auch abgesondert und nicht dargebracht hat, so könnte man glauben, weil er es ja bei sich zurückhält, wenn er es aber nur zugesagt und nicht abgesondert hat, könnte man glauben, sei das bloße Wort belanglos. Daher ist beides nötig. – 
Rosh Hashanah 6a:11	Wieso kannst du sagen, wenn er es zugesagt und nicht abgesondert hat, es heißt ja ‘Gespendetes’!? Es wird nämlich gelehrt: Was heißt Gelobtes? Wenn man sagt: ‘ich nehme auf mich, ein Brandopfer [darzubringen]’. Was heißt: Gespendetes? Wenn man sagt: ‘dieses sei ein Brandopfer’.
Rosh Hashanah 6a:12	Welchen Unterschied gibt es zwischen Gelobtem und Gespendetem? Für das Gelobte ist man, wenn es verendet oder gestohlen wird, haftbar, für das Gespendete ist man, wenn es verendet oder gestohlen wird, nicht haftbar.
Rosh Hashanah 6a:13	Raba erwiderte: Es kann in dem Falle vorkommen, wenn er gesagt hat: ‘ich nehme auf mich, ein Brandopfer darzubringen], mit der Bedingung, dafür nicht haftbar zu sein!’ 
Rosh Hashanah 6a:14	«<i>Mit deinem Munde</i>, das ist Almosen.» Raba sagte: Almosen muß man sofort entrichten, weil die Armen vorhanden sind. – 
Rosh Hashanah 6a:15	Selbstverständlich!? – Man könnte glauben, auch bei diesem erst nach drei Festen wie bei den Opfern, da es mit den Opfern genannt wird, so lehrt er uns, daß der Allbarmherzige nur jene von den Festen abhängig gemacht hat, nicht aber dieses, weil die Armen vorhanden sind.
Rosh Hashanah 6a:16	Raba sagte: Sobald ein Fest verstrichen ist, hat man das Gebot übertreten.
Rosh Hashanah 6a:17	Man wandte ein: R. Jehošua͑ und R. Papjas bekundeten, daß das Junge eines Heilsopfertiers als Heilsopfer darzubringen sei. R. Papjas sprach: Ich bekunde, daß wir eine Heilsopferkuh hatten, die wir am Pesaḥfeste verzehrten, und das Junge derselben ebenfalls als Heilsopfer [erst] am Feste$fn76verzehrten. 
Rosh Hashanah 6a:18	Erklärlich ist es nun, daß sie [das Junge] nicht am Pesaḥfeste darbrachten, weil es dann vielleicht das Alter$fn77noch nicht hatte, wieso aber ließen sie das Wochenfest vorübergehen und übertraten ein Gebot!? 
Rosh Hashanah 6a:19	R. Zebid erwiderte im Namen Rabas:
Rosh Hashanah 6b:1	Wenn es am Wochenfeste krank war. R. Aši erwiderte: Unter ‘Fest’, von dem er bekundet, daß sie es dann verzehrten, ist das Wochenfest zu verstehen. – 
Rosh Hashanah 6b:2	Und jener!? – Wo das Pesaḥfest genannt wird, wird auch das Wochenfest$fn78genannt.
Rosh Hashanah 6b:3	Raba sagte [ferner]: Sobald drei Feste verstrichen sind, begeht man tagtäglich das Verbot des Versäumens. Man wandte ein: Sowohl bei der Erstgeburt als auch bei allen anderen Opfern begeht man das Verbot des Versäumens, sobald ein Jahr verstrichen ist, auch wenn nicht die Feste, oder die Feste vorüber sind, auch wenn kein ganzes Jahr. 
Rosh Hashanah 6b:4	Was ist das für ein Einwand!? R. Kahana erwiderte: Wer diesen Einwand richtete, hat recht; merke, der Tanna will ja die [vielen] Übertretungen hervorheben, so sollte er doch gelehrt haben: so begeht man tagtäglich das Verbot des Versäumens. – 
Rosh Hashanah 6b:5	Und jener? – Der Tanna will nur hervorheben, wann man das Verbot begeht, nicht wie oft [man es begeht].
Rosh Hashanah 6b:6	Der Text. Sowohl bei der Erstgeburt als auch bei allen anderen Opfern begeht man das Verbot des Versäumens, sobald ein Jahr verstrichen ist, auch wenn nicht die Feste, oder die Feste vorüber sind, auch wenn kein ganzes Jahr. Allerdings sind drei Feste und kein Jahr möglich, wieso aber ist ein Jahr und keine drei Feste möglich!? 
Rosh Hashanah 6b:7	Allerdings kann dies nach demjenigen vorkommen, nach dem es der Reihe nach erfolgen muß, wieso aber nach demjenigen, nach dem es nicht der Reihe$fn79nach zu erfolgen braucht!? 
Rosh Hashanah 6b:8	Ferner kann dies auch nach Rabbi bei einem Schalt jahre vorkommen, denn es wird gelehrt:$fn80<i>Ein ganzes Jahr</i>; Rabbi sagt, man zähle$fn81dreihundertfünfundsechzig Tage, nach der Zählung des Sonnenjahres; 
Rosh Hashanah 6b:9	die Weisen sagen, man zähle zwölf Monate$fn82vom betreffenden Tage bis zum selben Tage [des nächsten Jahres], und ist das Jahr ein Schaltjahr, so ist es zu Gunsten [des Verkäufers]. Nach Rabbi kann dies also vorkommen, wenn man es [unmittelbar] nach dem Pesaḥfeste geweiht hat, sodaß im zweiten Adar das [Sonnen]jahr vollzählig ist, die Feste aber es nicht vorüber sind, wieso aber kann dies nach den Rabbanan vorkommen!? – 
Rosh Hashanah 6b:10	Nach einer Lehre R. Šema͑jas: Das Wochenfest fällt zuweilen auf den fünften, zuweilen auf den sechsten und zuweilen auf den siebenten [Sivan]; und zwar: sind beide$fn83vollzählig, so fällt es auf den fünften, sind beide unvollzählig, so fällt es auf den siebenten, ist einer vollzählig und einer unvollzählig, so fällt es auf den sechsten$fn84. 
Rosh Hashanah 6b:11	Wer ist es, der gegen R. Šema͑ja streitet? – Es sind die Anderen, denn es wird gelehrt: Andere sagen, von einem Wochenfeste zum anderen, von einem Neujahrsfeste zum anderen gebe es nur eine Differenz von vier, und in einem Schaltjahre von fünf [Wochen]tagen$fn85.
Rosh Hashanah 6b:12	R. Zera fragte: Begeht auch der Erbe das Verbot des Versäumens? Der Allbarmherzige sagt:$fn63<i>wenn du ein Gelübde tust</i>, und dieser hat ja nicht gelobt, oder aber: [es heißt]$fn50<i>du sollst dahin kommen; ihr sollt dahin bringen</i>, und dieser ist ja dazu$fn86verpflichtet? – 
Rosh Hashanah 6b:13	Komm und höre: R. Ḥija lehrte:$fn63<i>Von dir</i>, ausgenommen der Erbe. – 
Rosh Hashanah 6b:14	[Die Worte] <i>von dir</i> werden ja auf Nachlese, Vergessenes und Eckenlaß bezogen$fn87!? – Folgere aus [dem Worte] <i>dir</i> und aus [dem Worte] <i>von</i> (<i>dir</i>).
Rosh Hashanah 6b:15	R. Zera fragte: Begeht auch die Frau das Verbot des Versäumens? Sagen wir, diese ist ja nicht zur Wallfahrt verpflichtet, oder aber: sie ist ja an der Festfreude beteiligt? 
Rosh Hashanah 6b:16	Abajje sprach zu ihm: Entscheidend ist, daß sie an der Festfreude beteiligt ist. – Kann Abajje dies denn gesagt haben, er sagte ja, die Festfreude der Frau obliege dem Manne$fn88!? Er sagte es nur nach den Worten R. Zeras.
Rosh Hashanah 6b:17	Sie fragten: Wann beginnt das Jahr für die Erstgeburt? – Abajje sagte, mit der Geburt. R. Aḥa b. Ja͑qob sagte, mit der Eignung zur Opferung$fn89. 
Rosh Hashanah 6b:18	Sie streiten aber nicht; einer spricht von der gebrechenfreien
Rosh Hashanah 7a:1	und einer von der gebrechenbehafteten$fn90. 
Rosh Hashanah 7a:2	Darf man etwa das Gebrechenbehaftete schon am ersten Tage essen$fn91!? – Wenn man weiß, daß die [Trächtigkeits]monate vollzählig waren.
Rosh Hashanah 7a:3	Die Rabbanan lehrten: Der erste Nisan ist Jahresanfang für die Monate, für die Interkalation und für die Šeqalimhebe$fn92, und manche sagen, auch für die Wohnungsmiete. – 
Rosh Hashanah 7a:4	Woher dies von den Monaten? – Es heißt:$fn93<i>dieser Monat soll für euch an der Spitze der Monate stehen; als erster unter den Monaten des Jahres soll er euch gelten. Sprechet zu der ganzen Gemeinde Jisraél folgendermaßen: Am zehnten dieses Monats soll sich ein jeder ein Lamm verschaffe, je ein Lamm für jede einzelne Familie</i>.$fn94<i>Und ihr sollt es aufbewahren bis zum vierzehnten Tage dieses Monats, und es schlachten &amp;c</i>.Ferner heißt <i>es</i>:$fn95<i>achte auf den Ährenmonat</i>; der Nisan ist der Monat, in dem Frischähren vorhanden sind, und er nennt ihn den ersten. –
Rosh Hashanah 7a:5	Vielleicht ist es der Ijar!? – Er soll ja Frischährenmonat sein, was dieser nicht ist. – Vielleicht ist es der Adar$fn96!? – Er soll ja Frischährenmonat der meisten [Getreidearten] sein, was dieser nicht ist. – Heißt es denn: Ährenmonat der meisten [Getreidearten]!? 
Rosh Hashanah 7a:6	Vielmehr, erklärte R. Ḥisda, hieraus:$fn97<i>Jedoch am fünfzehnten Tage des siebenten Monats, wenn ihr die Ernte des Landes einheimst:</i> der Tišri ist der Monat, in dem die Ernte eingeheimst wird, und er nennt ihn den siebenten. – 
Rosh Hashanah 7a:7	Vielleicht ist es der Marhešvan$fn98, und zwar der siebente mit Ijar [beginnend]!? – Er soll ja Erntemonat sein, was dieser nicht ist. – Vielleicht ist es der Elul, und zwar der siebente mit Adar [beginnend]!? – Er soll ja Erntemonat der meisten [Getreidearten] sein, was dieser nicht ist. – Heißt es denn, Erntemonat der meisten [Getreidearten]!? – 
Rosh Hashanah 7a:8	Vielmehr, erklärte Rabina, ist dies aus der Tora unseres Meisters Moše nicht zu entnehmen, sondern aus den Propheten$fn99(zu entnehmen) :$fn100<i>am vierundzwanzigsten Tage des elften Monats, das ist der Monat Šebaṭ</i>. Rabba b. U͑la erklärte: Hieraus:$fn101<i>und Ester ward zum Könige Aḥašveroš in seinen königlichen Palast geholt, im zehnten Monate, das ist der Monat Ṭebeth</i>. 
Rosh Hashanah 7a:9	R. Kahana erklärte: Hieraus:$fn102<i>am vierten des neunten Monats, des Kislev</i>. R. Aḥa b. Ja͑qob erklärte: Hieraus:$fn103<i>da wurden zu jener Zeit, im dritten Monate, das ist der Monat Sivan, die königlichen Schreiber berufen</i>. R. Aši erklärte : Hieraus:$fn104<i>man warf das Pur, das ist das Los, vor Haman, von einem Tage zum anderen und von einem Monate zum anderen; [und es fiel auf</i>$fn105<i>den] zwölften Monat, das ist der Monat Adar</i>. Wenn du willst, sage ich: hieraus:$fn104<i>im ersten Monate, das ist der Monat Nisan</i>. – 
Rosh Hashanah 7a:10	Weshalb folgern es jene alle nicht aus diesem Verse!? – Vielleicht heißt er der erste, weil er der erste hinsichtlich dieser Ereignisse ist. – 
Rosh Hashanah 7a:11	Und unser Tanna$fn106!? – Er spricht nur von Jahren und nicht von Monaten.
Rosh Hashanah 7a:12	«Für die Interkalation.» Beginnt denn die Zählung hinsichtlich der Interkalation mit dem Nisan, es wird ja gelehrt: Man interkaliere das Jahr nicht vor dem Neujahrsfeste, hat man es interkaliert, ist es ungültig. In einem dringenden Falle darf man es sofort nach dem Neujahrsfeste, jedoch interkaliert man nur den Adar$fn107. 
Rosh Hashanah 7a:13	R. Nahman b. Jiçḥaq erwiderte: Unter ‘Interkalation’ ist der Abschluß der Interkalation$fn108zu verstehen. Wir haben nämlich gelernt: Diese bekundeten, daß man das Jahr während des ganzen Adar interkalieren könne; [die Weisen] sagten nämlich, nur bis zum Purimfeste. – 
Rosh Hashanah 7a:14	Was ist der Grund desjenigen, welcher sagt, nur bis zum Purimfeste? – Da der Meister sagte, man beginne dreißig Tage vor dem Pesaḥfeste über die Satzungen des Pesaḥs vorzutragen, so könnte man veranlaßt werden, das [Gesetz vom] Gesäuerten zu vernachlässigen$fn109. – Und die Anderen!? – 
Rosh Hashanah 7a:15	Man weiß, daß die Interkalation von der Berechnung abhängt, und denkt daran, daß die Rabbanan die Berechnung bis dann nicht abschließen konnten. Und unser Tanna$fn110!? – 
Rosh Hashanah 7a:16	Er spricht nur vom Beginne und nicht vom Abschluß.
Rosh Hashanah 7a:17	«Und für die Šeqalimhebe.» Woher dies? R. Jošaja erwiderte: Die Schrift sagt :$fn111<i>das ist das von Neumond zu Neumond, während aller Neumonde des Jahres [darzubringende] Brandopfer</i>; die Tora sagt damit, daß man das Opfer von der neuen Hebe bringe und man folgere durch [das Wort] <i>Jahr</i>, das beim Nisan gebraucht wird, wie es heißt:$fn93<i>als erster unter den Monaten des Jahres</i>. – 
Rosh Hashanah 7a:18	Sollte man doch durch [das Wort] <i>Jahr</i> vom Tisri folgern, denn es heißt :$fn112<i>Vom Beginne des Jahres</i>!? – Man folgere hinsichtlich des <i>Jahr</i>, neben dem <i>es Monate</i> heißt, von <i>Jahr</i>, neben dem es <i>Monate</i> heißt, man folgere aber nicht hinsichtlich des <i>Jahr</i>, neben dem es <i>Monate</i> heißt, von <i>Jahr</i>, neben dem es nicht <i>Monate</i> heißt.
Rosh Hashanah 7a:19	R. Jehuda sagte im Namen Šemuéls: Es ist gottgefällig, am ersten Nisan die darzubringenden Gemeindeopfer von der neuen [Hebe] darzubringen; hat man sie von der alten dargebracht, so hat man seiner Pflicht genügt, nur hat man eine Gottgefälligkeit unterlassen. 
Rosh Hashanah 7a:20	Ebenso wird auch gelehrt: Es ist gottgefällig, am ersten Nisan die darzubringenden Gemeindeopfer von der neuen [Hebe] darzubringen; hat man sie von der alten dargebracht, so hat man seiner Pflicht genügt, nur hat man eine Gottgefälligkeit unterlassen. Wenn ein Einzelner seines spendet, so ist es tauglich, nur muß er es der Gemeinde übergeben. – 
Rosh Hashanah 7a:21	Selbstverständlieh!? – Man könnte glauben, es sei zu befürchten, 
Rosh Hashanah 7b:1	die Übergabe erfolgt vielleicht nicht so, wie sie sein soll, so lehrt er uns. – 
Rosh Hashanah 7b:2	Und unser Tanna$fn110!? – Da gelehrt wird, man habe seiner Pflicht genügt, wenn man dargebracht hat, so ist es für ihn nicht ausgemacht.
Rosh Hashanah 7b:3	«Manche sagen, auch für die Wohnungsmiete.» Die Rabbanan lehrten: Wenn jemand seinem Nächsten eine Wohnung auf ein Jahr vermietet, so zähle er zwölf Monate von Tag zu Tag$fn113. Sagt er aber: ‘auf dieses Jahr’, so läuft das Jahr am ersten Nisan ab, auch wenn es erst am ersten Adar erfolgt. 
Rosh Hashanah 7b:4	Und selbst nach demjenigen, welcher sagt, ein Tag des Jahres gelte als volles Jahr, ist es hierbei anders, da sich niemand bemüht, eine Wohnung auf weniger als dreißig Tage zu mieten. – 
Rosh Hashanah 7b:5	Vielleicht ist es der Tišri!? – Wer eine Wohnung mietet, mietet sie für die ganze Dauer der Regenzeit$fn114. –
Rosh Hashanah 7b:6	Und der Tanna dieser Barajtha, und unser Tanna$fn110!? – Oft sind auch im Nisan Wolken vorhanden.
Rosh Hashanah 7b:7	D<small>ER ERSTE</small> E<small>LUL IST</small> J<small>AHRESANFANG FÜR DEN</small> V<small>IEHZEHNTEN</small>. Also nach R. Meír, denn es wird gelehrt, R. Meír sagt, der erste Elul sei Jahresanfang für den Viehzehnten, 
