Topic,English description,Is a Type Of,Is a Type Of 2,Has Edge,To Topic (Original),To Topic (Actual),English description,Is a Type Of
מלל,tell,process,,similar to,דבר,דבור,speech,process
מדין,,nation/ethnicity,,participates in,דור המדבר מלחמת מדין פעור,דור המדבר מלחמת מדין,generation of desert and war of Midyan,biblical historical event
מדין,,nation/ethnicity,,participates in,דור המדבר מלחמת מדין פעור,דור המדבר חטא פעור,generation of desert and sin of Peor,biblical historical event
מדין,,nation/ethnicity,,related to,זמרי,זמרי,,biblical person
מדין,,nation/ethnicity,,has member,כזבי,כזבי,,biblical person
מדין,,nation/ethnicity,,related to,מואב,מואב,,nation/ethnicity
משכב זכור,homosexual act,halachic process,,is a,גלוי עריות,גלוי עריות,incest,halachic process
משכב זכור,homosexual act,halachic process,,synonymous with,זכור,זכור,homosexual act,halachic process
מן דור המדבר,manna of desert,food,,synonymous with,דור המדבר מן,דור המדבר מן,generation of desert and Man,biblical historical event
מסורת,tradition,process,,similar to,מנהג,מנהג,custom/behavior,meta halacha
מסיג גבול,expanding into others' property,halachic process,,related to,ארץ ישראל כבוש וחלוקה,ארץ ישראל כבוש וחלוקה,conquest of Israel,biblical historical event
