Mei HaShiloach.1.1,(Book of Genesis)<br/>
"Mei HaShiloach, Parshat Ki Tissa.26","Then the Holy One, blessed be He, showed Moshe that He would also be long-suffering with them, that eternal life would remain within them, and all the <i>mitzvot</i> and good deeds that they did would last forever, and the children that they would have would continue forever. For their <i>mitzvot</i>, good deeds, and progeny were all rooted in the source of life, and would endure forever. Upon seeing this, Moshe then asked, “I pray that Adonai will go in our midst,” for the name “Adonai” necessitates service, meaning, let such service dwell in our hearts that we may perform <i>mitzvot</i> and good deeds that endure forever. This is “pardon our iniquity,” meaning to slowly remove the sin from our heart that only the good will remain. “And take us for Your inheritance,” meaning, take us as an inheritance and then we will be able to serve God with all of our qualities."
"Mei HaShiloach, Parshat Ki Tissa.27","<i>“Do not make molten gods.”</i> (Shemot, 34:17)"
"Mei HaShiloach, Parshat Ki Tissa.28","“Molten or graven images” means principles. The verse is saying that at a time when your heart receives an explicit understanding, then do not look to the principles and act according to them; rather, you shall know down to the detail how to act according to the understanding of your heart. We find an example of this with Eliyahu at Mount Carmel. See below in <i>Parshat Chukot</i> on the section beginning, “and they camped at Ovot,” and there the matter is well explained."
"Mei HaShiloach, Parshat Ki Tissa.29","<i>“You shall keep the festival of matsot in the time of the month of Aviv, seven days shall you eat matsot as I command you, for in the month of Aviv you came out of Egypt.”</i> (Shemot, 34:18)"
"Mei HaShiloach, Parshat Ki Tissa.30","<i>Aviv</i> is related to the word <i>Av</i>, “father,” which includes all the generations, meaning all the good of all the other months and seasons, but not as much as in the month of Aviv itself, which is the father, which has in it even all the good of the month of Aviv. And this is why if you exchange the letters of Pesach through the <i>atbash</i> system<sup>89</sup><i class=""footnote"">Each letter of the Hebrew alphabet is exchanged with its corresponding letter in the opposite order. <i>Aleph</i> with <i>tav, bet</i> with <i>shin</i> (hence, <i>atbash</i>), <i>gimel</i> with <i>reish, dalet</i> with <i>koof</i>, and so forth.</i> you arrive at the initial letters of Tisha B’Av, for in the future all the festivals will be nullified except for Tisha B’Av (which will be transformed into the ultimate festival), which contains all the festivals and is the father of them all. Also, the time of the month of Av that is now the father (first of the months), will also be in the time of the month of Av, and this is the meaning of “the time of the month of Aviv.”"
"Mei HaShiloach, Parshat Ki Tissa.31","<i>“All that opens the womb is Mine, and every firstborn among your cattle, whether ox or sheep.”</i> (Shemot, 34:20)"
"Mei HaShiloach, Parshat Ki Tissa.32","If you see that the <i>Tsaddik</i> suffers and worries over making a living, you may, God forbid, bring accusations against the blessed God concerning this. This is why it says, “all that opens the womb is Mine,”<sup>90</sup><i class=""footnote"">The essence of this explanation is that the word “womb” (<i>rechem</i>) is closely related to the word “compassion” (<i>rachem</i>).</i> every time an opening of compassion is opened it is only from Me, because I am called the Father of Compassion. It is only that you do not understand My intentions. Nevertheless, (as the following verse ends), “none shall appear before Me empty-handed,” meaning you are required to give at least a small gift to a poor man, even if you see that I am not compassionate with him. Even though it say in the Gemara (<i>Shabbat</i>, 151b), “Rabbi Yosef said: We assert that a scholar will not suffer poverty. But we see that he does suffer poverty. Even if he suffers poverty, he does not engage in begging,” yet if he is not a scholar and he must resort to begging, then you are required to give him something small to sustain his life."
"Mei HaShiloach, Parshat Ki Tissa.33","<i>“Guard that which I command you today ….”</i> (Shemot, 34:11)"
"Mei HaShiloach, Parshat Ki Tissa.34","In this <i>Parsha</i> twelve kinds of guarding and warnings are mentioned corresponding to the twelve tribes, with each tribe having one essential point of guarding necessary for it."
"Mei HaShiloach, Parshat Ki Tissa.35","<i>“The firstling of an ass you shall redeem with a lamb, and if you do not redeem it then you shall break his neck, and none shall come before My face empty-handed.”</i> (Shemot, 34:20)"
"Mei HaShiloach, Parshat Ki Tissa.36","It is written in the Midrash (<i>Bamidbar</i> Rabba, 4:4), “The Holy One, blessed be He, said ‘On account of my love for Israel I changed the natural order of things. I have said that an ass must be redeemed with a lamb, as it says, ‘And the firstling of an ass thou shalt redeem with a lamb.’ I, did not do so, however, but redeemed a lamb with an ass.’ For the Egyptians are termed ‘ass’; as it says, ‘whose flesh are the flesh of asses,’ (Yechezkel, 23:20) and Israel are called ‘lamb,’ as it says, ‘Israel is a scattered lamb,’ (Yirmiya, 10:17). ‘I slew their firstborn and sanctified the firstborn of Israel.’”"
"Mei HaShiloach, Parshat Ki Tissa.37","This is understood through what is said in the writings of the Ari”zal, that the fixing for one who is acustomed to lying is that even in order to make peace he should refrain from lying. The fixing for one who has eaten forbidden foods is to restrict his eating even on Shabbat. In other words, you may restrict <i>Kedusha</i> if it is in order to rectify a sin. Thus it was with Yeravoam who came into conflict with Shlomo haMelech, and the blessed God ascribed the sin to Shlomo in order to fix Yeravoam. This is, “the firstling of an ass you shall redeem with a lamb,” and Yeravoam was redeemed through what was ascribed as a sin also with Shlomo haMelech."
"Mei HaShiloach, Parshat Vayaqhel.1","<i>“And Moshe gathered together all the congregation of the children of Israel … six days shall you do your work and the seventh day shall be for you a holy Shabbat … take from yourselves an offering for God ….”</i> (Shemot, 35:1–5)"
"Mei HaShiloach, Parshat Vayaqhel.2","Why was Shabbat discussed just before the work on the Mishkan (Tabernacle)? With the building of the Mishkan, all the hearts of Israel were united without anyone feeling superior to his fellow. At first, everyone possessing a heart of understanding performed his particular work on the Mishkan, and it was shown unto him that he had done wondrous work. Then afterward, when they saw how all the disparate elements fit perfectly together, every curtain and board, and every element perfectly suited every other one as if it was the work of one man, they thus understood that all that they had done was only a product of their intellect out of the assistance of the blessed God to every one who contributed to the Mishkan, producing afterward the perfection of the structure. So how then could one feel superior over another when all that was done was only with the help of the blessed God?"
"Mei HaShiloach, Parshat Vayaqhel.3","Similarly we find in the Gemara <i>Megillah</i> (9a), “It happened with Ptolemy [king of Egypt, 285–246 <small>BCE</small>], that he brought together seventy-two sages of Israel, and asked them all separately, ‘translate the Torah of your teacher Moshe.’ They all answered in exactly the same way [without consulting with each other, ‘E-lohim created in the beginning’],” each one in his heart intended toward the deepest of wisdom. Then when they saw that they were all of the same opinion then they understood that it came about through the assistance of the blessed God. This is why the Shabbat is mentioned immediately before the work of the Mishkan, for the principle of their union was from the mitzvah of Shabbat, for Shabbat is included in all the <i>mitzvot</i> when one has the intention that they are for the sake of Heaven. This intention is called Shabbat. So too, with the work on the Mishkan, all their work was intended for the glory of Heaven in order that the <i>Shechina</i> (Divine presence) would have a dwelling place in Israel. For this reason they united together, for if so much as a nail were missing the <i>Shechina</i> would not rest in the Mishkan. Therefore no one could in any way feel superior to another, even the one who made the ark to the one the tent-spikes of the courtyard, for, as it says in the Gemara (<i>Sotah</i>, 40a), “what does it matter, both this and this serve to exult the Highest.” This is “and Moshe gathered together all the congregation of the children of Israel.”"
