Genesis 1 1,"At the beginning of God’s creating<br>of the heavens and the earth,"
Genesis 10 14,"the Patrusites, and the Casluhites, from where the Philistines come, and the Caftorites."
Genesis 10 15,"Canaan begot Tzidon his firstborn and Het,"
Genesis 10 16,"along with the Yevusite, the Amorite and the Girgashite,"
Genesis 10 17,"the Hivvite, the Arkite and the Sinite,"
Genesis 10 18,"the Arvadite, the Tzemarite and the Hamatite.<br>Afterward the Canaanite clans were scattered abroad."
Genesis 10 19,"And the Canaanite territory went from Tzidon, then as you come toward Gerar, as far as Gaza, then as you come toward Sedom and Amora, Adma, and Tzevoyim, as far as Lasha."
Genesis 10 20,"These are the Sons of Ham according to their clans, according to their tongues, by their lands, by their nations."
Genesis 10 21,"[Children] were also born to Shem,<br>the father of all the Sons of Ever [and] Yefet’s older brother."
Genesis 10 22,"The Sons of Shem: Elam and Ashur, Arpakhshad, Lud, and Aram."
Genesis 10 23,"The Sons of Aram: Utz and Hul, Geter and Mash."
Genesis 10 24,"Arpakhshad begot Shelah, and Shelah begot Ever."
Genesis 10 25,"Two sons were born to Ever:<br>the name of the first one was Peleg/Splitting, for in his days the earth-folk were split up,<br>and his brother’s name was Yoktan."
Genesis 10 26,"Now Yoktan begot Almodad and Shelef, Hatzarmavet and Yera,"
Genesis 10 27,"Hadoram, Uzal and Dikla,"
Genesis 10 28,"Oval, Avimael and Sheva,"
Genesis 10 29,"Ofir, Havila, and Yovav—all these are the Sons of Yoktan."
Genesis 10 30,"Now their settlements went from Mesha, then as you come toward Sefar, to the highlands of the east."
Genesis 10 31,"These are the Sons of Shem according to their clans, according to their tongues, by their lands, according to their nations."
Genesis 10 32,"These are the clan-groupings of the Sons of Noah, according to their begettings, by their nations.<br>From these the nations were divided on earth after the Deluge."
Genesis 11 1,Now all the earth was of one language and one set-of-words.
Genesis 11 2,And it was when they migrated to the east that they found a valley in the land of Shin’ar and settled there.
Genesis 11 3,"They said, each one to his neighbor:<br>Come-now! Let us bake bricks and let us burn them well-burnt!<br>&mdash;For them brick-stone was like building-stone, and raw-bitumen was for them like red-mortar."
Genesis 11 4,"And they said:<br>Come-now! Let us build ourselves a city and a tower, its top in the heavens,<br>and let us make ourselves a name,<br>lest we be scattered over the face of all the earth!"
Genesis 11 5,But <small>YHWH</small> came down to look over the city and the tower that the humans were building.
Genesis 11 6,"<small>YHWH</small> said:<br>Here, [they are] one people with one language for them all, and this is [merely] the first of their doings—<br>now there will be no barrier for them in all that they scheme to do!"
Genesis 11 7,"Come-now! Let us go down and there let us baffle their language,<br>so that no one will understand the language of his neighbor."
Genesis 11 8,"So <small>YHWH</small> scattered them from there over the face of all the earth,<br>and they had to stop building the city."
Genesis 11 9,"Therefore its name was called Bavel/Babble,<br>for there <small>YHWH</small> baffled the language of all the earth-folk,<br>and from there, <small>YHWH</small> scattered them over the face of all the earth."
Genesis 11 10,"These are the begettings of Shem:<br>Shem was a hundred years old, and then he begot Arpakhshad, two years after the Deluge."
Genesis 11 11,"And Shem lived after he begot Arpakhshad five hundred years, and he begot sons and daughters."
Genesis 11 12,"Arpakhshad lived thirty-five years, and then he begot Shelah."
Genesis 11 13,"And Arpakhshad lived after he begot Shelah three years and four hundred years, and he begot sons and daughters."
Genesis 11 14,"Shelah lived thirty years, and then he begot Ever."
Genesis 11 15,"And Shelah lived after he begot Ever three years and four hundred years, and he begot sons and daughters."
Genesis 11 16,"Ever lived thirty-four years, and then he begot Peleg."
Genesis 11 17,"And Ever lived after he begot Peleg thirty years and four hundred years, and he begot sons and daughters."
Genesis 11 18,"Peleg lived thirty years, and then he begot Re’u."
Genesis 11 19,"And Peleg lived after he begot Re’u nine years and two hundred years, and he begot sons and daughters."
Genesis 11 20,"Re’u lived thirty-two years, and then he begot Serug."
Genesis 11 21,"And Re’u lived after he begot Serug seven years and two hundred years, and he begot sons and daughters."
Genesis 11 22,"Serug lived thirty years, and then he begot Nahor."
Genesis 11 23,"And Serug lived after he begot Nahor two hundred years, and he begot sons and daughters."
Genesis 11 24,"Nahor lived twenty-nine years, and then he begot Terah."
Genesis 11 25,"And Nahor lived after he begot Terah nineteen years and a hundred years, and he begot sons and daughters."
Genesis 11 26,"Terah lived seventy years, and then he begot Avram, Nahor, and Haran."
Genesis 11 27,"Now these are the begettings of Terah:<br>Terah begot Avram, Nahor, and Haran,<br>and Haran begot Lot."
Genesis 11 28,"Haran died in the living-presence of Terah his father in the land of his kindred, in Ur of the Chaldeans."
Genesis 11 29,"Avram and Nahor took themselves wives;<br>the name of Avram’s wife was Sarai,<br>the name of Nahor’s wife was Milca—daughter of Haran, father of Milca and father of Yisca."
Genesis 11 30,"Now Sarai was barren, she had no child."
Genesis 11 31,"Terah took Avram his son and Lot son of Haran, his son’s son, and Sarai his daughter-in-law, wife of Avram his son;<br>they set out together from Ur of the Chaldeans, to go to the land of Canaan.<br>But [when] they had come as far as Harran, they settled there."
Genesis 11 32,"And the days of Terah were five years and two hundred years;<br>then Terah died,<br>in Harran."
Genesis 12 1,"<small>YHWH</small> said to Avram:<br>Go-you-forth<br>from your land,<br>from your kindred,<br>from your father’s house,<br>to the land that I will let you see."
Genesis 12 2,I will make a great nation of you<br>and will give-you-blessing<br>and will make your name great.<br>Be a blessing!
Genesis 12 3,"I will bless those blessing you,<br>while those insulting you, I will curse.<br>All the clans of the earth will find blessing through you!"
Genesis 12 4,"Avram went, as <small>YHWH</small> had spoken to him, and Lot went with him.<br>And Avram was five years and seventy years old when he went out of Harran."
Genesis 12 5,"Avram took Sarai his wife and Lot his brother’s son, all their property that they had gained, and the persons whom they had made-their-own in Harran,<br>and they went out to go to the land of Canaan.<br>They came to the land of Canaan;"
Genesis 12 6,"and Avram passed through the land, as far as the Place of Shekhem, as far as the Oak of Moreh.<br>Now the Canaanite was then in the land."
Genesis 12 7,<small>YHWH</small> was seen by Avram and said:<br>I give this land to your seed!<br>He built an altar there to <small>YHWH</small> who had been seen by him.
Genesis 12 8,"He moved on from there to the highlands, east of Bet-El,<br>and spread his tent, Bet-El toward the sea and Ai toward the east.<br>There he built an altar to <small>YHWH</small><br>and called out the name of <small>YHWH</small>."
Genesis 12 9,"Then Avram journeyed on, continually journeying to the Negev."
Genesis 12 10,"Now there was a famine in the land,<br>and Avram went down to Egypt, to sojourn there,<br>for the famine was heavy in the land."
Genesis 12 11,"It was when he came near to Egypt that he said to Sarai his wife:<br>Now here, I know that you are a woman beautiful to look at."
Genesis 12 12,"It will be, when the Egyptians see you and say: She is his wife,<br>that they will kill me, but you they will allow to live."
Genesis 12 13,"Pray say that you are my sister<br>in order that it may go well with me on your account, and I myself may live thanks to you."
Genesis 12 14,"It was, when Avram came to Egypt, that the Egyptians saw how exceedingly beautiful the woman was;"
Genesis 12 15,"Pharaoh’s courtiers saw her, and they praised her to Pharaoh,<br>so the woman was taken away into Pharaoh’s house."
Genesis 12 16,"Now it went well with Avram on her account:<br>sheep and oxen, donkeys, servants and maids, she-asses and camels, became his."
Genesis 12 17,"But <small>YHWH</small> plagued Pharaoh with great plagues, and also his household, because of Sarai, Avram’s wife."
Genesis 12 18,"Pharaoh had Avram called, and said:<br>What, now, have you have done to me?<br>Why did you not tell me that she is your wife?"
Genesis 12 19,"Why did you say: She is my sister?<br>—So I took her for myself as a wife.<br>But now, here is your wife, take her and go!"
Genesis 12 20,"So Pharaoh put men in charge of him, who escorted him and his wife and all that was his."
Genesis 13 1,"Avram went up from Egypt, he and his wife and all that was his, and Lot with him, to the Negev."
Genesis 13 2,"And Avram was exceedingly heavily-laden with livestock, with silver and with gold."
Genesis 13 3,"He went on his journeyings from the Negev as far as Bet-El, as far as the place where his tent had been at the first, between Bet-El and Ai,"
Genesis 13 4,to the place of the altar that he had made there at the beginning.<br>There Avram called out the name of <small>YHWH</small>.
Genesis 13 5,"Now also Lot, who had gone with Avram, had sheep and oxen and tents."
Genesis 13 6,"And the land could not support them, to settle together,<br>for their property was so great that they were not able to settle together."
Genesis 13 7,So there was a quarrel between the herdsmen of Avram’s livestock and the herdsmen of Lot’s livestock.<br>Now the Canaanite and the Perizzite were then settled in the land.
