"Meir, I Orah Hayyim.1.1",<i>Q</i>. Is it proper to wear <i>zizith</i> (fringes) made of flax?
"Meir, I Orah Hayyim.55.2","<i>A</i>. The term ""wine of the country"" is applied to a drink when no real wine is available throughout an entire country. Thus no wine is available in Westphalia. But, there is an abundance of wine throughout your country. Moreover, even in your locality wine is available in large quantities most of the year. If toward the end of the year a shortage develops, you have no right to call your beer ""the wine of the country"". Knowing how superior wine is, and how much it is preferred to other drinks for <i>kiddush</i> and other religious uses, you should provide yourself with enough wine to last throughout the year. A bottle,<xref rid=""fn3"">*</xref> of wine, which costs twelve pennies, should last you a long time."
"Meir, I Orah Hayyim.55.3",S<small>OURCES</small>: L. 146; <i>Tashbetz</i> 301.
"Meir, I Orah Hayyim.56.1","A person who has neither wine nor any other liquor should nevertheless recite the <i>habdalah</i>, for the <i>habdalah</i> is similar to grace, and although grace should be said over wine, we must say it even when we have no wine. This law applies only if wine is not procurable in that place, otherwise he must make a strenuous effort to procure it."
"Meir, I Orah Hayyim.56.2",S<small>OURCES</small>: Cr. 100.
"Meir, I Orah Hayyim.57.1","<i>Q</i>. Do the stakes and cross-beam, set up at the entrance of a courtyard to form a <i>zurat hapesah</i> (the semblance of a gate to comply with the laws of <i>Erub</i>), require also an ""indication of hinges""?"
"Meir, I Orah Hayyim.57.2","<i>A</i>. According to my interpretation of the talmudic source (Erub, 11a) an ""indication of hinges"" is also required in a <i>zurat hapesah</i>."
"Meir, I Orah Hayyim.57.3",S<small>OURCES</small>: P. 295.
"Meir, I Orah Hayyim.58.1","<i>Q</i>. Is a gatelike structure consisting of two stakes and a beam, one end of which rests on one of the stakes and the other end rests more than a <i>tefah</i> away from the other stake, to be considered a gate in reference to the laws of <i>Erubim?</i> Some scholars believe that such a structure is considered a gate since one end of the beam rests on one of the stakes."
"Meir, I Orah Hayyim.58.2","<i>A</i>. This structure is not considered a gate. In the laws of <i>Erubim</i> the minimum requirement of a structure to be called a gate, is a beam resting on a stake at one end, and on another stake at the other end."
"Meir, I Orah Hayyim.58.3","S<small>OURCES</small>: Cr. 51; L. 336; Mord. Erub. 478; Hag. Maim., <i>Shabbat</i> 16, 60."
"Meir, I Orah Hayyim.59.1","<i>Q</i>. The occupants of an alley performed the ceremony of <i>shittuf-mabo</i> [association of courtyards which open into a common alley by placing a cross-beam over the alley-entrance, and placing food belonging to the occupants of the alley in one court-yard, thus transforming the different court-yards and the alley into one single domain, held jointly by the occupants, in the limits of which it is permitted to carry objects on the Sabbath]. If the cross-beam over the alley-entrance broke down, are the occupants permitted to carry objects on the Sabbath within the limits of their respective court-yards, and from one court-yard to the next one?"
"Meir, I Orah Hayyim.59.2","<i>A</i>. All the court-yards from which one can enter, directly or through other courtyards, into the one where the common-food has been deposited, without having to cross the alley, form a single domain within the limits of which, objects may be carried on the Sabbath. In the remaining court-yards, one is not permitted to do so."
"Meir, I Orah Hayyim.59.3","S<small>OURCES</small>: Cr. 39; Pr. 422; Mord. Erub. 518; Hag. Maim. to <i>Erubin</i> 3, 6."
"Meir, I Orah Hayyim.60.1","If the occupants of court-yards which open into a common alley-way, have associated their court-yards through the ceremony of <i>shittuf</i> (cf. M. Erub. 7, 6), the courtyards, together with the alley-way, become a single domain within which objects may be carried on the Sabbath. Such a ceremony renders unnecessary any further association of the different premises within each court-yard through the ceremony of <i>Erub</i>."
"Meir, I Orah Hayyim.60.2","S<small>OURCES</small>: Pr. 89; cf. Hag. Maim., <i>Erubin</i> 1, 9."
"Meir, I Orah Hayyim.61.1","<i>Q</i>. A's courtyard abuts on that of a Gentile. The two courtyards are separated by a wall which has a window more than ten <i>tefahim</i> above ground. If A did not rent the Gentile's yard for the Sabbath, is he permitted to carry objects through the window on the Sabbath?"
"Meir, I Orah Hayyim.61.2","<i>A</i>. If A's yard, the Gentile's yard, and the yard of another Jew, open into a common alley, and this alley has not been made available for Sabbath movements by means of an <i>Erub</i>, nothing may be carried through the window on the Sabbath unless A rented the Gentile's yard. If the Gentile's yard, however, does not open into a common alley, nor into A's yard, A may use the above window on the Sabbath."
"Meir, I Orah Hayyim.61.3",S<small>OURCES</small>: Mord. Erub. 519.
"Meir, I Orah Hayyim.62.1",<i>Q</i>. Wheat containing cracked grains (cracked by moisture) which constituted less than one-sixtieth of the whole was ground up before Passover. Is it permissible to eat such flour on Passover?
"Meir, I Orah Hayyim.62.2","<i>A</i>. No, such flour is not fit for consumption on Passover. This Responsum is addressed to R. Hayyim."
"Meir, I Orah Hayyim.62.3","S<small>OURCES</small>: L. 332; Rashba I, 831."
"Meir, I Orah Hayyim.63.1","If a grain of wheat is found in a chicken after boiling water was poured over it, the chicken may be eaten on Passover, since boiling water, once poured into a second vessel, does not cook; and, consequently, the chicken was not cooked with leaven."
"Meir, I Orah Hayyim.63.2",S<small>OURCES</small>: Pr. 438.
"Meir, I Orah Hayyim.64.1",Ears of corn parched in a hot stove may be eaten on Passover.
"Meir, I Orah Hayyim.64.2","This Responsum is addressed to: ""My teacher Rabbi Eliezer""."
"Meir, I Orah Hayyim.64.3","S<small>OURCES</small>: P. 291; Am. I, 61; Hag. Maim., <i>Hamets uMatsah</i>, 5, 4; <i>Mordecai Hagadol</i>, p. 73b."
"Meir, I Orah Hayyim.65.1","<i>Q</i>. Is not the liturgical poet, who first writes that clay vessels in which leaven was cooked must be broken before Passover, and then states that they may be stored away in wooden sheds, guilty of a contradiction?"
"Meir, I Orah Hayyim.65.2",<i>A</i>. It is poetic license to state together two conflicting talmudic opinions.
"Meir, I Orah Hayyim.65.3",S<small>OURCES</small>: Pr. 441.
"Meir, I Orah Hayyim.66.1","Vinegar that has been mixed with the yeast of beer must be sold to a Gentile before Passover (in order not to violate the commandment of Ex. 12,19 and 13,7, which prohibits a Jew from possessing leaven during the Passover week). The Gentile may be told that if he holds the vinegar until after Passover, a Jew will buy it from him."
"Meir, I Orah Hayyim.66.2","S<small>OURCES</small>: Cr. 68; Pr. 31; L. 340; Rashba I, 850."
"Meir, I Orah Hayyim.67.1","<i>Q</i>. Is a Jew enjoined to remove (before Passover) the leaven of a Gentile deposited with him, for which he has accepted responsibility as a gratuitous watchman?"
"Meir, I Orah Hayyim.67.2","<i>A</i>. Since the Jew would be held responsible for the leaven, were it lost or stolen because of willful neglect, he must remove it before Passover."
"Meir, I Orah Hayyim.67.3","S<small>OURCES</small>: Am I, 62."
"Meir, I Orah Hayyim.68.1","One is not permitted to carry books back from the synagogue to the house on a holiday, unless he intends to study them."
"Meir, I Orah Hayyim.68.2","S<small>OURCES</small>: Mord. <i>Beza</i>, 658."
"Meir, I Orah Hayyim.69.1","<i>Q</i>. Many candles are usually lit in the synagogue on the morning of a holiday. Some persons want to forbid such a practice on the ground that the light of a candle is useless in the daytime, and one is not permitted on a holiday to light a candle the light of which serves no use."
"Meir, I Orah Hayyim.69.2","<i>A</i>. The light of many candles in the synagogue, whether in daytime or at night, enhances the spirit of festivity and rejoicing. Were it not for this reason, the practice of lighting many candles in the synagogue for Friday evening services, when a holiday falls on Friday, would be forbidden, since services are usually over before dark and the candles are not needed for their light; and the lighting of many candles on a holiday night would be forbidden, since a single candle dispels darkness. The practice referred to is, therefore, perfectly in order."
"Meir, I Orah Hayyim.69.3","R. Meir added: Please forgive me for not having answered your questions. I was very busy and forgot to answer. I even lost your letter. I could find no one who travelled regularly to your parts, and I did not often inquire from travelers about persons who might travel to your locality."
"Meir, I Orah Hayyim.69.4","S<small>OURCES</small>: L. 125; P. 125; Am. I, 47; Berl. p. 295 no. 387; <i>Mordecai Hagadol</i>, p. 94a. Cf. Maharil, <i>Responsa</i> 53."
"Meir, I Orah Hayyim.70.1","<i>Q</i>. On the eve of a holiday, why do women light their candles long before evening, extinguish them immediately afterwards, and then rekindle them at the proper time?"
"Meir, I Orah Hayyim.70.2","<i>A</i>. This is done on the eve of <i>Rosh-ha-Shana</i>, of a Sabbath that immediately precedes a holiday, or of a holiday that immediately precedes the Sabbath, for the purpose of having the wicks of the candles prepared on a week-day for their being lighted both on the first and on the second holy days.<xref rid=""fn4"">*</xref>"
"Meir, I Orah Hayyim.70.3","S<small>OURCES</small>: Mord. <i>Beza</i>, 644; <i>Mordecai Hagadol</i> p. 93d."
"Meir, I Orah Hayyim.71.1","<i>Q</i>. Why do we permit children to eat on holidays cakes whereon letters and words are inscribed, since they erase words on a holiday when they eat the cake?"
"Meir, I Orah Hayyim.71.2","<i>A</i>. Erasure on a Sabbath or a holiday is Biblically prohibited only because such erasure produces space for further writing (Shabb. 75b), while eating the cakes has no such effect. Rabbinically, however, even the form of erasure brought about by eating is prohibited; but we pay no attention to children who eat such cake, since the Court is not enjoined to restrain children from eating forbidden food."
"Meir, I Orah Hayyim.71.3",S<small>OURCES</small>: Mord. Shabb. 369; <i>Mordecai Hagadol</i> p. 51d.
"Meir, I Orah Hayyim.72.1","Regarding the taking of <i>Hallah</i> on a holiday, I usually take <i>Hallah</i> and recite the required blessing whenever one of the following dwells in our town: a young ""priest"" who has not yet experienced pollution, a ""priest"" who immersed himself in a ritual bath after pollution, or a ""priest"" who could neutralize said <i>Hallah</i> through mixing it with a greater volume of ordinary bread."
"Meir, I Orah Hayyim.72.2","S<small>OURCES</small>: Cr. 45; Rashba I, 876."
"Meir, I Orah Hayyim.73.1","Rabbi Shlomiel is commended on his decision that one is not permitted to eat on a holiday the food prepared with an egg laid on the same holiday, since this food may be eaten after the holiday without hesitation."
"Meir, I Orah Hayyim.73.2",S<small>OURCES</small>: Cr. 46; Pr. 100; L. 368.
"Meir, I Orah Hayyim.74.1","<i>Q</i>. Is a Jew permitted to refine silver on <i>Hol-haMoed</i> for his Gentile customer, who would otherwise transfer his business to a Gentile refiner?"
"Meir, I Orah Hayyim.74.2","<i>A</i>. No, he is not permitted to do so, for refining silver is considered real labor."
"Meir, I Orah Hayyim.74.3",S<small>OURCES</small>: Pr. 60.
"Meir, I Orah Hayyim.75.1","<i>Q</i>. A hired workers to erect a building for him, and contracted with them for the whole structure. Before finishing the building, however, their work was interrupted because of the holiday. The workers refused to waste time and threatened to leave the building unfinished unless they be permitted to continue their work. May A allow them to finish the building on the intermediate days of the holiday, since otherwise he may suffer an irreparable loss?"
"Meir, I Orah Hayyim.75.2","<i>A</i>. A may not permit the workers to finish the building on the intermediate days of the holiday, for Jewish passersby will think that A has specifically hired these workers to do the work on the semi-holiday."
"Meir, I Orah Hayyim.75.3",S<small>OURCES</small>: Cr. 142.
"Meir, I Orah Hayyim.76.1","A person who fasts on a Friday, has to fast only till after the Sabbath-eve-service, the time of such service beginning in the middle of the afternoon."
"Meir, I Orah Hayyim.76.2",S<small>OURCES</small>: Mord. Erub. 494.
"Meir, I Orah Hayyim.77.1","<i>Q</i>. A was accustomed to observe the arbitrary fast-days preceding <i>Rosh-hashanah</i> and <i>Yom-Kippur</i>. B abstained from eating meat or drinking wine between the 17th of Tammuz and the 9th day of Ab. Because of illness, they seek to discontinue these practices."
