Index Title,Ibn Ezra on Genesis
Ibn Ezra on Genesis 1:8:1,"<b>ויקרא</b><i data-commentator=""Yahel Ohr"" data-order=""רא""></i> חמש דברים קראן השם כי אין אדם<i data-commentator=""Yahel Ohr"" data-order=""רב""></i>, והם אור<i data-commentator=""Yahel Ohr"" data-order=""רג""></i> וחשך<i data-commentator=""Yahel Ohr"" data-order=""רד""></i> ושמים<i data-commentator=""Yahel Ohr"" data-order=""רה""></i> וארץ<i data-commentator=""Yahel Ohr"" data-order=""רו""></i> וימים<i data-commentator=""Yahel Ohr"" data-order=""רז""></i> ואדם כן<i data-commentator=""Yahel Ohr"" data-order=""רח""></i><i data-commentator=""Karnei Ohr"" data-order=""פד""></i>:"
Ibn Ezra on Genesis 1:9:1,"<b>ויאמר,</b> כפי דעתי שזו הפרשה דבקה עם אשר עליה<i data-commentator=""Yahel Ohr"" data-order=""רט""></i> כי הרקיע לא נעשה עד אשר יבשה הארץ<i data-commentator=""Yahel Ohr"" data-order=""רי""></i> והעֵד<i data-commentator=""Yahel Ohr"" data-order=""ריא""></i> ""ביום עשות ד' אלהים ארץ ושמים"" (למטה ב ד), והנה ביום אחד נעשו<i data-commentator=""Yahel Ohr"" data-order=""ריב""></i>, והראות דבר נסתר<i data-commentator=""Yahel Ohr"" data-order=""ריג""></i> והקוות מפוזר<i data-commentator=""Yahel Ohr"" data-order=""ריד""></i> איננה בריאה<i data-commentator=""Yahel Ohr"" data-order=""רטו""></i><i data-commentator=""Karnei Ohr"" data-order=""פה""></i>, וכן טעמו<i data-commentator=""Yahel Ohr"" data-order=""רטז""></i> וכבר אמר אלהים יקוו המים<i data-commentator=""Yahel Ohr"" data-order=""ריז""></i> ויש כמוהו בתורה למאות, והנה בפ' בראשית אתן לך עדים שנים<i data-commentator=""Yahel Ohr"" data-order=""ריח""></i>, האחד ""וישם שם את האדם אשר יצר"" (למטה ב ה) ואחרי כן ""ויצמח ד' אלהים"" (שם שם ט) וקודם האדם הצמיחם, והעד השני, שצוה אדם שלא יאכל מעץ הדעת, ואחריו כתיב ""וייצר ד' אלהים מן האדמה"" (שם שם יט) רק פירושו וכבר יצר<i data-commentator=""Yahel Ohr"" data-order=""ריט""></i>, ועל זה הפירוש יהיה ""וירא אלהים כי טוב""<i data-commentator=""Yahel Ohr"" data-order=""רכ""></i>, דבק עם בריאת יום שני<i data-commentator=""Yahel Ohr"" data-order=""רכא""></i> ותדשא הארץ תחלת יום שלישי<i data-commentator=""Yahel Ohr"" data-order=""רכב""></i>"
Ibn Ezra on Genesis 1:9:2,"ופי' יקוו יתחברו<i data-commentator=""Yahel Ohr"" data-order=""רכג""></i><i data-commentator=""Karnei Ohr"" data-order=""פו""></i>, וכן ונקוו אליה (ירמיה ג יז)<i data-commentator=""Yahel Ohr"" data-order=""רכד""></i><i data-commentator=""Karnei Ohr"" data-order=""פז""></i>,"
Ibn Ezra on Genesis 1:10:1,"ואמר ימים<i data-commentator=""Yahel Ohr"" data-order=""רכה""></i><i data-commentator=""Karnei Ohr"" data-order=""פח""></i> בעבור שאין שם ים שיקיף כל הארץ<i data-commentator=""Yahel Ohr"" data-order=""רכו""></i><i data-commentator=""Karnei Ohr"" data-order=""פט""></i>:"
Ibn Ezra on Genesis 1:11:1,"<b>ויאמר,</b> אמר הכתוב תדשא הארץ<i data-commentator=""Yahel Ohr"" data-order=""רכז""></i><i data-commentator=""Karnei Ohr"" data-order=""צ""></i> ""ישרצו"" (למטה פ' כ) ""תצא"" (שם פ' כד), והנה שם כח בארץ ובמים לעשות במצות השם<i data-commentator=""Yahel Ohr"" data-order=""רכח""></i> וזו היא התולדות<i data-commentator=""Yahel Ohr"" data-order=""רכט""></i>,"
Ibn Ezra on Genesis 1:11:2,"וטעם תדשא כמו תצמיח<i data-commentator=""Yahel Ohr"" data-order=""רל""></i><i data-commentator=""Karnei Ohr"" data-order=""צא""></i>:"
Ibn Ezra on Genesis 1:11:3,"<b>אשר זרעו בו,</b> שהזרע בפרי<i data-commentator=""Yahel Ohr"" data-order=""רלא""></i><i data-commentator=""Karnei Ohr"" data-order=""צב""></i> וכל אחד שומר מינו<i data-commentator=""Yahel Ohr"" data-order=""רלב""></i><i data-commentator=""Karnei Ohr"" data-order=""צג""></i>:"
Ibn Ezra on Genesis 1:14:1,"<b>ויאמר</b><i data-commentator=""Yahel Ohr"" data-order=""רלג""></i><i data-commentator=""Karnei Ohr"" data-order=""צד""></i>, מלת יהי<i data-commentator=""Yahel Ohr"" data-order=""רלד""></i> יהיה<i data-commentator=""Yahel Ohr"" data-order=""רלה""></i><i data-commentator=""Karnei Ohr"" data-order=""צה""></i>. בעבור שידברו בה הרבה<i data-commentator=""Yahel Ohr"" data-order=""רלו""></i><i data-commentator=""Karnei Ohr"" data-order=""צו""></i> הוא ליחיד<i data-commentator=""Yahel Ohr"" data-order=""רלז""></i> ולרבים<i data-commentator=""Yahel Ohr"" data-order=""רלח""></i>, גם לנקבה ""כי יהיה נערה בתולה"" (דבר' כב כג)<i data-commentator=""Yahel Ohr"" data-order=""רלט""></i>,"
Ibn Ezra on Genesis 1:14:2,"לאותות רגעים<i data-commentator=""Yahel Ohr"" data-order=""רמ""></i> ולמועדים, שעות<i data-commentator=""Yahel Ohr"" data-order=""רמא""></i><i data-commentator=""Karnei Ohr"" data-order=""צז""></i> ויתכן להיות לאותות על קדרות הלבנה והשמש<i data-commentator=""Yahel Ohr"" data-order=""רמב""></i><i data-commentator=""Karnei Ohr"" data-order=""צח""></i>, ודלוג דמות הכוכבים<i data-commentator=""Yahel Ohr"" data-order=""רמג""></i> כי הכוכבים סבת דמות הנראה<i data-commentator=""Yahel Ohr"" data-order=""רמד""></i>, כטעם מאותות השמים אל תחתו (ירמי' יוד ב)<i data-commentator=""Karnei Ohr"" data-order=""צט""></i>, והאומר כי למ""ד לאותות נוסף<i data-commentator=""Yahel Ohr"" data-order=""רמה""></i> לא אמר כלום:"
Ibn Ezra on Genesis 1:14:3,"<b>והיו לאותות,</b> אמר חכם גדול ספרדי<i data-commentator=""Yahel Ohr"" data-order=""רמו""></i> כי הרקיע נחלק על שמונה חלקים<i data-commentator=""Yahel Ohr"" data-order=""רמז""></i> לשבעה הכוכבים<i data-commentator=""Yahel Ohr"" data-order=""רמח""></i><i data-commentator=""Karnei Ohr"" data-order=""ק""></i> וגלגל המזלות<i data-commentator=""Yahel Ohr"" data-order=""רמט""></i> וזה לא יתכן, כי אין גוף למעלה מגלגל המזלות<i data-commentator=""Yahel Ohr"" data-order=""רנ""></i><i data-commentator=""Karnei Ohr"" data-order=""קא""></i> והנה הכתוב אומר ברקיע השמים<i data-commentator=""Yahel Ohr"" data-order=""רנא""></i> שיורה שיש שמים למעלה ממנו<i data-commentator=""Yahel Ohr"" data-order=""רנב""></i> וכן ""שמי השמים"" (נחמיה ט, ו)<i data-commentator=""Yahel Ohr"" data-order=""רנג""></i>, ""לרוכב בשמי שמי קדם"" (תה' סה לד<i data-commentator=""Yahel Ohr"" data-order=""רנד""></i><i data-commentator=""Karnei Ohr"" data-order=""קב""></i>, וקדם במקום הזה איננו מזרח<i data-commentator=""Yahel Ohr"" data-order=""רנה""></i> והגאון ר' סעדיה ז""ל ברח מזה המקום<i data-commentator=""Yahel Ohr"" data-order=""רנו""></i>, והנכון בעיני שהשמש והלבנה וכל הכוכבים הם מאורות ברקיע<i data-commentator=""Yahel Ohr"" data-order=""רנז""></i> כי שם יראו<i data-commentator=""Yahel Ohr"" data-order=""רנח""></i><i data-commentator=""Karnei Ohr"" data-order=""קג""></i>:"
Ibn Ezra on Genesis 1:16:1,"<b>ויעש,</b> נקראו השנים הגדולים כנגד הכוכבים<i data-commentator=""Yahel Ohr"" data-order=""רנט""></i><i data-commentator=""Karnei Ohr"" data-order=""קד""></i> וכן נקראו שלשה בני ישי הגדולים כנגד האחרים<i data-commentator=""Yahel Ohr"" data-order=""רס""></i>, ואליאב היה הבכור גדול מכולם<i data-commentator=""Yahel Ohr"" data-order=""רסא""></i><i data-commentator=""Karnei Ohr"" data-order=""קה""></i> ולא זה גדול מזה<i data-commentator=""Yahel Ohr"" data-order=""רסב""></i> יש לו סוד<i data-commentator=""Yahel Ohr"" data-order=""רסג""></i><i data-commentator=""Karnei Ohr"" data-order=""קו""></i>,"
Ibn Ezra on Genesis 1:16:2,"לממשלת היום, ממשלת השמש ביום<i data-commentator=""Yahel Ohr"" data-order=""רסד""></i> ולא בלילה כי אין לה אור<i data-commentator=""Yahel Ohr"" data-order=""רסה""></i> גם ללבנה וכוכבים<i data-commentator=""Yahel Ohr"" data-order=""רסו""></i> לא יראה אורם ביום<i data-commentator=""Yahel Ohr"" data-order=""רסז""></i>, ואם ישאל שואל, הלא אמרו חכמי הספירות<i data-commentator=""Yahel Ohr"" data-order=""רסח""></i><i data-commentator=""Karnei Ohr"" data-order=""קז""></i> שכוכב צדק וכל הכוכבים חוץ מכוכב ונוגה גדולים מהלבנה<i data-commentator=""Yahel Ohr"" data-order=""רסט""></i> ואיך כתוב הגדולים, התשובה אין פי' הגדולים על מדתם בגופם רק אל אורם<i data-commentator=""Yahel Ohr"" data-order=""רע""></i><i data-commentator=""Karnei Ohr"" data-order=""קח""></i> ואור הלבנה כפלי כפלים בעבור היותה קרובה מהארץ<i data-commentator=""Yahel Ohr"" data-order=""רעא""></i>, וכן כתוב מאור<i data-commentator=""Yahel Ohr"" data-order=""רעב""></i><i data-commentator=""Karnei Ohr"" data-order=""קט""></i>:"
Ibn Ezra on Genesis 1:17:1,"<b>ויתן</b><i data-commentator=""Yahel Ohr"" data-order=""רעג""></i>, אל תתמה על מלת ויתן<i data-commentator=""Yahel Ohr"" data-order=""רעד""></i>, כי כן כתוב את קשתי נתתי בענן (למטה ט יג)<i data-commentator=""Yahel Ohr"" data-order=""רעה""></i><i data-commentator=""Karnei Ohr"" data-order=""קי""></i>:"
Ibn Ezra on Genesis 1:18:1,"<b>ולמשול,</b><i data-commentator=""Karnei Ohr"" data-order=""קיא""></i> יום התורה משעת צאת השמש עד בואה, והלילה מעת ראות הכוכבים וצדקו האומרים עפ""י שלשה עדים<i data-commentator=""Yahel Ohr"" data-order=""רעו""></i>, ודע כי עת שתחשך השמש יהיה ערב עד שעה ושליש שעה שיראה כמו אור בעבים, וכן הבקר אור קודם זריחת השמש<i data-commentator=""Yahel Ohr"" data-order=""רעז""></i>, ובצאת אור השמש ביום, ואור הלבנה בלילה, יבדילו בין האור ובין החשך<i data-commentator=""Yahel Ohr"" data-order=""רעח""></i>:"
Ibn Ezra on Genesis 1:20:1,"<b>ויאמר</b><i data-commentator=""Yahel Ohr"" data-order=""רעט""></i> יִשְרְצו פועל יוצא<i data-commentator=""Yahel Ohr"" data-order=""רפ""></i> וכמוהו ""ושרץ היאור צפרדעים"" (שמות ז כח)<i data-commentator=""Yahel Ohr"" data-order=""רפא""></i><i data-commentator=""Karnei Ohr"" data-order=""קיב""></i> וטעם ישרצו תולדות עם הגבהה<i data-commentator=""Yahel Ohr"" data-order=""רפב""></i><i data-commentator=""Karnei Ohr"" data-order=""קיג""></i>, והכתוב כי העוף יעופף על פני הרקיע לעֵד על פירוש רקיע<i data-commentator=""Yahel Ohr"" data-order=""רפג""></i>, ואמר הגאון כי על פני הוא עם פני<i data-commentator=""Yahel Ohr"" data-order=""רפד""></i>, א""כ פני השמים למטה הם<i data-commentator=""Yahel Ohr"" data-order=""רפה""></i><i data-commentator=""Karnei Ohr"" data-order=""קיד""></i>, ופ""א יעופף<i data-commentator=""Yahel Ohr"" data-order=""רפו""></i> כנו""ן ""עד יכונן"" (ישעי' סב ז')<i data-commentator=""Yahel Ohr"" data-order=""רפז""></i>:"
Ibn Ezra on Genesis 1:21:1,"<b>ויברא</b><i data-commentator=""Yahel Ohr"" data-order=""רפח""></i>, הרומשת כטעם הולכת, וי""א שהשי""ן תחת סמ""ך,<i data-commentator=""Yahel Ohr"" data-order=""רפט""></i><i data-commentator=""Karnei Ohr"" data-order=""קטו""></i>:"
Ibn Ezra on Genesis 1:22:1,"<b>ויברך</b><i data-commentator=""Yahel Ohr"" data-order=""רצ""></i><i data-commentator=""Karnei Ohr"" data-order=""קטז""></i>, טעם פרו ורבו<i data-commentator=""Yahel Ohr"" data-order=""רצא""></i> תפרו ותרבו<i data-commentator=""Yahel Ohr"" data-order=""רצב""></i><i data-commentator=""Karnei Ohr"" data-order=""קיז""></i> וכן ומות בהר (דבר' לב נ) כי אין זה בכחו ובידו<i data-commentator=""Yahel Ohr"" data-order=""רצג""></i>:"
Ibn Ezra on Genesis 1:24:1,"<b>ויאמר נפש חיה</b>, כלל<i data-commentator=""Yahel Ohr"" data-order=""רצד""></i><i data-commentator=""Karnei Ohr"" data-order=""קיח""></i> לאשר הוליד האש והמים והארץ<i data-commentator=""Yahel Ohr"" data-order=""רצה""></i>, גם האדם<i data-commentator=""Yahel Ohr"" data-order=""רצו""></i><i data-commentator=""Karnei Ohr"" data-order=""קיט""></i>:"
Ibn Ezra on Genesis 1:24:2,"<b>בהמה.</b> שהם עם בני אדם לצרכם לרכוב ולאכול<i data-commentator=""Yahel Ohr"" data-order=""רצז""></i><i data-commentator=""Karnei Ohr"" data-order=""קכ""></i>:"
Ibn Ezra on Genesis 1:24:3,"<b>ורמש.</b> הם הקטנים ההולכים על הארץ<i data-commentator=""Yahel Ohr"" data-order=""רצח""></i>:"
Ibn Ezra on Genesis 1:24:4,"<b>וחיתו ארץ</b>. שדם בשדה שאין שם ישוב<i data-commentator=""Yahel Ohr"" data-order=""רצט""></i><i data-commentator=""Karnei Ohr"" data-order=""קכא""></i>, והוי""ו האחרון נוסף במלת וחיתו, כמו למעינו מים (תה' קיד ה) בנו בעור (במד' כד ג)<i data-commentator=""Yahel Ohr"" data-order=""ש""></i><i data-commentator=""Karnei Ohr"" data-order=""קכב""></i>:"
Ibn Ezra on Genesis 1:26:1,"<b>נעשה אדם</b><i data-commentator=""Karnei Ohr"" data-order=""קכג""></i>, יש אומרים<i data-commentator=""Yahel Ohr"" data-order=""שא""></i> כי מלת נעשה שם התואר מבנין נפעל<i data-commentator=""Yahel Ohr"" data-order=""שב""></i>, כמו, ואשר היה נעשה ליום אחד"" (נחמיה ה יח)<i data-commentator=""Yahel Ohr"" data-order=""שג""></i>, ואמרו כי בצלמנו כדמותינו דברי משה<i data-commentator=""Yahel Ohr"" data-order=""שד""></i> ופי' ""ויברא אלהים את האדם בצלמו"", שהוי""ו שב אל האדם<i data-commentator=""Yahel Ohr"" data-order=""שה""></i> ויפרשו ""בצלם אלהים"" (למטה ט, ו) שהאלהים דבק עם עשה<i data-commentator=""Yahel Ohr"" data-order=""שו""></i> כאלו אומר כי האלהים עשה את האדם בצלם<i data-commentator=""Yahel Ohr"" data-order=""שז""></i>, וזה הפירוש חסר לב<i data-commentator=""Yahel Ohr"" data-order=""שח""></i>, כי היה הראשון ראוי להיות כן, ויאמר אלהים יהי נעשה אדם<i data-commentator=""Yahel Ohr"" data-order=""שט""></i>, וכן עשהו בצלמו, גם וי""ו בצלמו<i data-commentator=""Yahel Ohr"" data-order=""שי""></i> איך ישוב אל האדם, והנה יש לו צלם קודם שיהיה<i data-commentator=""Yahel Ohr"" data-order=""שיא""></i><i data-commentator=""Karnei Ohr"" data-order=""קכד""></i>, ומה טעם יש ""כי שופך דם האדם באדם דמו ישפך"" (למטה ט ו) בעבור שנברא האדם בצלם, גם לכל נפש היה צלם, ויאמר הגאון כי פירוש בצלמנו כדמותינו בממשלה<i data-commentator=""Yahel Ohr"" data-order=""שיב""></i><i data-commentator=""Karnei Ohr"" data-order=""קכה""></i> וטעמו בצלם שראה בחכמה כי טובה היא<i data-commentator=""Yahel Ohr"" data-order=""שיג""></i> ובעבור כבוד האדם סמכו אל האלהים<i data-commentator=""Yahel Ohr"" data-order=""שיד""></i>, וכן ומארצו יצאו (יחז' לו כ)<i data-commentator=""Yahel Ohr"" data-order=""שטו""></i> כי לד' הארץ ומלואה, ואמר במלת נעשה, ואם היא לשון רבים, שכן מנהג המלכים לדבר<i data-commentator=""Yahel Ohr"" data-order=""שטז""></i><i data-commentator=""Karnei Ohr"" data-order=""קכו""></i>, וכמוהו וְנִתִּנָה לך גם את זאת (למטה כח כז)<i data-commentator=""Yahel Ohr"" data-order=""שיז""></i><i data-commentator=""Karnei Ohr"" data-order=""קכז""></i>, ""נאמר קדם מלכא (דניאל ב לו)<i data-commentator=""Yahel Ohr"" data-order=""שיח""></i> ""אולי אוכל נכה בו"" (במד' כב ו)<i data-commentator=""Yahel Ohr"" data-order=""שיט""></i>, ואלה העדים עדי שקר הם<i data-commentator=""Yahel Ohr"" data-order=""שכ""></i>, כי ""ונתנה לך"" בנין נפעל<i data-commentator=""Yahel Ohr"" data-order=""שכא""></i>, וכמוהו ""והעיר נתנה"" (ירמיה לב כד)<i data-commentator=""Yahel Ohr"" data-order=""שכב""></i>, והוי""ו השיבו לעתיד כמשפט כל פעל עבר, והטעם וַתִנָתַן לך<i data-commentator=""Yahel Ohr"" data-order=""שכג""></i> ""ונכה בו"" הוא ומחנהו<i data-commentator=""Yahel Ohr"" data-order=""שכד""></i>, או יהיה שם הפועל<i data-commentator=""Yahel Ohr"" data-order=""שכה""></i> כמו ""ונקה לא אנקך"" (ירמיה מו כח)<i data-commentator=""Yahel Ohr"" data-order=""שכו""></i> ואף כי שמצאנו ""לא נכו"" (שמות ט, לב)<i data-commentator=""Yahel Ohr"" data-order=""שכז""></i> כי לא יבוא בנין שלא נזכר שם פועלו, כי אם מהכבד<i data-commentator=""Yahel Ohr"" data-order=""שכח""></i>, ור' משה הכהן הספרדי<i data-commentator=""Yahel Ohr"" data-order=""שכט""></i> טעה בספרו<i data-commentator=""Yahel Ohr"" data-order=""של""></i>, ומלת ""נאמר קדם מלכא"" (דניאל ב לו) ארמית היא<i data-commentator=""Yahel Ohr"" data-order=""שלא""></i> ואיך ידבר דניאל בלשון גדולה עם נבוכדנצר שהיה מלך מלכים<i data-commentator=""Yahel Ohr"" data-order=""שלב""></i>, ועתה אפרש, דע כי כל מעשה בראשית, לכבוד האדם נברא במצות השם<i data-commentator=""Yahel Ohr"" data-order=""שלג""></i><i data-commentator=""Karnei Ohr"" data-order=""קכח""></i>, והצמחים הוציאה אותם הארץ והמים, וכל נפשות החיות<i data-commentator=""Yahel Ohr"" data-order=""שלד""></i><i data-commentator=""Karnei Ohr"" data-order=""קכט""></i>, ואח""כ אמר השם למלאכים<i data-commentator=""Yahel Ohr"" data-order=""שלה""></i><i data-commentator=""Karnei Ohr"" data-order=""קל""></i>, נעשה אדם<i data-commentator=""Yahel Ohr"" data-order=""שלו""></i><i data-commentator=""Karnei Ohr"" data-order=""קלא""></i>, אנחנו נתעסק בו, ולא המים והארץ,<i data-commentator=""Karnei Ohr"" data-order=""קלב""></i>, ואחר שידענו שהתורה דברה כלשון בני אדם<i data-commentator=""Yahel Ohr"" data-order=""שלז""></i><i data-commentator=""Karnei Ohr"" data-order=""קלג""></i> כי המדבר אדם<i data-commentator=""Yahel Ohr"" data-order=""שלח""></i> גם כן השומע, ולא יוכל לדבר איש דברים בגבוה עליו או בשפל ממנו, רק על דרך דמות האדם<i data-commentator=""Yahel Ohr"" data-order=""שלט""></i><i data-commentator=""Karnei Ohr"" data-order=""קלד""></i>, וכן אמר ""פי הארץ<i data-commentator=""Yahel Ohr"" data-order=""שמ""></i> ""יד הירדן"" (במד' יג כט), וראש עפרות תבל (משלי ח) כו), וחלילה חלילה להיות דמות לשם<i data-commentator=""Yahel Ohr"" data-order=""שמא""></i><i data-commentator=""Karnei Ohr"" data-order=""קלה""></i>, וכן אמר ""אל מי תדמיוני"" (ישעי' מ כה), ובעבור שנשמת האדם העליונה<i data-commentator=""Yahel Ohr"" data-order=""שמב""></i> שאיננה מתה נמשלת בהיותה לשם<i data-commentator=""Yahel Ohr"" data-order=""שמג""></i>, ושאיננה גוף והיא מלאה כולו<i data-commentator=""Karnei Ohr"" data-order=""קלו""></i>, וגוף האדם כעולם קטן<i data-commentator=""Yahel Ohr"" data-order=""שמד""></i><i data-commentator=""Karnei Ohr"" data-order=""קלז""></i>, יהי השם מבורך אשר בגדול החל<i data-commentator=""Yahel Ohr"" data-order=""שמה""></i> ובקטן כלה<i data-commentator=""Yahel Ohr"" data-order=""שמו""></i><i data-commentator=""Karnei Ohr"" data-order=""קלח""></i>, וגם אמר הנביא<i data-commentator=""Yahel Ohr"" data-order=""שמז""></i> שראה כבוד אלהים<i data-commentator=""Yahel Ohr"" data-order=""שמח""></i> כמראה אדם<i data-commentator=""Yahel Ohr"" data-order=""שמט""></i><i data-commentator=""Karnei Ohr"" data-order=""קלט""></i>, והשם הוא האחד<i data-commentator=""Yahel Ohr"" data-order=""שנ""></i>, והוא ייצר הכל<i data-commentator=""Yahel Ohr"" data-order=""שנא""></i>, והוא הכל<i data-commentator=""Yahel Ohr"" data-order=""שנב""></i><i data-commentator=""Karnei Ohr"" data-order=""קמ""></i>, ולא אוכל לפרש<i data-commentator=""Yahel Ohr"" data-order=""שנג""></i><i data-commentator=""Karnei Ohr"" data-order=""קמא""></i>, ואדם נברא בתחלה בשני פרצופין<i data-commentator=""Yahel Ohr"" data-order=""שנד""></i><i data-commentator=""Karnei Ohr"" data-order=""קמב""></i>, והנו אחד<i data-commentator=""Yahel Ohr"" data-order=""שנה""></i><i data-commentator=""Karnei Ohr"" data-order=""קמג""></i>, וגם היא שנים<i data-commentator=""Yahel Ohr"" data-order=""שנו""></i>, והנה בצלם אלהים מלאך<i data-commentator=""Yahel Ohr"" data-order=""שנז""></i><i data-commentator=""Karnei Ohr"" data-order=""קמד""></i>, והוא נברא זכר ונקבה<i data-commentator=""Yahel Ohr"" data-order=""שנח""></i>, ומלת פריה ורביה באדם<i data-commentator=""Yahel Ohr"" data-order=""שנט""></i> ברכה היא<i data-commentator=""Yahel Ohr"" data-order=""שס""></i><i data-commentator=""Karnei Ohr"" data-order=""קמה""></i> כמו בבריאת המים<i data-commentator=""Yahel Ohr"" data-order=""שסא""></i><i data-commentator=""Karnei Ohr"" data-order=""קמו""></i>, רק היא מצוה<i data-commentator=""Yahel Ohr"" data-order=""שסב""></i> העתיקוה קדמונינו ז""ל<i data-commentator=""Yahel Ohr"" data-order=""שסג""></i><i data-commentator=""Karnei Ohr"" data-order=""קמז""></i>, ושמו זה הפסוק<i data-commentator=""Yahel Ohr"" data-order=""שסד""></i> זכר לדבר<i data-commentator=""Yahel Ohr"" data-order=""שסה""></i><i data-commentator=""Karnei Ohr"" data-order=""קמח""></i>"
