term english,term translation,term alternate,term hebrew,term hebrew alternate,hebrew description,english description,,
The final letter mem,,,ם',,,"In the <<chest>> of <<<i>Imma</i>>> there remains a trace of the immaturity of the bottom <i>heh</i> in the <<eyes>>, even upon her <<maturity>>, after the <i>heh</i> has descended from there. Now, this trace causes the <i>parsa</i> (separation) within the intestine of <<<i>Imma</i>>>, dividing between the <<body>> and <<eyes>>, which are now her <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Daat</i>>>, <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, and <<<i>Tiferet</i>>>, and the <<ear nose and mouth>>, which are her <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>, from the <<chest>> and below. Accordingly, the <<first three>> are expressed only from the <<chest> and above, that is, her first six <<<i>sefirot</i>>>: <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Daat</i>>>, <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, and <<<i>Tiferet</i>>>, which are above the trace of the bottom <i>heh</i>. By contrast, the four <<<i>sefirot</i>>>: <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>, which are below her <<chest>, no longer contain the <<first three>>, since they are from the <<chest>> and below, where the trace of the bottom <i>heh</i> remains. With respect to this name, the upper six <<<i>sefirot</i>>> are called “circular <i>samekh</i>,” while the lower four, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>, are called the final, or “closed <i>mem</i>.” All this applies to the upper <<<i>Imma</i>>>. From the <<<i>Malkhut</i>>> of the upper <<<i>Imma</i>>>, that is, the trace of the bottom <i>heh</i> in the place of the <<chest>>, <<<i>Yisrael</i> <i>Sabba</i> and <i>Tevuna</i>>> emerge. This <<<i>Malkhut</i>>> is called <i>dalet</i> (“four”), because it incorporates the four <<<i>sefirot</i>>>: <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>, which are the final <i>mem</i>. Thus, <<<i>Yisrael</i> <i>Sabba</i> and <i>Tevuna</i>>> is the fourth level of the upper <<<i>Imma</i>>>, such that the <i>samekh</i> and final <i>mem</i> are in the upper <<<i>Imma</i>>>, while <i>dalet</i> is in <<<i>Yisrael</i> <i>Sabba</i> and <i>Tevuna</i>>>. These letters: <i>Samekh</i>, final <i>mem</i>, and <i>dalet</i>, are also considered three <i>Tevunot</i>, since they are three separate levels. For the <i>samekh</i>, which is entirely above the bottom <i>heh</i>, is an expression of the <<first three>>, while the final <i>mem </i>is an expression of the <<six extremities>> without a <<head>>, where they are 120 combinations of <i>Elohim</i>, that is, thirty combinations in each <<<i>sefira</i>>>. The <i>dalet</i>, which <i></i>is an expression of <<<i>Yisrael</i> <i>Sabba</i> and <i>Tevuna</i>>>, is even lower than the <<<i>Malkhut</i>>> of the upper <<<i>Imma</i>>> itself, which is called a final <i>mem</i>. For <<<i>Yisrael</i> <i>Sabba</i> and <i>Tevuna</i>>> does not emerge from the <<<i>Malkhut</i>>> of the <<<i>Imma</i>>> itself, but from the externality of that <<<i>Malkhut</i>>>, as stated in Answer 3, above. Therefore, it is far lower than the final <i>mem</i> of the upper <<<i>Imma</i>>>. In it, all of the <<seven lower ones>> are in the mystical meaning of names of <i>Elohim</i>, except for its <<<i>Ḥesed</i>>>, that is, from <<<i>Gevura</i>>> and below, which are twenty-four combinations in each <<<i>sefira</i>>>. Accordingly, the <i>samekh</i>, final <i>mem</i>, and <i>dalet</i> are considered three <i>Tevunot</i>, or three levels in <<<i>Bina</i>>>, which are very much distanced from one another (<i>Talmud Eser Sefirot</i>, v. 10, Q & A 65).    ",,TAS
The name Mah (45),,,מ''ה,,,"The name <i>Mah </i>is <<<i>Havaya</i>>> when the letters of the name are written as follows: <i>yod </i>(<i>yod-vav-dalet</i>), <i>heh </i>(<i>heh-alef</i>)<i>, vav </i>(<i>vav-alef-vav</i>), <i>heh (heh-alef</i>). All of the levels that emerged in <<<i>Atzilut</i> (Emanation)>> are expressions of <<<i>Havaya</i>>> of <i>Mah</i> (<i>Talmud Eser Sefirot</i>, v. 8, Q & A 30).",,TAS
Feminine waters,,feminine waters,מ''ן,,,"It is known that as a result of the expansion of the <<points>> of <<<i>Sag</i>>> to <<<i>Mah</i>>> and <<<i>Ban</i>>> of the inner <<<i>Adam Kadmon</i>>>, <<traces>> of two levels are joined in the <<partition>>. These are the first <i>heh</i> in <<<i>Sag</i>>>, and the bottom <i>heh</i> in the inner <<<i>Adam Kadmon</i>>>. Thus, the <<partition>> is incorporated from two females, <<<i>Bina</i>>> and <<<i>Malkhut</i>>>. For this reason the <<partition>> was given the name <<feminine waters>>, since from this point onwards it incorporates these two females in every <<fusion>> it performs with the supernal light (<i>Talmud Eser Sefirot</i>, v. 6, Q & A 15). 
The meaning of <<feminine waters>> is that it causes a <<fusion>>. It is always an expression of <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>, or <<<i>Ze’ir</i>>> and <<<i>Nukba</i>>>. For the female is instituted in the <<light>> of the <<back side>> of <<<i>Imma</i>>>, which is attached only to the <<light of giving>> and which rebuffs <<<i>Ḥokhma</i>>>. Accordingly, she does not turn her face towards the male to receive the illumination of <<<i>Ḥokhma</i>>>, unless she is forced by some factor to do so. This factor is an expression of <<<i>Ze’ir</i>>> and <<<i>Nukba</i>>>, to which the <<<i>Bina</i>>> has a connection, to illuminate it with the illumination of <<<i>Ḥokhma</i>>>, due to the relationship between <<<i>Bina</i>>> and the <<<i>Ze’ir</i>>> and <<<i>Nukba</i>>> of the <<direct light>>. Consequently, when the <<<i>Ze’ir</i>>> and <<<i>Nukba</i>>> ascends to her for <<feminine waters>>, her <<back side>> immediately stops, and she turns her face to the <<<i>Ḥokhma</i>>>, to receive from it the illumination of <<<i>Ḥokhma</i>>>. She thus engages in a face-to-face <<fusion>> with it (<i>Talmud Eser Sefirot</i>, v. 7, Q & A 35).          
",,TAS
Brains,,brains,מוֹחִין ,,,"The <<lights>> of the <<head>> are called <<brains>> (<i>Talmud Eser Sefirot</i>, v. 8, Q & A 32).",,TAS
Kings,,,מְלָכִים ,,,"The seven lower <<<i>sefirot</i>>>, at the time of the shattering of the vessels, are called <<Kings>>. ",,TAS
Partition,,partitions,מָסָךְ ,,,"The power of <<constriction (<i>tzimtzum</i>)>> and judgment instituted in <<<i>Malkhut</i>>>, which rebuffs the supernal light from <<enclothing>> inside it (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 63).",,TAS
Place,,kings,מָקוֹם ,,,"The <<will to receive>> in an emanated being is the “place” for all the <<<i>shefa</i>>> and <<light>> within it (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 35). ",,TAS
Surrounding,,surrounding,מַקִּיף ,,,"  This is referring to the <<light>> that is designed to <<enclothe>> on a level, but which is blocked by some boundary within it. This name has two meanings: First, that it is a distant illumination; second, that it is a secure illumination, that is, it will ultimately be <<enclothed>> there, for the <<light>> “surrounds” it on all sides without leaving it any space from where it can escape, until it is ready to receive it fully (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 4).   ",,TAS
Sparks,,,נִיצוֹצִין ,,,"The <<lights>> that are typically extinguished, but which are ready to awaken, burn, and illuminate once again as before, are called <<sparks>>. This can occur only in the <<returning light>> (<i>Talmud Eser Sefirot</i>, v. 4, Q & A 46). ",,TAS
Point,,point,נְקֻדָּה ,,,"The expression of <<<i>Malkhut</i>>> and its <<partition>>, when there is no <<fusion>> in it and it is not raising <<returning light>>, is called <<point>>. Just as a black point contains no whiteness, so too it has no <<light>>, on account of the <<constriction (<i>tzimtzum</i>)>> that rides upon it. It is also called “point” after the <<constriction (<i>tzimtzum</i>)>> that occurred in the middle point (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 71). ",,TAS
Points,,points,נְקֻדּוֹת ,,,"The <<points>> refers mainly to the illumination of the <<fusion>> that emerges due to the connection of the bottom <i>heh</i> to the first <i>heh</i>. These are called “points,” and there are three aspects here: First, when the bottom <i>heh</i> is in <<<i>Keter</i>>> of <i>nekudim</i> (points), such that the bottom <i>heh</i> is in the <<eyes>> and the <i>yod</i>, (first) <i>heh</i>, and <i>vav</i> are in the <<ear nose and mouth>>. Then it is called the vowels <i>ḥolam</i>, which is above the letters <i>yod</i>, (first) <i>heh</i>, and <i>vav</i>, for the <<light>> of the <<<i>Keter</i>>> does not give to the <<<i>Ḥokhma</i>>> and <<<i>Bina</i>>> from the bottom <i>heh</i>, but only from the first <i>heh</i>. Second, in the mystical meaning of the <<points>> under the letters <i>yod</i>, (first) <i>heh</i>, and <i>vav</i>, which are the <<vessels>> of <<<i>Ḥokhma</i>>> and <<<i>Bina</i>>>. This is achieved through an upper <<fusion>> of <<<i>Ab</i>>> and <<<i>Sag</i>>>, which brings down the bottom <i>heh</i> from the <<eyes>> to the mouth, in the mystical meaning of the <i>kamatz </i>vowel that is under the letters. Here too, the bottom <i>heh</i> is hidden away in the <i>kamatz</i>, which is an expression of <<<i>Yesod</i>>> of <<<i>Keter</i>>>, while the <i>yod</i>, (first) <i>heh</i>, and <i>vav</i> do not yet receive from the illumination of the bottom <i>heh</i>. Third, in the mystical meaning of the <<points>> that are within the letters <i>yod</i>, (first) <i>heh</i>, and <i>vav</i>. This is achieved through the illumination by the <<<i>Yesod</i>>> of <<<i>Adam Kadmon</i>>> of the <i>melafum</i> (the <i>shuruk</i> vowel): The <<point>> of the bottom <i>heh</i> is inside the <i>vav</i>, and this illumination enters within the letters <i>yod</i>, (first) <i>heh</i>, and <i>vav</i>, which are <<<i>Ḥokhma</i>>> and <<<i>Bina</i>>>, and this engenders the <<seven lower ones>> of the <<points>> (<i>Talmud Eser Sefirot</i>, v. 6, Q & A 7). 
The four levels that emerge by means of a <<fusion through collision>>, at the time of the purity of the <<partition>>, are called “points,” and their <<returning light” is called judgment (<i>Talmud Eser Sefirot</i>, v. 4, Q & A 48).
",,TAS
Neshama,Soul,,נְשָׁמָה ,,,"The <<light>> that is <<enclothed>> in the <<vessel>> of <<<i>Bina</i>>> is called “<i>neshama</i>,” in the sense of <i>neshima</i>, a breath, since <<<i>neshama</i>>> is mainly a source for <<<i>Ze</i>’<i>er</i> <i>Anpin</i>>>, which is an expression of light and spirit. It breathes in its life force from there, in a manner of ascent and descent, in the mystical meaning of the verse: “And the living creatures ran and returned” (Ezekiel 1:14), and as in the verse: “And He breathed into his nostrils the breath of life” (Genesis 2:7). This must be understood (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 49).       ",,TAS
Sag (63),,,ס''ג,,,"As is known, the name <<<i>Havaya</i>>> is ten <<<i>sefirot</i>>>, in which the <i>yod-heh</i> are <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, and <<<i>Bina</i>>>, and the <i>vav-heh</i> are <<<i>Ze’ir</i>>> and <<<i>Nukba</i>>>. However, it is not yet apparent which level these ten <<<i>sefirot</i>>> are from, whether on the level of <<<i>nefesh</i>>>, <<<i>ruaḥ</i>>>, or <<<i>neshama</i>>> etc. This is established by writing out the letters in full – that is, when each <<letter>> of the name is spelled out as a word on its own. On the level of <<<i>nefesh</i>>>, the letters are written with each <i>heh</i>, which leads to a numerical value of 52 (“<i>Ban</i>”; the numerical value of yod is 10, the value of vav is 6, the value of dalet is 4, and the value of heh is 5); on the level of <<<i>ruaḥ</i>>> they are written with each <i>alef</i>, giving a numerical value of 45 (“<i>Mah</i>”); on the level of <<<i>neshama</i>>> they are written with each <i>yod</i> (except for the <i>vav</i>, which is filled out with an <i>alef</i>), leading to a numerical value of 63 (“<i>Sag</i>”); and finally, on the level of <<<i>ḥaya</i>>> they are all written with each <i>yod</i>, including the <i>vav</i>, which provides a numerical value of 72 (“<i>Ab</i>”) (<i>Talmud Eser Sefirot</i>, v. 13, Q & A 61).   ",,TAS
Sefira,,,סְפִירָה ,,,"The ten <<<i>sefirot</i>>> of <<direct light>>, which are <<enclothed>> in the ten <<<i>sefirot</i>>> of <<returning light>>, emerging from the first <<fusion through collision>>, are called one <<<i>sefira</i>>>. They are named after the highest <<<i>sefira</i>>> in that level, despite the fact that it incorporates ten <<<i>sefirot</i>>> lengthwise and ten <<<i>sefirot</i>>> in its thickness (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 74).    ",,TAS
Ab (72),,,ע''ב,,,"There is more than one type of <i>Ab</i>.

The name of <<<i>Havaya</i>>>, written out in full, with each <i>yod</i>:
As is known, the name <<<i>Havaya</i>>> is ten <<<i>sefirot</i>>>, in which the <i>yod-heh</i> are <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, and <<<i>Bina</i>>>, and the <i>vav-heh</i> are <<<i>Ze’ir</i>>> and <<<i>Nukba</i>>>. However, it is not yet apparent which level these ten <<<i>sefirot</i>>> are from, whether on the level of <<<i>nefesh</i>>>, <<<i>ruaḥ</i>>>, or <<<i>neshama</i>>> etc. This is established by writing out the letters in full – that is, when each <<letter>> of the name is spelled out as a word on its own. On the level of <<<i>nefesh</i>>>, the letters are written with each <i>heh</i>, which leads to a numerical value of 52 (“<i>Ban</i>”; the numerical value of yod is 10, the value of vav is 6, the value of dalet is 4, and the value of heh is 5); on the level of <<<i>ruaḥ</i>>> they are written with each <i>alef</i>, giving a numerical value of 45 (“<i>Mah</i>”); on the level of <<<i>neshama</i>>> they are written with each <i>yod</i> (except for the <i>vav</i>, which is filled out with an <i>alef</i>), leading to a numerical value of 63 (“<i>Sag</i>”); and finally, on the level of <<<i>ḥaya</i>>> they are all written with each <i>yod</i>, including the <i>vav</i>, which provides a numerical value of 72 (“<i>Ab</i>”) (<i>Talmud Eser Sefirot</i>, v. 13, Q & A 61).  

The name <i>Ab Kedem</i>:
The falling <<ear nose and mouth>> of every <<<i>partzuf</i>>> are restored to it at the time of <<maturity>>, through the illumination of the <<fusion>> of <<<i>Ab</i>>> and <<<i>Sag</i>>>, and which become its <<back side>>, that is, new <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>. These are alluded to by the numerical value of <i>Ab Kedem</i> (<i>ayin-bet-kuf-dalet-mem</i>), which express two <<back sides>> of the <<head>> and <<body>>. The plain <<<i>Havaya</i>>> is an expression of the <<head>>, while its square and <<back side>>, that is, <i>yod</i>, <i>yod-heh</i>, <i>yod-heh-vav</i>, <i>yod-heh-vav-heh</i>, has a numerical value of 72 (<i>Ab</i>). When <<<i>Havaya</i>>> is written out in the manner of <<<i>Ban</i>>> it is an expression of the <<body>>, and its <<back side>> is alluded to in the square, that is, <i>yod-vav-dalet</i> (for <i>yod</i>), <i>yod-vav-dalet</i> (for <i>yod</i>), <i>heh-heh</i> (for <i>heh</i>), <i>yod-vav-dalet</i> (for <i>yod</i>), <i>heh-heh</i> (for <i>heh</i>), <i>vav-vav</i> (for <i>vav</i>), <i>yod-vav-dalet</i> (for <i>yod</i>), <i>heh-heh</i> (for <i>heh</i>), <i>vav-vav</i> (for <i>vav</i>), <i>heh-heh</i> (for <i>heh</i>), which has a numerical value of one hundred and forty-four (<i>kuf-dalet-mem</i>, <i>Kedem</i>). Together, they have a numerical value of 216. They are the <<vessel>> that raises the <<feminine waters>>, which comes with the first arrival (<i>Talmud Eser Sefirot</i>, v. 9, Q & A 81).  
",,TAS
Opacity,,opacity,עַבָּיוֹת ,,,"The <<maturity>> of the <<will to receive>> with a great yearning is called a great <<opacity (<i>ovyut</i>)>>, whereas a slight yearning is called a slight <<opacity (<i>ovyut</i>)>>. It is the expression of a <<vessel>> drawing the <<<i>shefa</i>>> in each <<<i>partzuf</i>>>, and is accordingly called the interiority of the <<vessel>> (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 53).  ",,TAS
Gestation,,gestation,עִבּוּר ,,,"<<Fusions>> at the stage of <<immaturity>> are called <<gestation>> (<i>Talmud Eser Sefirot</i>, v. 8, Q & A 42). Likewise, the stage of <<<i>nefesh</i>>> is also called <<gestation>> (<i>Talmud Eser Sefirot</i>, v. 15, Q & A 21).
Here is an example in <<<i>Ze</i>’<i>er</i> <i>Anpin</i>>>:
The initial formation of <<<i>Ze</i>’<i>er</i> <i>Anpin</i>>> is by means of its incorporation in the <<fusions>> of <<<i>Abba</i> and <i>Imma</i>>>, in the mystical meaning of the ascent of the <<feminine waters>> to them. This incorporation is called the first <<gestation>> of <<<i>Ze</i>’<i>er</i> <i>Anpin</i>>>. Later, after its <<six extremities>> have already been completed in eveything, it ascends a second time to <<<i>Abba</i> and <i>Imma</i>>> for <<feminine waters>>, and is incorporated in their <<fusion>> of <<maturity>>. This is called the second <<gestation>>, which is to attain the <<brains>> of <<maturity>> (<i>Talmud Eser Sefirot</i>, v. 10, Q & A 70).
",,TAS
Eyes,,eyes,עֵינַיִם ,,,"The <<vessel>> of <<<i>Ḥokhma</i>>> of the <<head>> (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 76).",,TAS
Face-to-face,,,פב''פ,,,"When the female receives the supernal light from the <face>> of the male into her internal <<vessels>>, this is called a <<face-to-face>> <<fusion>> (<i>Talmud Eser Sefirot</i>, v. 7, Q & A 73). ",,TAS
Mouth,,mouth,פֶּה ,,,"The <<<i>Malkhut</i>>> of the <<head>> is called <<mouth>> (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 80). ",,TAS
Tzelem,,,צל''ם,,,"<i>Tzelem</i> (the letters <i>tzadi-lamed-mem</i>) is the <<returning light>> that rises over the incorporation of the lower <<feminine waters>> in the <<partition>> and the <<opacity (<i>ovyut</i>)>> in the higher one. It <<enclothes>> the ten <<<i>sefirot</i>>> of <<direct light>> from that <<fusion>>, which are the <<brains>> themselves. This <<returning light>> is considered an actual expression of the higher one, for it emerged over the <<partition>> and the <<opacity>> of the higher one. However, the higher one does not engage in a <<fusion>> for the sake of the lower one from its own self, but only from its externality – that is, it awakens the <<trace>> of <<immaturity>> that remains in it from its stage of <<immaturity>>, which corresponds to the <<feminine waters>> that ascended to it. Nor does it do so from its own <<partition>> and <<opacity>> of its level, but from the lowest part of the level, as is known. It therefore follows that the higher one has no need for this measure of <<returning light>>, and therefore this <<returning light>> descends with the ten <<<i>sefirot</i>>> of the <<brains>> to the lower one, where it also <<enclothes>> its <<brains>>, just as it <<enclothed>> them when they emerged in the higher place. Yet the lower one does not take them in its upper level, as they emerged in the higher one. Rather, it must descend twice in the higher one itself (see Answer 37), at which point it is fitting to be <<enclothed>> within the lower one. One descent is called the <i>mem</i> of <i>tzelem</i>, while the second descent is called the <i>lamed</i> of <i>tzelem</i>. At the <i>mem</i> it diminishes to an expression of <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, and <<<i>Tiferet</i>>>, while at the <i>lamed</i> it diminishes to an expression of <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>. It subsequently expands in the lower one, and this expansion itself, within the lower one, is called the <i>tzadi</i> of <i>tzelem</i> (<i>Talmud Eser Sefirot</i>, v. 11, Q & A 56).",,TAS
Constriction ,,constriction,צִמְצוּם,,,"That which overcomes its will, i.e., restrains itself and does not receive even though he greatly yearns to receive, is described as “constricting” itself (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 46). ",,TAS
Line,,line,קַו,,,"The ten <<<i>sefirot</i>>> of the straight <<vessels>> are called a channel from the perspective of their <<vessels>>, while from the perspective of the <<light>> inside them they are called <<line>>. Only the ten <<<i>sefirot</i>>> of the world of <<<i>Adam Kadmon</i>>> are called one <<line>>, whereas ten <<<i>sefirot</i>>> in the world of <<<i>Atzilut</i> (Emanation)>> have three >>lines>> (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 60).  ",,TAS
Lines,,lines,קַוִּים ,,,"Before the ascent of the bottom <i>heh</i> in the <<eyes>>, the <<<i>sefirot</i>>> of the <<seven lower ones>> were separated from one another, one above the other, in ascending order of purity. As is known, spiritual beings are differentiated by a change of form, which is how they form separated entities. However, after the bottom <i>heh</i> has ascended in the <<eyes>>, and the <<opacity (<i>ovyut</i>)>> of the <<<i>Malkhut</i>>> has been incorporated in every <<<i>sefira</i>>> up to <<<i>Ḥokhma</i>>> and has become the left <<line>> in all ten <<<i>sefirot</i>>> together (in contrast to the essence of the <<<i>sefirot</i>>> that became the right <<line>>, as is known), such that the middle <<line>> subsequently descends through the <<fusion>> of the supernal light, and balances between them, the result is that all ten <<<i>sefirot</i>>> have been connected and rectified in a single <<fusion>> by means of the middle <<line>>, in the mystical meaning of the private domain. In this manner, all <<seven lower ones>> are connected and rectified in each other, like one level. This is called the rectification of three <<lines>> (<i>Talmud Eser Sefirot</i>, v. 10, Q & A 56).   ",,TAS
Immaturity,,immaturity,קְטַנּוֹת ,,,"The two <<<i>partzufin</i>>> of suckling <<gestation>> in each <<<i>partzuf</i>>> are called <<immaturity>>, because of the lack of the <<<i>partzuf</i>>> of the <<brains>>, which is the <<head>> of every <<<i>partzuf</i>>> (<i>Talmud Eser Sefirot</i>, v. 15, Q & A 119).   ",,TAS
Rachel,,,רָחֵל ,,,"It is known that <<<i>Ze’er Anpin</i>>> is entirely constructed from the <<brains>> of <<<i>Imma</i>>>. <<<i>Imma</i>>>, which is <<<i>Bina</i>>>, divides into the <<first three>> and the <<seven lower ones>>. Her <<first three>> are <<<i>Abba</i> and <i>Imma Ila’in</i>>>, which are <<<i>ḥassadim</i>>> that are covered and rebuffed from <<<i>Ḥokhma</i>>>, while her <<seven lower ones>> are <<<i>Yisrael</i> <i>Sabba</i> and <i>Tevuna</i>>> and revealed <<<i>ḥassadim</i>>> in the illumination of <<<i>Ḥokhma</i>>>. Likewise, <<<i>Ze’er Anpin</i>>> that is constructed from <<<i>Imma</i>>> is in the mystical meaning of the verse: “And I am a smooth man” (Genesis 27:11). For from the <<chest>> and above, the <<first three>> of <<<i>Imma</i>>> illuminate in it, that is, the covered <<<i>ḥassadim</i>>>, whereas from the <<chest>> and below, the <<seven lower ones>> of <<<i>Bina</i>>> illuminate in it, which are revealed <<<i>ḥassadim</i>>>. Since they are two virtually opposite expressions, the verse calls it “a smooth man,” smooth of <<hairs>>, as is known. 
Now, for the same reason the <<<i>Nukba</i>>> of <<<i>Ze’er Anpin</i>>> also divides into two. There is an upper <<<i>Nukba</i>>>, from the <<<i>Malkhut</i>>> of the <<first three>> of <<<i>Imma</i>>>, which is covered <<<i>ḥassadim</i>>>. This is called <<Leah>>. She <<enclothes>> on its <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, and <<<i>Tiferet</i>>> until the <<chest>>, which is in the place of her covered <<<i>ḥassadim</i>>>. It also has a second <<<i>Nukba</i>>>, from the <<<i>Malkhut</i>>> of the <<seven lower ones>> of <<<i>Imma</i>>>, which is revealed <<<i>ḥassadim</i>>>, called <<Rachel>>. She <<enclothes>> in the place of its <<chest>> and below, that is, in the place of its revealed <<<i>ḥassadim</i>>>. Accordingly, <<Leah>> receives only the <<back side>> of the <<<i>Yesod</i> (Foundation)>> of <<<i>Imma</i>>>, which ends at the place of the <<chest>>. For she rebuffs <<<i>Ḥokhma</i>>> like the <<first three>> of <<<i>Imma</i>>>, and cannot venture from the <<chest>> and below, where the <<<i>Yesod</i>>> of <<<i>Abba</i>>> serves openly. The reverse is true of <<Rachel>>: Her entire holding is only in the <<<i>Yesod</i>>> of <<<i>Abba</i>>>, in the mystical meaning of “father (<i>Abba</i>) founded (<i>yasad</i>) the daughter.” Consequently, she cannot suckle from above the <<chest>> of <<<i>Ze’er Anpin</i>>>, since there the <<<i>Yesod</i>>> of <<<i>Abba</i>>> is hidden and concealed in the <<<i>Yesod</i>>> of <<<i>Imma</i>>> (<i>Talmud Eser Sefirot</i>, v. 14, Q & A 125).  
",,TAS
Traces,,traces,רְשִׁימוֹת ,,,"After the <<constriction (<i>tzimtzum</i>)>>, when the <<light>> of <<<i>Ein Sof</i>>> is removed from all four levels, as is known, its <<trace>> nevertheless remains in every level, a form of the <<light>> of <<<i>Ein Sof</i>>> it contained before the <<constriction>> (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 72). 

What are these “traces,” outside of the context of <<constriction>>?
Know that this <<trace>> of themselves that the <<lights>> leave behind after their departure is the kernel and the root for engendering a second <<<i>partzuf</i>>> from it. For each effect emerges and is engendered by its cause in this manner, and thus all the <<lights>> in the worlds are drawn forth to the lower ones. They themselves are transferred from cause to the effect engendered by it, like the spark of a soul that is transferred from father to son, and which then remains permanently fixed in the son’s soul, as explained in <i>Or Penimi</i>, v. 4, section 82:3. This must be understood and kept in mind, for it is the key to understanding the factor that compels the effect to devolve from its cause, in the whole <<devolvement>> of the emergence of the <<<i>partzufin</i>>> and the worlds from one another, from beginning to end (<i>Talmud Eser Sefirot</i>, v. 4, Q & A 65).
",,TAS
