א,A
שבת שובה,Shabbat is captivating
שבת תוספות,Shabbat Tosafot
שבת תחום,Shabbat area
שבת הגדול,the big Saturday
שבת,Sabbath
שבתאי,Saturn
שבתון,A sabbatical
שגג,Roof
שגוב,Backgrounder
שגל,concubine
שגר,Who lives
שד,Breast
שדה,field
שדוך,matchmaking
שה,Shah
שהם,that they
שוא,vain
שואה,holocaust
שואל,Asks
שוב,again
שובה,She is returning
שובך,dovecote
שוגג,erring
שוח,Shou
שוחד,bribe
שוטה,fool
שוטר,policeman
שוכר,tenant
שולחן,Table
שולל,Deceived
שולמית,Shulamit
שום,garlic
שומן,fat
שומר הסף,Bouncer
שומרון,Samaria
שומרונים,Samaritans
שומרים,Guards
שונא,Hate
שונמית,Shunamit
שוע,Shua
שועה,Shua
שועל,fox
שופט,judge
שופר שופרות,Shofar shofars
שור בהמה,Bull beast
שור ראה,Ox saw
שור הבר,The Wild Ox
שורר,Shorer
שורש,root
שושבין,Best man
שושן,lily
שושנה,Rose
שושנים,Lilies
שותף שותפות,Partner Partnership
שחוק,worn
שחור,black
שחי,armpit
שחיטה,slaughter
שחין,boils
שחל,Shahal
שחפת,tuberculosis
שחקים,High
שחר בקר,Shahar Becker
שחר שחרה,Shahar was black
שחת שחת,Haystack hay
שטים דור המדבר,The Desert Generation
שטים משכן,The Mishkan Mishkan
שטן,Devil
שטר,bill
שיבה,return
שיח,discourse
שיחה,Conversation
שילה כי יבא שילה,Sheila that brought Shilo
שילה משכן,Sheila Mishkan
שילוח,Forwarding
שים,Put
שימוש,Use
שינה,Sleep
שינוי השם,Change the name
שינוי,Change
שיעורין,Two lessons
שיער,Hair
שיר האזינו,A song listened
שיר המעלות,Song of Virtues
שיר השירים,Song of Songs
שיר,A poem
שירת הבאר,Song of the well
שירת הים,Song of the Sea
שישק,Shishak
שית,Share
שיתין,Drink
שכב,Lying
שכבת זרע,Seed layer
שכבת,Layer
שכוי,And so on
שכור,rented
שכח,forgot
שכחה,forgetfulness
שכינה,The Shekhina
שכיר שכירות,Employee Rent
שכל בינה,That all intelligence
שכל שכל את ידיו,That all his hands were made
שכם,shoulder
שכן דירה,For an apartment
שכן,Neighbor
שכר ברכה,Greeting salary
שכר יין,Wine Charter
שכר שכיר.htm,Employee wages
של נעלך,Of your shoe
של.htm,Of .htm
שלא לשמה,Not for its own sake
שלג,snow
שלהבת,flame
שלו,His
שלוה,peace
שלוח הקן,The nest
שלום בן תקוה,Shalom Ben Tikva
שלום,Peace
שלומיאל,Shlomiel
שלומית,Shlomit
שלומציון,Shlomzion
שלח,Send
שליח שליחות,A missionary
שליח מצוה,Shaliach of the Mitzvah
שליח צבור,Courier
שליש שלישיה,Third trimester
שליש,a third
שלל,loot
שלמה בגד,Shlomo betrayed
שלמה חכמת,Shlomo Hachmat
שלמה כסא,Full chair
שלמה,Shlomo
שלמון,Salmon
שלמות,integrity
שלתיאל,Shaltiel
שם בן נח,Shem ben Noach
שם שינוי,Change name
שם שמות,Name Names
שם טוב,Shem Tov
שם רע,Bad name
שם,Name
שמא יקדמנו,Perhaps we will advance
שמאל,left
שמגר,Shamgar
שמד,Demon
שמואל,Shmuel
שמונה נסיכים,Eight princes
שמונה,eight
שמועה,rumor
שמוש חכמים,Shamosh sages
שמות קדושים,Holy Names
שמות קדש הזכרה,The names of Kadesh
שמות קדש מחיקה,Shemot Kodesh Deletion
שמות קדש שם א ל ואלקים,Shemot Kadesh Shem and God
שמות קדש שם אדנות,Shemot Kadesh is the name of Adanim
שמות קדש שם אהיה,Shemot Kadesh I shall be there
שמות קדש שם הויה,Shemot Kodesh is the name of the living
שמות קדש שם י ה,The names of Kadesh are there
שמות קדש שם מקום,Shemot Kadesh is a place name
שמות קדש שם צב אות,The names of Kadesh are there
שמות קדש שם ש די,Shemot Kodesh there
שמחה,joy
שמחזאי,Playwright
שמחת בית השואבה,Simchat Beit Hashoeva
שמחת תורה,Simchat Torah
שמטה,A drop
שמטת כספים,You dropped money
שמים,Heaven
שמיני עצרת,Shemini Atzeret
שמינית,eighth
שמיר,dill
שמירת הברית,Saving the covenant
שמלה,dress
שממה,wasteland
שממית,gecko
שמן המשחה,Oily oil
שמן,Fat
שמע שמיעה,Hear hearing
שמעון,Shimon
שמעי,Listen
שמעיה,Shemaiah
שמץ שמצה,The slightest hint
שמר שמירה,Keep guard
שמש מאורות,Sun Lights
שמש שמוש,A sunny sun
שמשון,Samson
שן,tooth
שנאה שונא,Hate hate
שנאן,Shinan
שנה,Year
שנוי,change
שני,other
שנים,Years
שנית,Secondly
שנן,denture
שנער,Shinar
שסה,Shasha
שסועה,Divided
שסף,Slice
שעה זמן,Time Time
שעה פנה,An hour turned
שעורה,barley
שעורים,Lessons
שעטנז,Shatnez
שעיר שעירים,Hairy hair
שעיר,hairy
שער,Gate
שערורה,Scandal
שפה שפתים,Language and Language
שפחה חרופה,A cowardly slave
שפחה,slave
שפטים,Judges
שפי,Sheffy
שפיים,Shefayim
שפיכות דמים,Bloodshed
שפיפון,viper
שפל שפלות,Low low
שפם,mustache
שפן,rabbit
שפע,abundance
שפרה ופועה,Shifra and Puah
שק,bag
שקד,Almond
שקדים,Almonds
שקל,shekel
שקערורות,Shackles
שקף,Slide
שקץ,abomination
שקק,Shake
שקר,a lie
שרד,survived
שרון,Sharon
שרוק,Shorek
שרות,service
שרח,Sharach
שרט לנפש,Scratch the person
שריון,armor
שריר,muscle
שרירות,arbitrariness
שרף מלאך,Resin Angel
שרף נחש,Serpent Snake
שרף שרפה,Resin combustion
שרץ,Shreene
שררה,authority
שרת,Server
שש,six
ששון,Sasson
ששך,Shech
שת,Seth
שתום העין,The Last Eye
שתיה,drinking
שתיקה,silence
ת,A
תאו,bison
תאוה,lust
תאומים,twins
תאנה,fig
תאניה,Thania
תאר,Describe
תבה,ark
תבואה,grain
תבונה,reason
תבל ארץ,Tevel Land
תבל,world
תבלין,spice
תבן,straw
תבני,Tavni
תבנית,pattern
תגין,Defend
תגלת פלאסר,Tiglath Pileser
תדמור,Tadmor
תהום,abyss
תהלים,psalms
תובל קין,Tuval Cain
תודה,Thanks
תודוס,Todos
תוהו,Chaos
תוחלת,expectation
תוך,within
תוכחה,reproof
תולדות,history
תולל,Doom
תולע בן פואה,Thule Ben Foa
תולע,Worm
תולעים,worms
תולעת שני,A second worm
תוספתא,Tosefta
תועבה,abomination
תועפות,An arm
תוף,drum
תופת,inferno
תור ובהגיע תור,A queue and a queue
תור ויתורו,Queue and give up
תור יונה,The line of Jonah
תורה בטול,Torah in Tull
תורה ודרך ארץ,Torah and Derech Eretz
תורה כתיבה,Torah writing
תורה לשון הפסוק,Torah The language of the verse
תורה מדות שהתורה נדרשת,Torah teaches that the Torah is required
תורה משנה תורה,Torah Mishneh Torah
תורה נתינה,Torah Giving
תורה סדר,Torah Seder
תורה ספורי,Torah Story
תורה פעולה,Torah action
תורה שינוי,Torah Change
תורה תוכן,Torah content
תורה שבכתב ושבעל פה,Torah written and oral
תורה,Bible
תורן,mast
תושב,resident
תושיה,resourcefulness
תותח,cannon
תחבולה,trick
תחיית המתים,Resurrection
תחלה,start
תחנה תחנון,Tachanun Station
תחש,Tachash
תחת ירך,Under the hip
תחת,under
תיאטרון,theater
תימא,Tima
תינוק,baby
תינוקות של בית רבן,Babies of Rabban House
תיקו,draw
תכונה,attribute
תככים,intrigue
תכלת,blue
תכשיט,jewel
תל,Tel
תלונה,complaint
תליה,suspension
תלמוד,Talmud
תלמיד חכם,smart student
תלמיד,Pupil
תם תמים,Innocent innocent
תם תמימות,Innocence is over
תמוז,Tammuz
תמונה,Image
תמורה,change
תמיד,Always
תמים תמימות,Innocent innocence
תמנה,Count
תמנע,Timna
תמנת חרס,Pottery
תמר אבשלום,Tamar Avshalom
תמר יהודה,Tamar Yehuda
תמרים,Dates
תנאי,terms of
תנואה,Take a nap
תנוך,Thumb
תנומה,nap
תנועה,movement
תנועות,Movements
תנופה,amplitude
תנור,Oven
תנחומין,Tanchumin
תנים תנין,Crocodile jackals
תנשמת,owl
תספורת,haircut
תעה,Stray
תעלה,channel
תעלול,trick
תעלולים,Tricks
תענוג,pleasure
תענית,fasting
תערובת,mixture
תפארת,glory
תפוח,an Apple
תפילין,tefillin
תפלה כריעות,Prayer and kneeling
תפלה מוסף,Additional prayer
תפלה מנחה,Mincha prayer
תפלה ערבית,Arabic prayer
תפלה קדושה קדיש,Holy Prayer Kaddish
תפלה ראש השנה ויום כפור,Tefillah Rosh Hashanah and Yom Kippur
תפלה שבת,Shabbat Prayer
תפלה שחרית,Morning Prayer
תפלה שמונה עשרה,The Eighteenth Prayer
תפלה תפל,A bland prayer
תפלה,prayer
תפלצת,You&#39;re a monster
תפלת הדרך,The prayer of the road
תפש,Look
תפתה,Be tempted
תקוה,hope
תקון העולם,Repair the world
תקון חצות,Fixing midnight
תקון סופרים,Fixing writers
תקון,darn
תקופה,period
תקופתנו,Our time
תקיעה,blast
תקנות,Regulations
תרבות,culture
תרגום השבעים,The Septuagint
תרגום,translation
תרדמה,hibernation
תרומה,contribution
תרומת הדשן,Donation of the fertilizer
תרומת הלשכה,Contribution of the Bureau
תרומת מעשר,Tithe donation
תרועה,cheer
תרח,Terach
תרמוד,Will be destroyed
תרנגול,rooster
תרעומת,indignation
תרעלה,poison
תרפים,Therapists
תרשיש,aquamarine
תשבי,Tishby
תשואות,applause
תשובה,Answer
תשוקה,passion
תשורה,gift
תשלומין,Payments
תשליך,Ditch
תשמיש,utensil
תשעה באב,Tisha B&#39;Av
תשרי,Tishrei
