Sanhedrin 2a:1	<sup>i</sup> <b>G</b>ELDANGELEGENHEITEN$fn1 <small>WERDEN VOR DREI</small> [R<small>ICHTERN VERHANDELT</small>], R<small>AUB UND</small> K<small>ÖRPERVERLETZUNGEN</small>$fn2 <small>VOR DREI</small>, S<small>CHADEN- UND HALBER</small> S<small>CHADENERSATZ</small>$fn3, Z<small>AHLUNG DES</small> D<small>OPPELTEN</small>$fn4 <small>UND DES</small> V<small>IER ODER</small> F<small>ÜNFFACHEN</small>$fn5 <small>VOR DREI</small>,
Sanhedrin 5a:1	ist [der Richter] für das Publikum autorisiert, so darf er auch allein richten. R. Naḥman sprach: Ich zum Beispiel richte in Geldangelegenheiten ganz allein. Ebenso sagte auch R. Ḥija: Ich zum Beispiel richte in Geldangelegenheiten ganz allein. 
Sanhedrin 5a:2	Sie$fn96fragten: ‘Ich’, der ich gelernt habe, verstehe und autorisiert bin, während das Urteil eines Nichtautorisierten ungültig ist, oder ist auch das Urteil eines Nichtautorisierten gültig? – 
Sanhedrin 5a:3	Komm und höre: Mar Zuṭra, Sohn des R. Naḥman, irrte sich einst bei einem Urteilsspruche; da kam er vor R. Joseph, und dieser sprach zu ihm: Haben sie sich auf dich verlassen, so bist du nicht regreßpflichtig, wenn aber nicht, so gehe und bezahle. Hieraus ist also zu entnehmen, daß das Urteil eines Nichtautorisierten gültig sei. Schließe hieraus.
Sanhedrin 5a:4	Rabh sagte: Will jemand richten, ohne wenn er sich irrt, regreßpflichtig zu sein, so hole er sich Vollmacht vom Exilarchen. Ebenso sagte Šemuél, er hole sich Vollmacht vom Exilarchen. 
Sanhedrin 5a:5	Selbstverständlich hier für hier$fn97oder dort für dort, denn beim hiesigen [Exilarchen] heißt es ‘Herrscherstab’$fn98, beim dortigen [Fürsten] aber ‘Gesetzgeber’, 
Sanhedrin 5a:6	wie gelehrt wird:$fn99<i>Es wird der Herrscherstab von Jehuda nicht weichen</i>, das sind die Exilarchen in Babylonien, die das Volk mit dem Stabe unterjochen; <i>noch ein Gesetzgeber von zwischen seinen Füßen</i>, das sind die Kindeskinder Hillels, die öffentlich die Tora lehren. 
Sanhedrin 5a:7	Wie ist es aber, wenn dort für hier? – Komm und höre: Rabba b. Ḥana irrte sich einst bei einem Urteilsspruche; da kam er vor R. Ḥija und dieser sprach zu ihm: Haben sie sich auf dich verlassen, so bist du nicht regreßpflichtig, wenn aber nicht, so gehe und bezahle. Rabba b. Ḥana hatte ja$fn100Vollmacht. Hieraus ist somit zu entnehmen, daß [die Autorisation] von dort hier nicht anerkannt wird. Schließe hieraus. – 
Sanhedrin 5a:8	Etwa nicht, Rabba b. R. Hona sprach ja, wenn er mit den Leuten des Exilarchen Streit hatte, zu ihnen: Ich habe meine Autorisation nicht von euch, sondern von meinem Herrn Vater; mein Herr Vater von Rabh, Rabh von R. Ḥija und R. Ḥija von Rabbi!? – Er autorisierte sie für weltliche Angelegenheiten. – 
Sanhedrin 5a:9	Wozu nahm Rabba b. Ḥana Autorisation, wenn diese wirkungslos war!? – Für Städte, die an der [palästinensischen] Grenze lagen. – 
Sanhedrin 5a:10	Wie geschah seine Autorisation? – Als Rabba b. Ḥana nach Babylonien gehen$fn101wollte, sprach R. Ḥija zu Rabbi: Mein Bruderssohn geht naeh Babyloniein; soll er rituelle Entscheidungen treffen? – Er soll dies. – Soll er richten? – Er soll dies. – Soll er Erstgeborene$fn102erlauben? – Er soll dies. 
Sanhedrin 5a:11	Als Rabh nach Babylonien gehen wollte, sprach R. Ḥija zu Rabbi: Mein Schwesterssohn geht nach Babylonien; soll er rituelle Entscheidungen treffen? – Er soll dies. – Soll er richten? – Er soll dies. – Soll er erstgeborene Tiere erlauben? – Dies soll er nicht. – 
Sanhedrin 5a:12	Weshalb nannte er den einen ‘Bruderssohn’ und den anderen ‘Schwestersohn’; wolltest du sagen, so habe es sich verhalten, so sagte ja der Meister, Ajbu, Ḥana, Šila, Martha und R. Ḥija waren alle Söhne des Abba b. Sala$fn103aus Kaphri$fn104!? – Rabh war ein Sohn seines Bruders und zugleich seiner Schwester$fn105, während Rabba b. Ḥana ein Sohn seines Bruders, nicht aber seiner Schwester war. 
Sanhedrin 5a:13	Wenn du aber willst, sage ich: 
Sanhedrin 5b:1	wegen seiner Weisheit, denn es heißt:$fn106<i>sprich zur</i> <i>Weisheit: du bist meine Schwester</i>. – 
Sanhedrin 5b:2	«Soll er Erstgeborene erlauben? – Dies soll er nicht.» Aus welchem Grunde, wollte man sagen, weil er nicht weise genug war, so sagten wir ja, daß er sehr weise war!? – Weil er in den Gebrechen nicht kundig war. – 
Sanhedrin 5b:3	Aber Rabh sagte ja, er habe achtzehn Monate bei einem Viehhirten verbracht, um zu lernen, welches ein bleibendes und welches ein vorübergehendes Gebrechen sei!? – Vielmehr, um Rabba b. Ḥana Ehrung zu erweisen. 
Sanhedrin 5b:4	Wenn du aber willst, sage ich: eben deshalb, Rabh war in den Gebrechen sehr kundig, somit würde er Gebrechen erlaubt haben, von denen die Leute keine Kenntnis haben, und indem sie gesagt haben würden, Rabh habe so etwas erlaubt, würden sie auch vorübergehende Gebrechen erlaubt haben. – «Soll er rituelle Entscheidungen treffen? – 
Sanhedrin 5b:5	Er soll dies.» Wozu brauchte er, wenn er gelernt hatte, der Autorisation!? – Wegen jenes Ereignisses. 
Sanhedrin 5b:6	Es wird nämlich gelehrt: Einst ging Rabbi nach einer Ortschaft und beobachtete, daß da die Leute den Teig in Unreinheit$fn107kneteten, da sprach er zu ihnen: Weshalb knetet ihr den Teig in Unreinheit? Diese erwiderten: Ein Jünger kam hierher und lehrte uns, Sumpfwasser mache nicht verunreinigungsfähig$fn108. Er lehrte es nämlich von Eiern, sie aber glaubten, er lehre es vom Sumpfwasser$fn109. 
Sanhedrin 5b:7	Ferner irrten sie auch durch folgende Lehre: Das Wasser des Qirmejon und des Piga sind [für das Entsündigungswasser]$fn110unbrauchbar, weil sie Sumpfwasser sind. Sie folgerten, wenn [das Sumpfwasser] für das Entsündigungswasser unbrauchbar ist, sei es auch nicht verunreinigungsfähig; dem ist aber nicht so, für die Entsündigung muß es lebendiges Wasser sein, was solches nicht ist, während hierbei alles verunreinigungsfähig macht. 
Sanhedrin 5b:8	Es wird gelehrt: Damals ordneten sie an, daß ein Jünger nur dann rituelle Entscheidungen treffen dürfe, wenn er Autorisation von seinem Lehrer erhalten hat.
Sanhedrin 5b:9	Tanḥum, Sohn des R. Ami, kam einst nach Ḥathar und trug da vor, es sei erlaubt, am Pesaḥfeste Weizen anzufeuchten$fn111. Sie sprachen zu ihm: R. Mani aus Çor ist ja hier anwesend, und es wird gelehrt, ein Schüler dürfe in der Ortschaft seines Lehrers keine Entscheidungen treffen, sondern nur in einer Entfernung von drei Parasangen, entsprechend dem Lager$fn112Jisraéls! Dieser erwiderte: Ich wußte es nicht.
Sanhedrin 5b:10	Einst bemerkte R. Ḥija jemand auf einem Begräbnisplatze stehen, da sprach er zu ihm: Bist du etwa nicht ein Sohn jenes Priesters$fn113? Dieser erwiderte: Jawohl, aber mein Vater folgte seinen Augen und heiratete eine Geschiedene$fn114, wodurch er [seine Priesterschaft] entweiht hat.
Sanhedrin 5b:11	Selbstverständlich ist die teilweise$fn115Autorisation gültig, vsde wir bereits gesagt haben, wie verhält es sich aber mit der bedingungsweisen? – Komm und höre: R. Joḥanan sprach zu R. Šamen: Du sollst unsere Autorisation haben, bis du zu uns zurückkehrst.
Sanhedrin 5b:12	Der Text. Šemuél sagte: Wenn zwei Recht gesprochen haben, so ist ihr Urteil gültig, nur heißt es ein anmaßendes Gericht. R. Naḥman saß und trug diese Lehre vor, da wandte Raba gegen R. Naḥman ein: Wenn ihn zwei für schuldig oder für unschuldig erklären und einer sich seines Urteils enthält, so müssen die Richter vermehrt werden; wenn dem nun so wäre, so sollte es ebenso sein, als hätten zwei Recht gesprochen!? – 
Sanhedrin 5b:13	Anders ist es da, wo sie von vornherein mit drei rechneten, während sie hierbei von vornherein nicht mit drei rechneten. 
Sanhedrin 5b:14	Er wandte gegen ihn ein: R. Šimo͑n b. Gamliél sagte: Zur Entscheidung sind drei und zum Vergleiche sind zwei [Richter] erforderlich. Der Vergleich hat mehr Rechtskraft als die Entscheidung, denn wenn zwei eine Entscheidung getroffen haben, so können die Parteien zurücktreten, wenn aber zwei einen Vergleich getroffen haben, so können die Parteien nicht mehr zurücktreten. 
Sanhedrin 6a:1	Wolltest du erwidern, die Rabbanan streiten gegen R. Šimo͑n b. Gamliél, so sagte ja R. Abahu, wenn zwei Recht gesprochen haben, sei ihr Urteil nach aller Ansicht ungültig!? – Du weisest auf einen Widerspruch zwischen zwei Personen hin!?
Sanhedrin 6a:2	Der Text. R. Abahu sagte: Wenn zwei in Geldangelegenheiten Recht gesprochen haben, so ist ihr Urteil nach aller Ansicht ungültig. R. Abba wandte gegen R. Abahu ein: Wenn er eine Entscheidung getroffen und dem Schuldigen Recht und dem Unschuldigen Unrecht gegeben hat, oder das Reine als unrein und das Unreine als rein erklärt hat, so ist seine Entscheidung gültig und er muß aus seiner Tasche bezahlen!? – 
Sanhedrin 6a:3	Hier handelt es sich um den Fall, wenn sie sich auf ihn verlassen hahen. – Weshalb muß er demnach aus seiner Tasche bezahlen!? – Sie können zu ihm sagen: du solltest uns eine Entscheidung nach der Tora treffen. 
Sanhedrin 6a:4	R. Saphra sprach zu R. Abba: Worin soll er sich geirrt haben: wollte man sagen, in einer Lehre, so sagte ja R. Šešeth im Namen R. Amis, wer sich in einer Lehre geirrt hat, widerrufe die Entscheidung!? – Nein, wenn er sich in der Erwägung geirrt hat. – 
Sanhedrin 6a:5	Was heißt: in der Erwägung? R. Papa erwiderte. Wenn zum Beispiel zwei Tannaím oder zwei Amoraím darüber streiten und die Halakha weder wie der eine noch wie der andere gelehrt wurde, jedoch ein Brauch$fn116nach der einen Ansicht besteht, und er nach der anderen Ansicht entschieden hat; das heißt: in der Erwägung.
Sanhedrin 6a:6	Es ist anzunehmen, daß hierüber$fn117Tannaím streiten: Zum Vergleiche sind drei [Richter erforderlich] – so R. Meír; die Weisen sagen, einer. Sie$fn118glaubten, nach aller Ansicht sei der Vergleich mit der Entscheidung zu vergleichen, 
Sanhedrin 6a:7	somit besteht ihr Streit wahrscheinlich in folgendem: nach der einen Ansicht sind zur Entscheidung drei [Richter erforderlich], und nach der anderen Ansicht sind zur Entscheidung zwei erforderlich. – Nein, alle sind der Ansicht, zur Entscheidung seien drei erforderlich, und ihr Streit besteht in folgendem: nach der einen Ansicht vergleiche man den Vergleich mit der Entscheidung, und nach der anderen Ansicht vergleiche man den Vergleich nicht mit der Entscheidung. 
Sanhedrin 6a:8	Drei Autoren$fn119 streiten demnach über den Vergleich. Einer ist der Ansicht, drei; einer ist der Ansicht, zwei; und einer ist der Ansicht, einer. R. Aḥa, Sohn des R. Iqa, nach anderen R. Jemar b. Šelemja entgegnete: Nach demjenigen, der ‘zwei’ sagt, ist auch einer zulässig, und nur deshalb sagt er ‘zwei’, damit er Zeugen habe. 
Sanhedrin 6a:9	R. Aši sagte: Hieraus ist zu entnehmen, daß beim Vergleiche keine Zueignung erforderlich ist, denn wozu sind, wenn man sagen wollte, dabei sei eine Zueignung erforderlich, nach demjenigen, welcher sagt, es seien drei erforderlich, diese nötig, wenn eine Zueignung erfolgt, sollten ja zwei genügen!? Die Halakha ist, beim Vergleiche ist eine Zueignung erforderlich.
Sanhedrin 6a:10	Die Rabbanan lehrten: Wie die Entscheidung durch drei [Richter] erfolgt, so erfolgt auch der Vergleich durch drei; 
Sanhedrin 6b:1	wurde die Verhandlung geschlossen, so darf kein Vergleich mehr vorgeschlagen werden.
Sanhedrin 6b:2	R. Elie͑zer, Sohn R. Jose des Galiläers, sagte: Man darf keinen Vergleich vorschlagen; wer einen Vergleich vorschlägt, ist ein Sünder, undwer den Vergleichenden preist, ist ein Lästerer. Hierüber heißt es:$fn121<i>wer raubt</i>$fn122<i>und preist, lästert den Herrn</i>; 
Sanhedrin 6b:3	vielmehr muß das Recht den Berg durchbohren, denn es heißt:$fn123<i>denn das Gericht ist Gottes</i>. Ebenso sagte auch Moše, das Recht durchbohre den Berg; Ahron aber liebte den Frieden, jagte nach Frieden und stiftete Frieden zwischen den Menschen, wie es heißt:$fn124<i>Wahrhaftige Weisung war in seinem Munde, und kein Falsch auf seinen Lippen zu finden; in Frieden und Geradheit wandelte er nach mir und hielt viele vor Sünden zurück</i>. 
Sanhedrin 6b:4	R. Elie͑zer erklärte: Wieso kann jemand, der eine Seá Weizen geraubt, gemalilen, gebacken und davon die Teighebe abgesondert hat, dann den Segen sprechen, er spricht ja keinen Segen, sondern eine Lästerung; über diesen heißt es: <i>wer raubt und preist, lästert den Herrn</i>. 
Sanhedrin 6b:5	R. Meír erklärte: [Das Wort] <i>boçea͑ [raubt]</i> deutet auf Jehuda, denn es heißt:$fn125<i>da sprach Jehuda zu seinen Brüdern: Welchen Gewinn [beça͑] haben wir, wenn wir unseren Bruder erschlagen</i>; wer Jehuda preist, der lästert$fn126[Gott], und über ihn heißt es: <i>wer raubt und preist, lästert den Herrn</i>. 
Sanhedrin 6b:6	R. Jehošua͑ b. Qorḥa sagte, es sei Gebot, einen Vergleich anzustreben, denn es heißt:$fn127<i>mit Wahrheit, Recht und Frieden richtet in euren Toren</i>; wo Recht, ist ja kein Frieden, und wo Frieden, ist ja kein Recht! Wo sind Frieden und Recht beisammen? Beim Vergleiche. 
Sanhedrin 6b:7	Desgleichen heißt es von David:$fn128<i>und David übte Recht und Mildtätigkeit</i>; wo Recht, ist ja keine Mildtätigkeit, und wo Mildtätigkeit, ist ja kein Recht! Wo sind nun Recht und Mildtätigkeit beisammen? Beim Vergleiche. 
Sanhedrin 6b:8	Folgende Auslegung nach dem ersten$fn129Tanna: Hat er seine Entscheidung getroffen, dem Unschuldigen Recht gegeben und dem Schuldigen Unrecht gegeben, und wenn er sieht, daß der Arme zur Zahlung verurteilt wurde, die Zahlung aus seiner Tasche leistet, so ist dies Recht und Mildtätigkeit, 
Sanhedrin 6b:9	Recht für den einen und Mildtätigkeit für den anderen: Recht für den einen, indem er ihm zu seinem Gelde verholfen hat, Mildtätigkeit für den anderen, indem er für ihn aus seiner Tasche bezahlt hat. Desgleichen heißt es von David: <i>und David übte Recht und Mildtätigkeit für sein ganzes Volk</i>; Recht für den einen, indem er ihm zu seinem Gelde verhalf, Mildtätigkeit für den anderen, indem er für ihn aus seiner Tasche bezahlte. 
Sanhedrin 6b:10	Rabbi wandte ein: Wieso für sein ganzes Volk, es sollte ja heißen: für die Armen!? Vielmehr, erklärte Rabbi, heißt es ‘Recht und Mildtätigkeit’, auch wenn er nicht aus seiner Tasche bezahlt, Recht für den einen und Mildtätigkeit für den anderen: Recht für den einen, indem er ihm zu seinem Gelde verholfen hat, Mildtätigkeit für den anderen, indem er Raub aus seiner Hand entfernt hat.
Sanhedrin 6b:11	R. Šimo͑n b. Menasja sagte: Wenn zwei vor dir zu Gericht ersclieinen und du ihre Worte noch nicht gehört hast, oder wenn du sie auch gehört hast, jedoch nicht weißt, wer Recht hat, so darfst du zu ihnen sagen: geht und vergleicht euch, wenn du aber ihre Worte gehört hast und weißt, wer Recht hat, so darfst du zu ihnen nicht mehr sagen: geht und vergleicht euch, denn es heißt:$fn130<i>wie wenn man Wasser entfesselt, beginnt der Zank, bevor er losbricht, gib den Streit auf</i>; bevor der Streit losbricht, kannst du ihn aufgeben, ist er losgebrochen, so kannst du ihn nicht mehr aufgeben. 
Sanhedrin 6b:12	Reš Laqiš sagte: Wenn zwei [vor dir] zu Gericht erscheinen, der eine sanft und der andere heftig, und du ihre Worte nicht gehört hast, oder wenn du sie auch gehört hast, jedoch nicht weißt, wer Recht hat, so darfst du zu ihnen sagen: ich stehe nicht zu eurer Verfügung, denn der Heftige könnte Unrecht kriegen und den anderen verfolgen, sobald du aber ihre Worte gehört hast und weißt, wer Recht hat, darfst du zu ihnen nicht mehr sagen: ich stehe nicht zu eurer Verfügung, denn es heißt:$fn131<i>scheuet euch vor niemand</i>.
Sanhedrin 6b:13	R. Jehošua͑ b. Qorḥa sagte: Woher, daß, wenn ein Schüler vor seinem Lehrer sitzt$fn132und etwas zu Gunsten des Armen und zu Ungunsten des Reichen vorzubringen hat, er es nicht verschweigen darf? Es heißt: <i>scheuet euch vor niemand</i>, und R. Ḥanin erklärte: Halte$fn133deine Worte vor niemand zurück. Die Zeugen müssen wissen, über wen sie Zeugnis ablegen, vor wem sie Zeugnis ablegen, und wer sie dereinst zur Rechenschaft ziehen wird, denn es heißt:$fn134<i>so sollen sich die beiden Männer, die den Streit haben, vor den Herrn stellen</i>. 
Sanhedrin 6b:14	Die Richter müssen wissen, wen sie richten, vor wem sie richten und wer sie dereinst zur Rechenschaft ziehen wird, denn es heißt:$fn135<i>Gott steht in der Gottesversammlung</i>. Desgleichen heißt es bei Jehošaphat:$fn136<i>und er sprach zu den Richtern: Seht zu, was ihr tut, denn ihr richtet nicht vor Menschen, sondern vor Gott</i>. Vielleicht sagt der Richter: was soll mir diese Plage, so heißt es:$fn136<i>er ist hei euch beim Rechtsprechen</i>; der Richter richte sich nur danach, was seine Augen sehen. – 
Sanhedrin 6b:15	Wann erfolgt der Schluß der Verhandlung? R. Jehuda erwiderte im Namen Rabhs: [Sobald der Richter spricht:] du N. hast Unrecht und du N. hast Recht. Rabh sagte: Die Halakha ist wie R. Jehošua͑ b. Qorḥa. – Dem ist ja aber nicht so, R. Hona war ein Schüler Rabhs, und wenn man zu R. Hona zu Gericht kam, pflegte er zu fragen: Wollt ihr eine gerichtliche Entscheidung oder wollt ihr einen Vergleich!? – Unter ‘Gebot’, von dem R. Jehošua͑ b. Qorḥa spricht, ist zu verstehen, 
Sanhedrin 7a:1	es sei Gebot, sie zu fragen: Wollt ihr eine gerichtliche Entscheidung oder wollt ihr einen Vergleich? – Das ist ja die Ansicht des ersten$fn137Autors!? – Sie streiten darüber, ob dies$fn138Gebot sei; R. Jehošua͑ b. Qorḥa ist der Ansicht, dies sei Gebot, und der erste Autor ist der Ansicht, dies sei nur freigestellt. – 
Sanhedrin 7a:2	Das ist ja die Ansicht des R. Šimo͑n b. Menasja$fn139!? – Sie streiten über [den Passus:] ‘wenn du ihre Worte gehört hast und weißt, wer Recht hat, so darfst du zu ihnen nicht mehr sagen: geht und vergleicht$fn140euch’. 
Sanhedrin 7a:3	Er streitet somit gegen R. Tanḥum b. Ḥanilaj, denn R. Tanḥum b. Ḥanilaj sagte, dieser Schriftvers beziehe sich auf das Ereignis mit dem [goldenen] Kalbe, denn es heißt: $fn141<i>da sah Ahron und baute vor ihm einen Altar</i>$fn142. – Was sah er? R. Binjamin b. Jephet erwiderte im Namen R. Elea͑zars: Er sah Hur vor sich hingeschlachtet liegen; 
Sanhedrin 7a:4	da sagte er: Wenn ich ihnen jetzt nicht gehorche, so verfahren sie mit mir, wie sie mit Hur verfahren haben, sodann würde durch mich in Erfüllung gehen [der Schriftvers:]$fn143<i>wenn im Heiligtume des Herrn Priester und Prophet ermordet wird</i>, und für sie würde es keine Gutmachung mehr geben. Lieber mögen sie daher das Kalb anbeten, und möglicherweise erlangen sie eine Gutmachung durch Buße. – 
Sanhedrin 7a:5	Wofür verwenden jene Tannaím$fn144den Schriftvers: <i>wie wenn man Wasser entfesselt, beginnt der Zank</i>!? – Für eine Lehre R. Hamnunas, denn R. Hamnuna sagte: Das Gericht über den Menschen beginnt mit [der Vernachlässigung des] Torastudiums, denn es heißt: <i>wie wenn man Wasser</i>$fn145<i> entfesselt, beginnt der Zank</i>. R. Hona sagte: Der Streit gleicht einem Wasserstrome, der sich allmälig erweitert. 
Sanhedrin 7a:6	Abajje der Ältere sagte: Er gleicht den Stegbrettern, sobald man sie hinlegt, verbleiben sie da$fn146.
Sanhedrin 7a:7	
Sanhedrin 7a:8	Einst sagte jemand: Heil dem, der [Schmähungen] hört und schweigt, hundert Übel gehen an ihm vorüber. Da sprach Šemuél zu R. Jehuda: Dies befindet sich in der Schrift: <i>wie wenn man Wasser entfesselt, beginnt der Zank</i>: Beginn von hundert Übeln$fn147.
Sanhedrin 7a:9	Einst sagte jemand: Wegen zweimal oder dreimal wird ein Dieb nicht hingerichtet. Da sprach Šemuél zu R. Jehuda: Dies befindet sich in der Schrift:$fn148<i>So spricht der Herr: Wegen der drei Sünden Jisraéls, wegen der vier will ich es nicht mehr rückgängig machen</i>.
Sanhedrin 7a:10	Einst sagte jemand: Sieben Gruben für den Tugendhaften$fn149, eine für den Übeltäter. Da sprach Šemuél zu R. Jehuda: Dies befindet sich in der Schrift:$fn150<i>Siebenmal fällt der Fromme und steht wieder auf, der Gottlose aber stürzt mit einem Male</i>.
Sanhedrin 7a:11	Einst sagte jemand: Wem vom Gerichte das Gewand abgenommen wird, singe ein Lied$fn151und gehe seines Weges. Da sprach Šemuél zu R. Jehuda: Dies befindet sich in der Schrift:$fn152<i>Und auch das ganze Volk wird befriedigt zu seiner Behausung zurückkehren</i>.
Sanhedrin 7a:12	Einst sagte jemand: Wenn sie schlummert, sinkt der Korb$fn153. Da sprach Šemuél zu R. Jehuda: Dies befindet sich in der Schrift:$fn154<i>Durch Faulheit senkt sich das Gebälk &amp;c</i>.
