Menachot 2a:1	<sup>i</sup> <b>J</b>EDES S<small>PEISOPFER, VON DEM DER</small> H<small>AUFE AUF EINEN ANDEREN</small> N<small>AMEN</small>$fn1<small>ABGEHOBEN WORDEN IST, IST TAUGLICH</small>$fn2, <small>NUR WIRD ES DEM</small> E<small>IGENTÜMER NICHT ALS</small> P<small>FLICHTOPFER ANGERECHNET, AUSGENOMMEN SIND DAS</small> S<small>ÜND</small>-S<small>PEISOPFER</small>$fn3 <small>UND DAS</small> E<small>IFERSUCHTS</small>-S<small>PEISOPFER</small>$fn4. 
Menachot 5a:2	Man wandte ein: Ist das Schuldopfer des Aussätzigen auf einen anderen Namen geschlachtet worden, oder ist von seinem Blute nicht auf die Daumen$fn127gesprengt worden, so kommt es auf den Altar und benötigt$fn128des Gußopfers, jedoch benötigt er zur Geeignetmachung eines anderen Schuldopfers!? – Eine Widerlegung.
Menachot 5a:3	R. Šimo͑n b. Laqiš aber sagte: Ist vom Speisopfer der Schwingegarbe der Haufe auf einen anderen Namen abgehoben worden, so ist es tauglich, das Zurückbleibende aber darf erst dann gegessen$fn129werden, wenn ein anderes Speisopfer dargebracht wird und es erlaubt macht. – 
Menachot 5a:4	Wieso$fn130darf es, wenn das Zurückbleibende nicht gegessen werden darf, dargebracht werden, [es heißt ja:]$fn131<i>von den Getränken Jisrae͑ls</i>, von dem, was Jisraéliten erlaubt$fn132ist!? 
Menachot 5a:5	R. Ada b. Ahaba erwiderte: Reš Laqiš ist der Ansicht, am selben Tage gebe es kein Fehlen$fn133der Frist. 
Menachot 5a:6	R. Ada, Sohn des R. Jiçḥaq, wandte ein: Es gibt manches beim Geflügel, was nicht beim Speisopfer und es gibt manches beim Speisopfer, was nicht beim Geflügel. Es gibt manches beim Geflügel, denn das Geflügel kann von zweien als Spende gebracht werden, (von den Speisopfern aber heißt es:$fn134<i>jemand</i>,) 
Menachot 5a:7	sie werden von Personen, die noch der Sühne benötigen, (nämlich männlichen oder weiblichen Flußbehafteten, einer Wöchnerin und einem Aussätzigen)$fn135dargebracht, 
Menachot 5a:8	und sie sind als Opfer dem Verbote$fn136enthoben, was beim Speisopfer nicht der Fall ist. 
Menachot 5a:9	Es gibt manches beim Speisopfer, denn die Speisopfer benötigen des Gefäßes$fn137, des Schwingens, des Heranbringens$fn138und sie werden sowohl von einer Gemeinde als auch von einem einzelnen dargebracht, was aber beim Geflügel nicht der Fall ist. 
Menachot 5a:10	Wenn dem$fn139nun so wäre, so kommt es ja auch beim Speisopfer vor, daß es als Opfer dem Verbote enthoben ist, nämlich beim Speisopfer der Schwingegarbe$fn140!? – 
Menachot 5a:11	Da es am selben Tage kein Fehlen der Frist gibt, so besteht überhaupt kein Verbot. 
Menachot 5a:12	R. Šešeth wandte ein: Hat er$fn141das Öl vor dem Blute aufgetragen, so fülle er es$fn142mit Öl und trage das Öl wiederum nach dem Blute auf; wenn die Besprengung der Daumen vor den sieben$fn143Sprengungen, so fülle er es mit Öl und wiederhole die Besprengung der Daumen nach den sieben Sprengungen. 
Menachot 5a:13	Wozu braucht er, wenn man sagen wollte, am selben Tage gebe es kein Fehlen der Frist, die Besprengung zu wiederholen, was geschehen, ist ja$fn144gesehenen!? 
Menachot 5a:14	R. Papa erwiderte: Anders verhält es sich bei den Vorschriften inbetreff des Aussätzigen, wobei [der Ausdruck] ‘sein’ gebraucht wird; die Schrift sagt: $fn145<i>dies sei das Gesetz inbetreff des Aussätzigen</i>, es muß beim sein$fn146verbleiben. 
Menachot 5a:15	R. Papa wandte ein: Hat er das Sündopfer vor dem Schuldopfer$fn147 [geschlachtet], so darf nicht jemand das Blut$fn148umrühren, vielmehr lasse man es verderben$fn149und es komme in den Verbrennungsraum$fn150!? – 
Menachot 5a:16	Wieso erhebt R. Papa diesen Einwand, er selbst erklärte ja, bei den Vorschriften inbetreff des Aussätzigen verhalte es sich anders, weil dabei [der Ausdruck] ‘sein’ gebraucht wird!? – Vielmehr, R. Papa wendet folgendes ein: vielleicht gilt dies$fn151nur von einem Dienste$fn152, während das Schlachten$fn153nicht als Dienst gilt; wenn man nun sagen wollte, am selben Tage gebe es kein Fehlen der Frist, so sollte doch, während jemand das Blut$fn154umrührt, das Schuldopfer geschlachtet und nachher das Sündopfer dargebracht werden!? 
Menachot 5a:17	Vielmehr, erklärte R. Papa, ist folgendes der Grund des Reš Laqiš: er ist der Ansicht, das Erscheinen der Morgenröte$fn155mache es erlaubt. R. Joḥanan und Reš Laqiš sagen nämlich beide, selbst zur Zeit, wenn der Tempel besteht, 
Menachot 5b:1	mache das Erscheinen der Morgenröte es erlaubt. 
Menachot 5b:2	Das, was Reš Laqiš gesagt hat, ist nicht ausdrücklich gelehrt, sondern aus einem Schlusse gefolgert worden. Wir haben gelernt: Man bringe$fn156keine Speisopfer, Erstlinge und Speisopfer zum Viehopfer vor der Schwingegarbe, denn [es heißt:] <i>von den Getränken Jisraéls</i>$fn157, hat man sie gebracht, so sind sie untauglich; 
Menachot 5b:3	ferner darf man sie nicht vor den zwei Broten$fn158bringen, weil sie Erstlinge genannt$fn159werden, hat man sie gebracht, so sind sie tauglich. 
Menachot 5b:4	Hierzu$fn160sagte R. Jiçḥaq im Namen des Reš Laqiš: Dies gilt nur vom vierzehnten$fn161und vom fünfzehnten, hat man sie aber am sechzehnten gebracht, so sind sie tauglich. Demnach ist er der Ansicht, das Erscheinen der Morgenröte mache es erlaubt.
Menachot 5b:5	Raba aber sagte: Ist vom Speisopfer der Schwingegarbe der Haufe auf einen anderen Namen abgehoben worden, so ist es tauglich, das Zurückbleibende darf gegessen werden und es benötigt keines anderen Speisopfers zur Erlaubtmachung. Die Absicht ist nämlich von Wirkung nur bei dem, der für den Dienst tauglich ist, bei einer Sache, die für den Dienst tauglich ist, und an einer Stelle, die für den Dienst tauglich ist. 
Menachot 5b:6	Bei dem, der für den Dienst tauglich ist, dies schließt einen gebrechenbehafteten Priester aus; bei einer Sache, die für den Dienst tauglich ist, dies schließt das Speisopfer der Schwingegarbe aus, das untauglich ist, da es von neuem [Getreide]$fn162dargebracht$fn163wird; an einer Stelle, die für den Dienst geeignet ist, dies schließt den Fall aus, wenn der Altar beschädigt$fn164ist.
Menachot 5b:7	Die Rabbanan lehrten: Es heißt unten:$fn165<i>von den Rindern</i>, und da dies überflüssig ist, so schließt es das Totverletzte$fn166aus. 
Menachot 5b:8	Dies ist durch einen Schluß zu folgern: wenn das Fehlerbehaftete, das einem Gemeinen erlaubt ist, für Gott$fn167verboten ist, um wieviel mehr ist das Totverletzte, das einem Gemeinen verboten ist, für Gott verboten!? Talg und Blut beweisen [das Entgegengesetzte]: sie sind einem Gemeinen verboten, für Gott aber erlaubt. 
Menachot 5b:9	Wohl gilt dies von Talg und Blut, weil sie von Erlaubtem$fn168herrühren, während das Totverletzte vollständig verboten ist, es sollte daher auch für Gott nicht erlaubt sein!? 
Menachot 5b:10	Das Kopfabkneifen$fn169beweist [das Entgegengesetzte]: es ist einem Gemeinen vollständig verboten, und dennoch für Gott erlaubt. 
Menachot 5b:11	Wohl gilt dies vom Kopfabkneifen, weil [das Tier] dadurch heilig wird, denn erst wenn es für den Altar heilig ist, beim Kopfabkneifen, wird es einem Gemeinen verboten, während es vorher nicht verboten war, was aber beim als Totverletztes Verbotenen nicht der Fall$fn170ist!? 
Menachot 5b:12	Wenn du dagegen einwendest, so heißt es unten: <i>von den Rindern</i>, und da dies überflüssig ist, so schließt es das Totverletzte aus. – 
Menachot 5b:13	Was heißt: wenn du dagegen$fn171einwendest? 
Menachot 5b:14	Rabh erwiderte: Man könnte$fn172entgegnen, das Speisopfer der Schwingegarbe beweise [das Entgegengesetzte]: es ist einem Gemeinen verboten, für Gott aber erlaubt. – Wohl gilt dies vom Speisopfer der Schwingegarbe, weil es das neue [Getreide] erlaubt$fn173macht!? – 
Menachot 5b:15	Im Siebentjahre$fn174. – Auch im Siebentjahre macht es ja den Nachwuchs erlaubt!? – Nach R. A͑qiba, welcher sagt, der Nachwuchs sei im Siebentjahre$fn175verboten. 
Menachot 5b:16	R. Aḥa b. Abba sprach zu R. Aši: Auch nach R. A͑qiba ist ja zu entgegnen: wohl gilt dies vom Speisopfer der Schwingegarbe, weil es das neue [Getreide] außerhalb des Landes$fn176erlaubt macht!? 
Menachot 5b:17	Und selbst nach demjenigen, welcher sagt, außerhalb des Landes sei das neue [Getreide] nicht nach der Tora [verboten, ist zu erwidern:] weil es das darin enthaltene Verbot aufhebt$fn177!? 
Menachot 5b:18	R. Aḥa aus Diphte sprach zu Rabina: Demnach sollte auch das Totverletzte dargebracht werden und das darin enthaltene Verbot aufheben$fn178!? – Vielmehr erwidere man wie folgt: wohl gilt dies vom Speisopfer der Schwingegarbe, weil das Gebot auf diese Weise$fn179zu erfolgen hat. 
Menachot 5b:19	Reš Laqiš erklärte: Man könnte entgegnen, vom Zubereiter des Räucherwerkes sei [das Entgegengesetzte] zu beweisen: es ist einem Gemeinen verboten, für Gott aber erlaubt. – Der Zubereiter ist ja ein Mensch!? – 
Menachot 5b:20	Vielmehr, von der Zubereitung des Räucherwerkes ist [das Entgegengesetzte] zu beweisen: es ist einem Gemeinen verboten, für Gott aber erlaubt. – Wohl gilt dies von der Zubereitung des Räucherwerkes, weil das Gebot auf diese Weise zu erfolgen hat!? 
Menachot 5b:21	Mar, der Sohn Rabinas, erklärte: Man könnte entgegnen, vom Šabbath sei [das Entgegengesetzte] zu beweisen: an diesem ist es$fn180für einen Gemeinen verboten, für Gott aber erlaubt. – 
Menachot 5b:22	Wohl gilt dies vom Šabbath, weil an diesem aus der Allgemeinheit heraus die Beschneidung auch einem Gemeinen erlaubt ist!? – 
Menachot 5b:23	Die Beschneidung ist nicht Bedürfnis des Gemeinen, sie ist vielmehr ein Gebot. – Vielmehr, wohl gilt dies vom Šabbath, weil das Gebot auf diese Weise$fn181erfolgt!? 
Menachot 5b:24	R. Ada b. Abba erklärte: Man könnte entgegnen, vom Mischgewebe sei [das Entgegengesetzte] zu beweisen: es ist einem Gemeinen verboten, für Gott aber erlaubt$fn182. – 
Menachot 5b:25	Wohl gilt dies vom Mischgewebe, weil es bei den Çiçith$fn183auch einem Gemeinen erlaubt ist!? – Die Çiçith sind ja nicht Bedürfnis des Gemeinen, sie sind ein Gebot. – Vielmehr, 
Menachot 6a:1	wohl gilt dies vom Mischgewebe, weil das Gebot auf diese Weise zu erfolgen$fn184hat. 
Menachot 6a:2	R. Šiša, Sohn des R. Idi, erklärte: Man könnte mit einem anderen Schlüsse entgegnen und aus beiden deduzieren. [Entgegnet man:] wohl gilt dies vom Kopfabkneifen, weil [das Tier] bei der Heiligung verboten wird, so ist von Talg und Blut [das Entgegengesetzte] zu beweisen; 
Menachot 6a:3	[erwidert man:] wohl gilt dies von Talg und Blut, weil sie von Erlaubtem herrühren, so ist vom Kopfabkneifen [das Entgegengesetzte] zu beweisen. 
Menachot 6a:4	Die Replikation wiederholt sich nun: die Eigenheit des einen gleicht nicht der Eigenheit des anderen und die Eigenheit des anderen gleicht nicht der Eigenheit des einen; das Gemeinsame bei ihnen ist, daß sie einem Gemeinen verboten und für Gott erlaubt sind, somit ist auch das Totverletzte einzuschließen, wenn es auch für einen Gemeinen verboten ist, so ist es dennoch für Gott erlaubt. – Das Gemeinsame bei ihnen ist ja aber, daß das Gebot auf diese Weise erfolgt!? 
Menachot 6a:5	Vielmehr, erklärte R. Aši, man könnte erwidern: der Schluß geht ja vom Fehlerbehafteten aus, 
Menachot 6a:6	[und es ist zu entgegnen:] wohl gilt dies$fn185vom Fehlerbehafteten, weil diesbezüglich der Darbringende dem Dargebrachten$fn186gleicht. 
Menachot 6a:7	R. Aḥa der Greis sprach zu R. Aši: Von der Seitengeburt ist ja [das Entgegengesetzte] zu beweisen: dabei gleicht der Darbringende dem Dargebrachten nicht, dennoch ist es für einen Gemeinen erlaubt, für Gott aber verboten. 
Menachot 6a:8	[Entgegnet man:] wohl gilt dies von der Seitengeburt, weil sie als Erstgeborenes nicht heilig ist, so ist vom Fehlerbehafteten [das Entgegengesetzte] zu beweisen; 
Menachot 6a:9	[erwidert man:] wohl gilt dies vom Fehlerbehafteten, weil dabei der Opfernde dem Geopferten gleicht, so ist von der Seitengeburt [das Entgegengesetzte] zu beweisen. 
Menachot 6a:10	Die Replikation wiederholt sich nun: die Eigenheit des einen gleicht nicht der Eigenheit des anderen und die Eigenheit des anderen gleicht nicht der Eigenheit des einen; das Gemeinsame bei ihnen ist, daß sie für einen Gemeinen erlaubt und für Gott verboten sind, somit gilt dies auch vom Totverletzten, wenn es für einen Gemeinen verboten ist, so ist es um so mehr für Gott verboten. – 
Menachot 6a:11	Das Gemeinsame bei ihnen ist ja aber, daß sie aus der Allgemeinheit heraus nicht erlaubt worden sind, während das Totverletzte aus der Allgemeinheit heraus erlaubt worden ist!? 
Menachot 6a:12	R. Aḥa, der Sohn Rabas, sprach zu R. Aši: In welchem Falle ist das Totverletzte aus der Allgemeinheit heraus erlaubt worden: wollte man sagen, beim Kopfabkneifen eines Geflügelbrandopfers$fn187für Gott, so ist ja beim Geflügel auch das Fehlerbehaftete erlaubt, denn Fehlerlosigkeit und Männlichkeit ist nur beim Vieh, nicht aber beim Geflügel erforderlich; 
Menachot 6a:13	und wollte man sagen, beim Kopfabkneifen des Geflügel-Sündopfers für die Priester, so erhalten es ja die Priester vom Tische des Höchsten$fn188. – 
Menachot 6a:14	Vielmehr entgegne man folgendes: das Gemeinsame bei ihnen ist, daß ihr Fehler kenntlich ist, während beim Totverletzten der Fehler nicht kenntlich ist. Deshalb$fn189ist der Schriftvers nötig. – 
Menachot 6a:15	Ist es$fn190denn hinsichtlich des Totverletzten hieraus zu entnehmen, dies ist ja aus folgendem zu entnehmen:$fn191<i>von den Getränken Jisraéls</i>, von dem, was Jisraéliten$fn192erlaubt ist!? 
Menachot 6a:16	Auch geht es hervor aus:$fn193<i>alles, was unter dem Stabe durchgeht</i>, ausgenommen ist das Totverletzte, das nicht durchgeht!? – 
Menachot 6a:17	Sie$fn194sind nötig. Wenn nur [der Vers:] <i>von den Getränken Jisraéls</i>, so könnte man glauben, dies schließe nur den Fall aus, wenn es niemals tauglich$fn195war, gleich dem Ungeweihten und der Mischfrucht (des Weinberges), wenn es aber tauglich war, sei es gültig; daher schrieb der Allbarmherzige auch: <i>alles, was durchgeht</i>. 
Menachot 6a:18	Und würde der Allbarmherzige nur geschrieben haben: <i>alles, was durchgeht</i>, so könnte man glauben, dies schließe nur den Fall aus, wenn es vorher totverletzt war und nachher geweiht worden ist, wie beim Zehnten$fn196, wenn es aber vorher geweiht und nachher totverletzt worden ist, sei es tauglich, da es zur Zeit der Weihung tauglich war; daher schrieb der Allbarmherzige auch: <i>von den Rindern</i>. Daher sind alle nötig.
Menachot 6a:19	<sup>ii,1</sup> <b>S</b><small>OWOHL EIN</small> S<small>ÜND</small>-S<small>PEISOPFER, ALS AUCH JEDES ANDERE</small> O<small>PFER, HAT EIN</small> G<small>EMEINER, EIN</small> T<small>RAUERNDER, DER AM SELBEN</small> T<small>AGE EIN</small> T<small>AUCHBAD GENOMMEN</small>$fn197<small>HAT, DER DIE</small> A<small>MTSKLEIDER</small>$fn198<small>NICHT ANHAT, DEM DIE</small> S<small>ÜHNE</small>$fn199<small>NOCH FEHLT, DER</small> H<small>ÄNDE UND</small> F<small>ÜSSE NICHT GEWASCHEN</small>$fn200<small>HAT, EIN</small> U<small>NBESCHNITTENER, EIN</small> U<small>NREINER, EIN</small> S<small>ITZENDER, EIN AUF EINEM</small> G<small>EFÄSSE, EINEXM</small> T<small>IERE ODER DEN</small> F<small>ÜSSEN SEINES</small> N<small>ÄCHSTEN</small>$fn201S<small>TEHENDER DAVON DEN</small> H<small>AUFEN ABGEHOBEN, SO IST ES UNTAUGLICH</small>. 
Menachot 6a:20	H<small>AT MAN IHN MIT DER LINKEN</small> [H<small>AND</small>] <small>ABGEHOBEN, SO IST ES UNTAUGLICH</small>; B<small>EN</small> B<small>ETHERA SAGT, MAN TUE IHN ZURÜCK HINEIN UND HEBE IHN WIEDERUM MIT DER RECHTEN AB</small>. 
Menachot 6a:21	W<small>ENN MAN IHN ABGEHOBEN UND IHM EIN</small> S<small>TEINCHEN, EIN</small> S<small>ALZKORN ODER EIN</small> S<small>TÜCK</small> W<small>EIHRAUCH MIT IN DIE</small> H<small>AND GEKOMMEN IST, SO IST ER UNTAUGLICH, DENN SIE SAGTEN, DER ÜBERVOLLE UND DER UNVOLLSTÄNDIGE</small> H<small>AUFE</small>$fn202<small>SEI UNTAUGLICH</small>. W<small>AS HEISST ÜBERVOLL</small>? W<small>ENN MAN IHN GESTROTZT</small>$fn203<small>ABHEBT</small>. U<small>NVOLLSTÄNDIG</small>? W<small>ENN MAN IHN MIT DEN</small> F<small>INGERSPITZEN ABHEBT</small>$fn204.
Menachot 6a:22	GEMARA. Wozu heißt es: sowohl ein Sünd-Speisopfer oder auch jedes andere Speisopfer, sollte er doch lehren: alle Speisopfer, von denen ein Gemeiner oder ein Fremder den Haufen abgehoben hat!? – 
Menachot 6a:23	Dies ist nach R. Šimo͑n nötig, denn es wird gelehrt: R. Šimo͑n sagte: Eigentlich sollte das Sünd-Speisopfer des Öls und des Weihrauchs benötigen, damit der Sünder keinen Gewinn$fn205erziele, nur benötigt es dieser deshalb nicht, damit sein Opfer nicht üppig sei. Eigentlich sollte das Sündopfer wegen Talg-[genusses]$fn206des Gußopfers benötigen, damit der Sünder keinen Gewinn$fn205erziele, 
Menachot 6b:1	nur benötigt es dessen deshalb nicht, damit sein Opfer nicht üppig sei. Man könnte nun glauben, dieses Opfer sei, da es nach R. Šimo͑n nicht üppig sein darf, tauglich, auch wenn Untaugliche den Haufen abgehoben haben, so lehrt er uns. – 
Menachot 6b:2	Demnach sollte er auch dort$fn207lehren: sowohl das Talg-Sündopfer als auch jedes andere Schlachtopfer, dessen Blut ein Gemeiner oder ein Trauernder aufgenommen hat, und sagen, dies sei nach R. Šimo͑n nötig!? 
Menachot 6b:3	Man muß also erklären, wenn es ‘jedes’ heißt und nicht ‘außer’ folgt, sei alles einbegriffen, ebenso ist auch hierbei, da es ‘jedes’ heißt und nicht ‘außer’ folgt, alles einbegriffen. – 
Menachot 6b:4	Dies ist nötig; da die vorangehende Lehre nicht die Ansicht R. Šimo͑ns$fn208vertritt, so könnte man glauben, auch diese vertrete nicht die Ansicht R. Šimo͑ns, so lehrt er uns.
Menachot 6b:5	Rabh sagte: Hat ein Gemeiner den Haufen abgehoben, so lege er ihn zurück hin. – Wir haben ja aber gelernt, [das Opfer] sei untauglich!? – Unter ‘untauglich’ ist zu verstehen, es sei solange untauglich, bis er [den Haufen] zurück hingetan hat. – 
Menachot 6b:6	Demnach ist dies ja dasselbe, was Ben Bethera sagt!? – Über den Fall, wenn der Haufe noch vorhanden ist, streiten die Rabbanan gegen Ben Bethera$fn209nicht, sie streiten nur über den Fall, wenn der Haufe nicht mehr vorhanden ist; die Rabbanan sind der Ansicht, man dürfe nicht anderes$fn210[Mehl] holen und es$fn211ergänzen, und Ben Bethera ist der Ansicht, man hole anderes und ergänze es. – 
Menachot 6b:7	Wieso sagt Ben Bethera demnach, man tue ihn zurück hinein und hebe ihn wiederum mit der rechten [Hand] ab, er sollte ja sagen, man hole anderes [Mehl] und ergänze es, und hebe ihn wiederum mit der rechten ab!? – 
Menachot 6b:8	Rabh sagte es nach der Ansicht Ben Betheras. – Dies ist ja selbstverständlich$fn212!? – Man könnte glauben, nach Ben Bethera sei es tauglich, wenn es mit der Linken erfolgt ist, nicht aber, wenn durch andere Untaugliche, so lehrt er uns. – 
