		comma separated			Halachic/Midrashic/Mahshava/Linguistic									For placed sources	For unplaceable Sources	For unplaceable Sources			
תרגום אונקלוס בראשית פרשת וירא פרק כב פסוק ב	Targum Onkelos Bereshit 22:2			binding of Yitzchak		Yitzchak	mountain	3	Moriah	2	yes	no	yes	Onkelos Genesis 22:2					
רש"י בראשית פרשת וירא פרק כב פסוק ב	Rashi Bereshit 22:2	Jerusalem, Moriah					incense	3	Moriah	3	yes	yes	yes	Rashi on Genesis 22:2, 3					
רשב"ם בראשית פרשת וירא פרק כב פסוק ב	Rashbam Bereshit 22:2	Moriah						3	Moriah	4	yes	no	yes	Rashbam on Genesis 22:2					
רמב"ן בראשית פרשת וירא פרק כב פסוק ב	Ramban Bereshit 22:2	Jerusalem, Moriah		Avraham in the land, creation of man, offering of Cain and Abel, offering of Noach, binding of Yitzchak		Avraham, Adam, Cain, Abel, Noach, Yitzchak	incense, mountain, altar, sacrifice	3	Moriah	5	yes	no	yes	Ramban on Genesis 22:2					
אלשיך על בראשית פרשת וירא פרק כב פסוק ב	Alshich Bereshit 22:2	Moriah					gate, sacrifice, kavana	3	Moriah	6	no	no	no	x	ארץ המוריה. והענין כי אינו דומה הקרבן הנעשה שם לנעשה במקום אחר, כי הלא הוא שם שער השמים מכוון כנגד בית המקדש של מעלה, והמקריב שם הוא כמקריב למעלה. וזה יאמר לך לך אל ארץ המוריה, כלומר אל מקום המורה שם יה, והוא כי ביה ה' צור עולמים, העולם הזה בה"א והעולם הבא ביו"ד. והנה היכן מתקשרים שתי אותיות אלו אם לא במקום המכוון כנגד העליון, כאילו הה"א של מטה והיו"ד של מעלה מתחברים שם, וזהו המוריה שהוא מקום המורה יה, שהם כאילו שם יה מתחבר שם:	The land of Moriah – The issue is, that an offering made there is in no way similar to an offering made elsewhere, because is that place not the gate of heaven, aligned with the Holy Temple above. One who makes an offering there is as one who makes an offering above. This is what the verse is saying ‘go to the land of Moriah,’ that is - to the place which teaches the name yah (yud hey), which is “…for in Yah the Lord, is the Rock of eternity (or with yud hey the Lord creates worlds)." (Isaiah 26:4) This world with a hey and the coming world with a yud. And where do these two letters connect if not in the place below which is aligned with that above? As if the hey below and the yud above are united there, and this is why it is call Moriah (teaches of yah), because it is as if the Divine name yud hey connects together there.	x		Alshich
כלי יקר בראשית פרשת וירא פרק כב פסוק ב	Kli Yakar Bereshit 22:2	Moriah, Yireh	Foundation stone, courtyard, Sanctuary, Holy Temple			The Holy One, Avraham, Shlomo	Altar, mountain, gate, ark, sacrifice	3	Moriah	7	yes	no	yes	Kli Yakar on Genesis 22:2, 1-2					
רש"ר הירש בראשית פרשת וירא פרק כב פסוק ב	Rav Shimshon Raphael Hirsch Bereshit 22:2	Moriah	palace	offering of Cain and Abel, offering of Noach		Cain, Abel, Noach, Avraham	Torah, sacrifice, blessing	3	Moriah	8	no	no	no	x	המריה. חז"ל מלמדים אותנו ששם זה מציין את המקום, שמשם "הוראה יצאה לעולם" (שם נה, ט). המלה "הוראה" אינה ממצה את כל משמעות המושג "תורה", משורש "הרה": לקלוט את גרגיר זרע החיים, ולכן בנין הפעיל: הולדה רוחנית. הווה אומר: מן המקום הזה יפוזרו גרעיני הזרע, אשר יולידו את בני האדם הולדה רוחנית מחודשת. מן המקום הזה האירה אל פני העולם גם אש הקרבנות הראשונים, קרבנו של קין שלא עלה לרצון, וקרבנו של הבל שנתקבל ברצון - ומכאן אזהרה והוראה לעולם. במקום הזה הביא גם נח את קרבנו, בשעה שנתחדשה לו ברכת הארץ, ובלבו שמץ מאותו "ניחוח" שעתיד לציין את התמסרותה השלמה של האנושות לה' (עי' בראשית רבה לד, ח). אחרי כל זה, הרי שבקביעת המקום הזה כבר נאמר לאברהם שמעשה זה תהיה לו משמעות לא רק לגבי עצמו, כי אם ממנו תצא הוראה ודוגמה עילאית לעתיד לבא. ממנו ילמדו משמעות המלה "הנני" הנאמרת תוך קיום מצות ה', וממנו ילמדו מהותם האמתית של "מצות ה'", "עבודת ה'", "היכל", "קרבן" - שכל אלה אין בהם משום "טקס", אלא הם דברים שבכובד - ראש הרציני ביותר. ילמדו גם מכאן, שהאומרים "הנני" ו"הבה נעבוד את ה'" - מבטלים מכל וכל את תבונת עצמם ורצון עצמם ומעמידים את כל כוחותיהם ללא הרהור תחת תבונת ה' ורצון ה'. מכאן שהשם "מוריה" היה בו משום מודעה לאברהם שמה שנדרש כאן ממנו יהיה בבחינת "הוראה" לעמו ולאנושות; ואם היה עוד צורך בחיזוק לבו המלא יראת ה', הרי תודעה זו סייעה בידו לקיים את המצוה שהוטלה עליו:	HaMoriah – Our Sages teach us that this name indicates the place from which instruction (hora’ah) goes out to the world (Bereshit Rabba 55:9). The word hora’ah does not exhaust all the potential meanings of the concept of Torah, which is from the three lettered root harah (conceive): to receive the tiny particle of the seed of life, therefore it is in the causative form: indicating spiritual birthing. That is to say – from this place were scattered all the seeds which would cause within humanity a renewed spiritual birth. From this place the first offering also lit the face of the world, the offering of Cain which was not accepted and the offering of Abel which was – and from this comes a warning and an instruction to the world. In this place Noach also brought his offering in the hour when the blessing of the land was renewed for him, and in his heart was a touch of that ‘savory smell’ which in the future would indicate the total dedication of humanity to Gd. (see Bereshit Raba 34:8) Furthermore, in the establishing of this place it had already been said to Avraham that the act which he had done would be of significance not only for him but that it would be instruction and an elevated personal example for the future. From it they would learn the meaning of the phrase ‘here I am’ which is said while fulfilling Gd’s command. From it they would learn the true essence of the terms ‘Divine command’, ‘Divine service’, ‘sacred palace’, ‘offering’ – that none of these are ritual, but rather are the most serious and substantive of things. They would also learn from here that those who say ‘here I am’ and ‘come, let us serve Gd’ nullify entirely their own understanding and will, placing all their powers without exception under the Divine will and understanding. From this we see that the name Moriah contains within in it an announcement to Avraham that what is required from him will be in the nature of hora’ah, instruction for his people and all humanity; and if there was any further need to strengthen his heart which was filled with the awe of Gd, this awareness would support him in enacting the command which was placed on him.	x		R’ Shimshon Raphael Hirsch
דברי הימים ב פרק ג	Divre HaYamim II 3:1	Jerusalem, Moriah		building of the First Temple		Shlomo, David, Ornan		3	Moriah	9	yes	yes	yes	II Chronicles 3					
רש"י דברי הימים ב פרק ג פסוק א	Rashi Divre HaYamim II 3:1	Moriah		David purchases the threshing floor		David, Ornan, The Holy One		3	Moriah	10	yes	no	yes	Rashi on II Chronicles 3:1					
רמב"ם הלכות בית הבחירה פרק ב הלכה א	Rambam Laws of the Chosen House 2:1-2	Moriah, Jerusalem	Sanctuary	binding of Yitzchak, building of the First Temple, offering of Cain and Abel, offering of Noach, creation of first man		Yitzchak, Shlomo, David, Ornan, Avraham, Adam, Cain, Abel, Noach	altar, sacrifice, kavana	3	Moriah	11	yes	yes	yes	Mishneh Torah, The Chosen Temple 2:1-2					
בראשית רבה (וילנא) פרשת וירא פרשה נה סימן ז	Bereshit Raba Vayera 55:7	Moriah	Holy of Holies			The Holy One 	ark, incense, mountain	3	Moriah	12	yes	no	yes	Bereishit Rabbah 55:7					
מכילתא דרבי ישמעאל בשלח - מסכתא דויהי פרשה ג	Mechilta d’Rabbi Yishmael Beshalach 3	Moriah		crossing the Red Sea, binding of Yitzchak		Yitzchak, Avraham 	altar, Red Sea 	3	Moriah	13	yes	no	yes	Mekhilta d'Rabbi Yishmael 14:15, 2					
שיר השירים רבה (וילנא) פרשה ב	Shir HaShirim Raba 2	Moriah				Avraham, Eliyahu, Chananya, Mishael, Azarya	fire, Torah	3	Moriah	14	yes	no	yes	Shir HaShirim Rabbah 2:5, 1					
קהלת רבה (וילנא) פרשה י	Kohelet Raba 10	Moriah		crossing the Red Sea, binding of Yitzchak		Avraham 	Red Sea	3	Moriah	15	yes	no	yes	Kohelet Rabbah 10:9					
פסיקתא רבתי (איש שלום) פיסקא מ - בחודש השביעי	Pesikta Rabati 40	Moriah, Zion, Zevul	Sanctuary	binding of Yitzchak, David counts the people		The Holy One, Avraham, Shem	sacrifice, Torah, kohen, altar, incense	3	Moriah	16	yes	no	yes	Pesikta Rabbati 40					
ילקוט שמעוני תהלים רמז תתלו	Yalkut Shimoni Tehillim 836	Moriah, Jerusalem					mountain, Sinai	3	Moriah	17	yes	no	yes	Yalkut Shimoni on Nach 836					
פסיקתא רבתי (איש שלום) הוספה א פיסקא ג - שובה ישראל	Pesikta Rabati hosafa 1, peska 3	Jerusalem, Moriah	Holy Temple	Exodus, crossing the Red Sea, wandering in the wilderness, standing at Sinai, building of the First Temple		Moshe, The Holy One	Red Sea, Torah, Sinai	3	Moriah	18	no	no	no	x	כתיב עמד וימודד ארץ ראה ויתר וגו' (חבקוק ג' ו') תניא א"ר שמעון בן יוחי מלמד שמדד הקדוש ברוך הוא את כל בני אדם ולא מצא אדם נאה שיצאו [ישראל] ממצרים על ידו אלא משה רבינו, מדד הקדוש ברוך הוא את כל הימים ולא מצא נאה להעביר ישראל בתוכו אלא מי ים סוף, מדד כל הדורות ולא מצא דור נאה שיתן להם תורה אלא דור המדבר, מדד הקדוש ברוך הוא את כל האומות ולא מצא אומה שלימה שהיא ראויה לקבל את התורה אלא ישראל, מדד כל ההרים ולא מצא הר נאה ליתן תורה עליו אלא הר סיני, מדד כל הארצות ולא מצא עיר נאה לבנות ביהמ"ק בתוכה אלא ירושלים, חזר הקדוש ברוך הוא ומדד את כל ההרים ולא מצא הר נאה שישרה שכינתו אלא הר המוריה, מדד ימי בראשית ולא מצא יום (יאה) [נאה] להיות מקודש כיום השבת שבו שבת מכל מלאכתו, מדד את החדשים ולא מצא חדש נאה לסליחה ולכפרה (כיום חודש) [כחודש] תשרי שבו נולדו (האבות) [אבות] העולם, וכל העושה בו תשובה צדקתו מסייעתו לכך נאמר עמד וימודד ארץ.	It is written “He stood and meted out to the earth…” (Habakuk 3:6) R’ Shimon taught in a baraita – this teaches that the Holy One measured all of humanity and did not find anyone fit to bring Israel out of Egypt other than our teacher Moshe. The Holy One measured all of the seas and did not find one fit to bring Israel through other than the Red Sea. He measured all of the generations and did not find one fit to give them the Torah other than the generation of the wilderness. The Holy One measured all of the nations and did not find a whole people who was fit to receive the Torah other than Israel. He measured all the mountains and did not find a mountain fit to give the Torah upon other than Sinai. He measured all the lands and did not find a city fit to build the Holy Temple within other than Jerusalem. The Holy One went back and measured all the mountains again and did not find a mountain fit to rest His Presence on other than Mount Moriah. He measured the days of creation and did not find a month fit for forgiveness and atonement likethe month of Tishre, because in that month the fathers of the world were born, and anyone who repents then its righteousness helps him. That is why it says “He stood and measured out the earth.”	We have Pesikta Rabbati, but not this Hosafa		Pesikta Rabati
