Index Title,"The Five Books of Moses, by Everett Fox"
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Deluge 7","Our story has often been compared, with much justification, to the several Mesopotamian Flood accounts (e.g., in the <i>Gilgamesh</i> and <i>Atrahasis</i> epics), with which it shares a great deal of detail. At one time scholars were quick to concentrate on the parallels, but the differences are now recognized as being much more significant. In general one may say that in contrast to the earlier (Mesopotamian) versions the biblical one is unambiguous in both tone and intent. It has been placed in Genesis to exemplify a God who judges the world according to human behavior, punishes evil and rescues the righteous. This is a far cry from the earlier accounts, where the gods plan the destruction of the world for reasons that are unclear (or in one version, because humankind’s noise is disturbing the sleep of the gods), and where the protagonist, Utnapishtim, is saved as the result of a god’s favoritism without any moral judgments being passed."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Aftermath 1",Genesis 8:20-9:19
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Aftermath 2","The passages immediately following the Flood narrative speak of a God who is remarkably receptive to a human kind of change. From having been “sorry” that he created humankind (6:6), he now evinces a change of heart about the entire issue of evil, conceding human imperfections (8:21). In a wonderfully structured declaration, where “never again” moves in position from the middle to the beginning of the phrase (8:21–22), God as it were chooses to restrain his own ability to radically disturb the processes of nature. Where later on in Genesis the human characters exhibit the capacity to change, here it is God himself."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Aftermath 3","The blessing in 9:1–3 establishes Noah as a kind of second Adam (and it might be noted that chronologically Noah is the first man born after Adam dies). It repeats the basic formulation of the blessing in 1:28–30, with an important exception: meat-eating is now to be allowed, as part of God’s concession to human nature. Previously only the plant world had been accessible to humankind for food. However—and this very word punctuates the text twice in 9:4–5—there is to be an accounting for willful bloodshed, as if to suggest that the eating of meat is being permitted only under strict conditions. To underscore the importance of this concept, the section about bloodshed uses the vocabulary of creation: human beings are made “in the image of God.”"
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Aftermath 4","With vv.8 and 9 the key concept of “covenant” is established in fact for the first time in the Bible. It is accompanied, as is usual in the Bible, by a symbol or “sign” (in this case, the rainbow). We are led back to the creation story again, as other biblical texts speak of the Sabbath as a “sign of the covenant” between God and Israel (e.g., Ex. 31:12–17)."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Aftermath 5",The sixfold repetition of the phrase “never again” provides a thematic unity in these passages.
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Drunkenness and Nakedness 1",Genesis 9:20-29
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Drunkenness and Nakedness 2","From the lofty poetry of God’s blessings and promises, we encounter an all-too-brief description of a bizarre event. The soil, which evidently has not entirely shaken off its primeval curse, proves once again to be a source of trouble. The nature of the crime mentioned here (“seeing the father’s nakedness”) has been variously interpreted; Buber and others see in it a reference to the sexual “immorality” of the Canaanites, which the Israelites found particularly abhorrent. This would explain the emphasis on the <i>son</i> of the culprit in the story, rather than on the perpetrator."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Drunkenness and Nakedness 3","A similar undistinguished ancestry is traced in Chap. 19, referring to the incestuous origins of Israel’s neighbors and frequent enemies, the Moabites and Ammonites."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Table of the Nations 1",Genesis 10:1-32
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Table of the Nations 2","Genesis, with its typically ancient Near Eastern emphasis on “begettings,” now traces the development of humanity from the sons of Noah. The key formula throughout is “their lands, their nations.” Commentators have noted numerical unity in the list, citing a total of seventy nations (once repetitions are omitted) laid out in multiples of seven. That number, as we have indicated, represents the concept of totality and perfection in the Bible. Thus the stage is set for the Babel story of the next chapter, with its condemnation of humanity’s attempt to forestall the divinely willed “scattering” into a well-ordered world."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Table of the Nations 3","Many of the names in this chapter have been identified (see Speiser), but some are still not known with certainty. Israel is conspicuous in its absence; despite the biblical narrative’s ability to trace Israel’s origins, those origins are meant to be seen not solely in biological terms but rather in terms of God’s choice. Similarly, Israel arises from women who begin as barren—thus pointing to divine intervention in history, rather than the perfectly normal account that we have here."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Unfinished Citadel 1",Genesis 11:1-9
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Unfinished Citadel 2","At its most obvious, in an isolated context, this famous story is about the overweening pride of man, as represented by his technology. God’s actions here recall the ending of the garden story, where humanity was also within reach of the divine."
