l,a,n,g,u,a,g,e
s,e,r,v,e,r
v,e,r,s,i,o,n,T,i,t,l,e
v,e,r,s,i,o,n,S,o,u,r,c,e
Torah.1,A<small>CKNOWLEDGMENTS</small>
"Torah, Translator’s Preface.12","This is an accurate and highly idiomatic translation of the Hebrew, and the reader will notice nothing unusual about the passage as it reads in English. The sound of the Hebrew text, on the other hand, gives one pause. It is built on variations of the word <i>panim</i>, whose basic meaning is “face,” although the Hebrew uses it idiomatically to encompass various ideas. (Note: in Hebrew, the sound <i>p</i> is pronounced as <i>ph</i> under certain circumstances.) If the text is translated with attention to sound, its quite striking oral character emerges (italics mine):"
"Torah, Translator’s Preface.13",For he said to himself:
"Torah, Translator’s Preface.14",I will wipe (the anger from) his <i>face (phanav)</i>
"Torah, Translator’s Preface.15",with the gift that goes ahead of my <i>face; (le-phanai)</i>
"Torah, Translator’s Preface.16","afterward, when I see his <i>face, (phanav)</i>"
"Torah, Translator’s Preface.17",perhaps he will lift up my <i>face! (phanai)</i>
"Torah, Translator’s Preface.18",The gift crossed over ahead of his <i>face. … (alpanav)</i>
"Torah, Translator’s Preface.19","Comparison of these two English versions is instructive. In the New English Bible, as in most other contemporary versions, the translators are apparently concerned with presenting the text in clear, modern, idiomatic English. For example, they render the Hebrew <i>yissa phanai</i> as “receive me kindly.” The N.E.B. translates the <i>idea</i> of the text; at the same time it translates <i>out</i> the sound by not picking up on the repetition of <i>panim</i> words."
"Torah, Translator’s Preface.20","What does the reader gain by hearing the literalness of the Hebrew? And what is lost by the use of its idiomatic meaning? As mirrored in the second translation, it is clear that our text is signaling something of significance. The motif of “face” (which might be interpreted as “facing” or “confrontation”) occurs at crucial points in the story. The night before his fateful meeting with Esau, as he is left to ponder the next day’s events, Jacob wrestles with a mysterious stranger—a divine being. After Jacob’s victory, the text reports (32:31):"
"Torah, Translator’s Preface.21","Yaakov called the name of the place: Peniel/<i>Face of God</i>,"
"Torah, Translator’s Preface.22","for: I have seen God,"
"Torah, Translator’s Preface.23","<i>face to face</i>,"
"Torah, Translator’s Preface.24",and my life has been saved.
"Torah, Translator’s Preface.25","The repetition suggests a thematic link with what has gone before. One could interpret that once the hero has met and actually bested this divine being, his coming human confrontation is assured of success. Thus upon meeting Esau at last, Jacob says to him (33:10):"
"Torah, Translator’s Preface.26","For I have, after all, seen <i>your face</i>, as one sees the <i>face</i> of God,"
"Torah, Translator’s Preface.27",and you have been gracious to me.
"Torah, Translator’s Preface.28","It could be said that in a psychological sense the meetings with divine and human adversaries are a unity, the representation of one human process in two narrative episodes. This is accomplished by the repetition of the word <i>panim</i> in the text."
"Torah, Translator’s Preface.29","The above interpretation depends entirely on sound. Once that focus is dropped, either through the silent reading of the text or a standard translation, the inner connections are simply lost and the reader is robbed of the opportunity to make these connections for himself. Clearly there is a difference between translating what the text means and translating what it says."
"Torah, Translator’s Preface.30","While the Jacob passages use the sound of a specific word to indicate an important motif in the narrative, there are other cases where sound brings out structure, and the structure itself conveys the principal idea of the passage. A striking example of this is found at the beginning of Genesis. God’s first acts of creation in 1:3–5 are portrayed in a highly ordered fashion, suggesting that creation itself is orderly, and this idea is the thematic backbone of the whole chapter. We are meant to experience the orderliness of God’s activity through the sensuality of the language and through the particular way in which the text speaks. A translation keyed to the sound of the Hebrew reads:"
"Torah, Translator’s Preface.31",God said: Let there be light! And there was light.
"Torah, Translator’s Preface.32",God saw the light: that it was good.
"Torah, Translator’s Preface.33",God separated the light from the darkness.
"Torah, Translator’s Preface.34",God called the light: Day! and the darkness he called: Night!
"Torah, Translator’s Preface.35","The four occurrences of “God” plus verb accomplish the narrator’s goal, and give a tone to the creation account that makes it akin to poetry. In contrast, virtually all modern translations treat the passage as prose, rendering it into clear written English but simultaneously removing its inner structure. What remains is a statement of what is taking place in the narrative, but without its underlying thrust. Again the New English Bible:"
"Torah, Translator’s Preface.36","God said, “Let there be light,” and there was light; and God saw that the light was good, and he separated light from darkness. He called the light day, and the darkness night."
"Torah, Translator’s Preface.37","This translation is cast in good English style. For just that reason two occurrences of “God” have been omitted, and the passage consequently reads smoothly—so smoothly that one glides past it as if creation were the same as any other narrated action. But what has been lost is the characteristic oral ring of the text, and simultaneously its intent to say something beyond the content of words alone."
"Torah, Translator’s Preface.38","Another example of translating with an ear to the sound and structure of the original, this time from the book of Exodus, comes from the dramatic story of the Sea of Reeds (14:11–12). The newly freed Israelites find themselves pursued by their former masters, the Pharaoh and his army; with their backs to the Sea, they panic, and bitterly harangue their would-be deliverer, Moses. The present translation, attempting to reflect the repetition and structure of the original, yields the following:"
"Torah, Translator’s Preface.39",they said to Moshe:
"Torah, Translator’s Preface.40",Is it because there are no graves in Egypt
"Torah, Translator’s Preface.41",that you have taken us out to die in the wilderness?
"Torah, Translator’s Preface.42","What is this that you have done to us, bringing us out of Egypt?"
"Torah, Translator’s Preface.43","Is this not the very word that we spoke to you in Egypt,"
"Torah, Translator’s Preface.44","saying: Let us alone, that we may serve Egypt!"
"Torah, Translator’s Preface.45","Indeed, better for us serving Egypt"
"Torah, Translator’s Preface.46",than our dying in the wilderness!
"Torah, Translator’s Preface.47","This passage demonstrates several aspects of a rhetorical translation method, if we may so term it: the laying out of the text in “cola” or lines meant to facilitate reading aloud (more on this below); the repetition of words—“Egypt” five times and “wilderness” twice—to stress the irony of the Israelites’ predicament (as they see it, Egypt means life, and the wilderness, certain death); and the double use of “serve,” the very word that Moses constantly drummed into Pharaoh’s ears in the early part of the book to denote the Israelites’ desire to go and worship their God (“Send free my people, that they may serve me”). If we juxtapose the above translation with that found in, say, the New International Version, the importance of this approach to the text becomes clear:"
"Torah, Translator’s Preface.48","They said to Moses, “Was it because there were no graves in Egypt that you brought us to the desert to die? What have you done to us by bringing us out of Egypt? Didn’t we say to you in Egypt, ‘Leave us alone; let us serve the Egyptians’? It would have been better for us to serve the Egyptians than to die in the desert!”"
"Torah, Translator’s Preface.49","Here the rhetorical force of the Hebrew has been ignored. The Hebrew text does not transpose “desert to die” to “die in the desert” at the end of the passage (the word order repeats in the original, for emphasis); it does not distinguish in sound between “Egypt” and “Egyptians”; and it certainly does not read like standard colloquial prose. Indeed, all of Chapter 14 of Exodus demonstrates the Bible’s use of an intermediate form between poetry and prose, a form designed to instruct as well as to inspire."
